"word","cluster"
"especial","1"
"operacionales","2"
"versión","3"
"misión","1"
"derechos","4"
"batallón","5"
"militar","6"
"civil","7"
"justicia","6"
"profesional","8"
"operacional","2"
"especiales","9"
"brigada","10"
"profesionales","11"
"control","2"
"programas","9"
"coronel","12"
"misiones","9"
"escuela","13"
"rita","14"
"fuerza","15"
"ejército","13"
"fuerzas","9"
"regulares","11"
"orden","2"
"judicial","6"
"armado","1"
"capera","16"
"carrera","8"
"tácticas","9"
"comandante","10"
"comando","13"
"escalante","17"
"armados","9"
"conocimiento","18"
"ilegítimamente","2"
"táctica","1"
"derecho","4"
"ilegítimas","2"
"carlos","16"
"salí","19"
"casanare","6"
"humanitario","4"
"campesinos","11"
"ejecuciones","2"
"nacional","13"
"programa","9"
"militares","9"
"b","10"
"legítimamente","2"
"exactamente","20"
"armas","18"
"consejo","13"
"ambiente","2"
"infantería","8"
"c","10"
"generales","17"
"general","7"
"acosta","12"
"disciplinaria","6"
"integral","15"
"forero","12"
"cabo","16"
"suárez","12"
"capitán","12"
"rodríguez","16"
"amor","12"
"jurídicas","9"
"regular","21"
"cuántas","20"
"magistrados","17"
"aguilera","12"
"berlín","10"
"juan","16"
"teniente","12"
"juez","6"
"delta","9"
"acuerdo","20"
"caso","2"
"días","17"
"cuarto","10"
"cuántos","11"
"palomino","14"
"canadá","10"
"gaula","6"
"brasil","10"
"compañero","7"
"león","12"
"directa","7"
"burgos","16"
"coral","14"
"motorizado","1"
"grupos","9"
"claro","19"
"cuál","20"
"disciplinarias","11"
"gonzález","7"
"asesor","2"
"completo","3"
"oficial","19"
"garcía","16"
"abrigada","10"
"audiencia","15"
"destacado","7"
"justo","5"
"corrió","19"
"marta","14"
"acción","15"
"libre","3"
"acreditadas","22"
"perdón","5"
"contacto","18"
"alvarado","12"
"ejecución","7"
"sargento","14"
"fragmentaria","2"
"jiménez","12"
"esfuerzo","1"
"inmaterial","6"
"fernando","16"
"diligencia","3"
"informe","13"
"anza","5"
"ofensivas","9"
"área","23"
"operativa","1"
"bracamonte","16"
"grupo","1"
"procederemos","2"
"inteligencia","13"
"hacía","9"
"étnico","1"
"convita","12"
"dónde","15"
"cont","8"
"investigación","6"
"encuentran","20"
"autoridad","6"
"choa","14"
"azteca","10"
"ciudadanía","8"
"tenían","18"
"beneficios","4"
"conducto","21"
"juzgado","6"
"anexo","13"
"llegan","20"
"casallas","12"
"democrática","21"
"división","10"
"bajas","18"
"base","6"
"jurídica","21"
"campos","12"
"contraguerrillas","8"
"cuarta","10"
"quecán","16"
"fajardo","12"
"augusto","12"
"cordial","1"
"falsa","18"
"pasar","19"
"comunicación","7"
"dejar","19"
"información","18"
"nivel","13"
"salgo","19"
"situación","2"
"extrajudiciales","2"
"falso","19"
"preguntar","19"
"cronológico","2"
"daban","18"
"estable","4"
"guarnizo","16"
"maecha","12"
"dando","18"
"quiénes","20"
"chibat","12"
"hombres","11"
"ochoa","14"
"pelotón","10"
"aclarar","19"
"almario","7"
"contribuir","22"
"entender","19"
"funciones","11"
"quintero","12"
"berrío","5"
"riveros","14"
"presentar","18"
"cu","17"
"gobierno","13"
"ilegítima","7"
"defensa","13"
"mando","13"
"camilo","16"
"fondo","2"
"soldado","16"
"calderón","12"
"hacían","9"
"hijos","11"
"detenido","3"
"plena","21"
"bravo","10"
"directo","18"
"dolosa","18"
"perderá","15"
"oficiales","19"
"óscar","16"
"aérea","15"
"escobar","16"
"guerrero","16"
"leticia","14"
"magdalena","8"
"hilario","16"
"muertas","20"
"mis","11"
"guerra","21"
"anteriores","17"
"comante","10"
"daba","18"
"datos","11"
"franco","14"
"error","10"
"alemania","10"
"moreno","12"
"abogado","16"
"indirectas","22"
"objetivo","1"
"persona","7"
"arias","23"
"carpetas","2"
"pablo","16"
"carácter","7"
"negro","15"
"otorguen","21"
"resultados","18"
"día","10"
"luz","15"
"adoptar","18"
"atrasado","13"
"bonilla","16"
"conjunta","15"
"doctrina","6"
"rendir","3"
"ah","5"
"desarrollar","9"
"huila","6"
"prestar","21"
"adelantado","13"
"leal","16"
"quiero","19"
"guerrilla","8"
"mario","7"
"número","8"
"suancha","12"
"sierra","16"
"administrativa","2"
"auto","8"
"civiles","11"
"formal","6"
"disculpas","5"
"autónomo","15"
"compañeros","11"
"encargada","7"
"soldados","11"
"código","7"
"heridos","11"
"parada","12"
"amaya","14"
