"word","cluster"
"batallón","3"
"operaciones","2"
"inteligencia","2"
"comandante","2"
"oficial","2"
"bajas","3"
"justicia","16"
"área","7"
"jefe","2"
"informe","2"
"combate","10"
"brigada","2"
"diligencia","15"
"representación","11"
"muertes","10"
"anexo","2"
"hoja","17"
"cooperantes","12"
"folio","17"
"cédula","8"
"representante","11"
"punto","13"
"información","5"
"comando","2"
"guerra","18"
"comandantes","3"
"compañía","3"
"derecho","9"
"caso","14"
"días","1"
"batalla","5"
"representantes","11"
"día","1"
"baja","10"
"condicionalidad","2"
"desarrollo","10"
"legítimamente","10"
"campaña","18"
"iba","6"
"efectos","6"
"entrenamiento","3"
"decisiones","7"
"pronto","3"
"departamento","12"
"ciclo","2"
"pago","5"
"control","6"
"operación","6"
"aportar","4"
"bienestar","18"
"edad","3"
"grupos","11"
"detallada","4"
"pelotón","3"
"coronel","6"
"captura","5"
"repito","13"
"centro","5"
"derechos","16"
"consejo","8"
"moral","18"
"comunicación","25"
"juez","7"
"gobierno","2"
"contribuir","10"
"decisión","7"
"compareciente","15"
"oficiales","2"
"anexos","2"
"confesión","15"
"daba","3"
"oportunidad","15"
"bogotá","8"
"declarar","13"
"escuchar","15"
"proceso","2"
"informes","2"
"condiciones","16"
"completo","8"
"anza","3"
"dónde","3"
"permiso","1"
"atención","13"
"orientadores","12"
"auto","1"
"iban","3"
"funcionario","3"
"hacerle","13"
"mal","3"
"construcción","14"
"practicará","11"
"conocimiento","3"
"par","4"
"ideas","5"
"mí","13"
"capitán","3"
"libertad","1"
"plena","4"
"estudios","2"
"conductas","4"
"armas","3"
"delta","11"
"determina","4"
"integrantes","3"
"cadáver","17"
"causa","4"
"compañías","3"
"desarrollar","6"
"beneficios","16"
"murieron","3"
"civil","6"
"línea","4"
"mueren","3"
"hacía","2"
"participaron","3"
"batallones","3"
"casanare","12"
"medidas","9"
"ascenso","16"
"dirección","2"
"militar","7"
"personas","3"
"hora","3"
"recuerdo","3"
"terminada","15"
"acuerdo","2"
"funciones","2"
"ah","20"
"cabo","6"
"soldados","3"
"ciudad","8"
"apellido","3"
"intendencia","18"
"informaciones","5"
"número","8"
"campo","10"
"acaba","24"
"condicionada","1"
"juzgado","7"
"arma","3"
"cumplir","8"
"orientador","12"
"curso","16"
"permitan","11"
"constitutivos","10"
"nombres","3"
"pérez","6"
"órganos","16"
"aceptar","4"
"garantizar","9"
"implica","4"
"paz","16"
"consanguinidad","6"
"hojas","10"
"cadena","6"
"deber","4"
"norte","12"
"país","12"
"reserva","3"
"anticipada","1"
"atender","11"
"cambio","23"
"darle","15"
"ejército","2"
"especial","16"
"llegamos","3"
"acopio","5"
"ausencia","7"
"ciudadanía","8"
"inspector","2"
"digo","13"
"artillería","3"
"informantes","12"
"sé","3"
"causales","16"
"carácter","4"
"casos","7"
"cometer","4"
"grupo","3"
"preguntas","4"
"camilo","21"
"hacían","3"
"daban","3"
"jurídica","4"
"oficina","2"
"orden","5"
"otorguen","7"
"presión","3"
"mando","6"
"proteger","16"
"muere","8"
"negar","7"
"declaración","15"
"pregunta","13"
"prestar","26"
"artículo","19"
"carecen","4"
"defensa","9"
"logística","2"
"persona","8"
"conforme","9"
"consejos","9"
"infantería","3"
"política","9"
"abstenerse","4"
"versión","15"
"aducir","4"
"agosto","1"
"boletín","2"
"general","2"
"pasó","13"
"residencia","23"
"cuánto","6"
"claro","3"
"obtención","3"
"agrupación","27"
"criterios","14"
"disparó","3"
"garantías","16"
"proporcionalidad","14"
"acuerdos","14"
"misión","8"
"murió","8"
"instrucción","3"
"investigación","22"
"región","14"
"conflicto","9"
"circuito","7"
"copia","5"
"exactamente","3"
"abrigada","2"
"autodefensa","11"
"buscar","5"
"cumplimiento","14"
"fundamental","11"
"margen","11"
"comante","3"
"delitos","4"
"hablar","15"
"llegar","3"
"subteniente","6"
"grado","6"
"informar","4"
"continuar","15"
"estación","2"
"misiones","2"
"auxiliar","21"
"búsqueda","18"
"división","2"
"escuela","3"
"magistradas","1"
"capera","6"
"existía","3"
"quitarle","17"
"actividades","2"
"andrés","9"
"asesoría","9"
"convocado","1"
"cti","2"
"derivadas","2"
"s","3"
"salir","1"
"acusación","22"
"folios","17"
"henry","6"
"actual","10"
"áreas","7"
"bolívar","12"
"calidad","11"
"escalante","6"
"medalla","5"
"fuerzas","27"
"presentó","10"
"caballería","3"
"edgar","6"
"guías","12"
"muerte","10"
"presentación","4"
"colectiva","14"
"lanzar","6"
"pagos","5"
"roque","6"
"caquetá","12"
"contacto","3"
"das","2"
"mandaron","13"
"personal","2"
"pérdida","16"
"regulares","3"
"salía","1"
"pelotones","3"
"almario","3"
"llevaba","6"
"profesionales","3"
"b","2"
"cadetes","7"
"desarrolló","6"
"extracto","17"
"presentar","10"
"alguien","3"
"determinación","7"
"problema","3"
"recuerda","3"
"seguridad","9"
"cuerpo","17"
"tenían","3"
"dando","5"
"entregar","6"
"hicimos","6"
"análisis","2"
"apoyo","3"
"comunicaciones","25"
"detalle","2"
"gonzález","3"
"iniciar","6"
"promover","14"
"rendir","15"
"rodríguez","6"
"acosta","6"
"agregado","3"
"alberto","6"
"boletines","2"
"cantidad","3"
"enemigo","11"
"llamaron","13"
"abogado","6"
"escuelas","16"
"llega","3"
"énfasis","9"
"autodefensas","11"
"disciplinaria","7"
"escuchado","3"
"apelación","21"
"batón","2"
"cauca","12"
"exigencia","3"
"menor","3"
"operacionales","3"
"antioquia","12"
"armonización","14"
"cargo","2"
"distinguidos","5"
"estuvieron","3"
"narcotráfico","26"
"ocurrido","3"
"berlín","3"
"funcionarios","2"
"llamó","13"
"garcía","9"
"gente","3"
"guía","6"
"incurrir","19"
"organizaciones","11"
"sargento","6"
"agentes","10"
"gastos","2"
"acreditadas","11"
"armados","11"
"programas","2"
"acto","19"
"delegación","11"
"disparar","5"
"ejercicio","6"
"entendí","13"
"escuchaba","2"
"flujo","5"
"homicidio","8"
"llegaron","3"
"apreciación","2"
"barranquilla","8"
"capacitación","16"
"confianza","4"
"llegué","3"
"resultados","3"
"acabo","24"
"administrativo","9"
"contrainteligencia","2"
"gaula","2"
"nivel","2"
"ocasión","4"
"sale","1"
"arango","6"
"carta","10"
"central","2"
"constitucionalidad","19"
"hubiera","3"
"prestando","26"
"salí","1"
"abril","1"
"apoderados","11"
"bloque","4"
"dispositivo","9"
"equipo","10"
"insumos","2"
"presentaban","3"
"realmente","3"
"asumir","7"
"fueran","3"
"hablo","13"
"maría","6"
"presentaba","3"
"revisión","2"
"consanguineidad","6"
"cumpliendo","5"
"desempeñó","2"
"exactitud","3"
"haga","4"
"judicial","11"
"actuar","4"
"apoderada","15"
"chibat","6"
"desarrollaban","2"
"entregó","13"
"llama","13"
"comillas","11"
"emite","5"
"hernán","6"
"llamada","5"
"angarita","6"
"asumo","7"
"campesinos","3"
"cuál","3"
"desarrollando","6"
"formular","4"
"funjo","11"
"importante","10"
"indígena","10"
"justamente","13"
"operaciónes","5"
"profesional","8"
"reconocimiento","7"
"actas","5"
"coral","6"
"documento","2"
"hila","12"
"inicia","22"
"inició","22"
"interrumpo","20"
"justo","3"
"llamar","13"
"menores","3"
"soldado","3"
"territorial","14"
"adicionalmente","11"
"antiguos","3"
"azteca","3"
"carlos","6"
"colombia","10"
"coordinación","3"
"cumplí","5"
"desarrolla","6"
"identificadas","3"
"llamados","13"
"norma","9"
"observación","6"
"participó","2"
"ahorita","3"
"conocía","12"
"dinero","3"
"febrero","1"
"fuente","5"
"hayan","3"
"instrucciones","3"
"neutralización","6"
"permisos","3"
"accionó","3"
"actores","9"
"conjunto","2"
"cuerpos","17"
"doy","5"
"escrito","4"
"exhaustiva","4"
"identificada","8"
"perdieron","17"
"sección","2"
"patrullaje","2"
"víctimas","11"
"presentadas","10"
"órdenes","3"
"contraguerrillas","3"
"vida","17"
"red","12"
"vista","13"
"material","18"
"humanitario","9"
"marco","9"
"régimen","2"
"contraguerrilla","3"
"plan","18"
"muertos","10"
"guerrilla","3"
"pasar","6"
"registro","6"
"toma","7"
"huila","12"
"recompensas","5"
"vuelvo","13"
"medios","25"
"identificado","8"
"encuentro","10"
"verificar","5"
"órgano","2"
"servicios","3"
"presencia","11"
"suboficiales","2"
"muerto","10"
"tuve","3"
"obligado","13"
"voluntaria","15"
"mañana","1"
"sistema","16"
"humanos","9"
"voluntario","8"
"cont","3"
"terreno","12"
"particular","14"
"escuadra","2"
"simular","10"
"pondrá","3"
"trasladado","3"
"tocó","13"
"teniente","6"
"privado","1"
"reconozca","4"
"responsabilidad","7"
"tomó","7"
"tomar","7"
"presidir","16"
"recibe","5"
"instalar","15"
"existieron","4"
"recompensa","5"
"llamado","13"
"unidad","3"
"levantamiento","17"
"tratamientos","16"
"programa","2"
"reparación","9"
"ejecutivo","2"
"recibió","5"
"media","3"
"virtud","4"
"intervención","2"
"listo","20"
"llevó","6"
"neiva","8"
"contr","3"
"tarjeta","8"
"reclusión","5"
"mencionar","24"
"renovamos","15"
"llegaba","5"
"firma","2"
"ramón","6"
"obligación","4"
"satisfacción","9"
"suboficial","2"
"repetición","4"
"santander","12"
"unidades","3"
"requerimientos","11"
"marzo","1"
"sitio","3"
"propósito","5"
"matar","3"
"policía","2"
"inmediata","23"
"octubre","1"
"satisfacer","9"
"tarde","1"
"ramon","6"
"único","3"
"logro","10"
"tomé","7"
"mayo","1"
"penal","7"
"relación","4"
"guerrero","21"
"labores","2"
"tropas","2"
"gravedad","5"
"dados","10"
"miembros","2"
"recibir","5"
"situación","10"
"sociedad","16"
"reanudamos","15"
"seguimiento","4"
"repite","13"
"servicio","26"
"quinto","19"
"fuego","3"
"dinamarca","3"
"magdalena","3"
"código","19"
"notificará","15"
"ocurrencia","10"
"voluntariamente","15"
"suspende","15"
"secretario","23"
"puestos","6"
"quiero","3"
"duró","6"
"magistrados","1"
"medellín","8"
"razonabilidad","14"
"rendirla","8"
"capturas","3"
"urabá","14"
"darlo","10"
"llegada","3"
"interno","9"
"saludo","16"
"regional","2"
"políticas","2"
"septiembre","1"
"recibía","5"
"teatro","2"
"serie","4"
"encargado","3"
"respuesta","5"
"formación","16"
"resultado","10"
"ejecución","4"
"ilegales","11"
"producción","3"
"informa","2"
"vacaciones","1"
"suspender","15"
"llamaba","13"
"municipios","12"
"tribunal","21"
"orgánico","3"
"william","6"
"interior","3"
"llego","3"
"yopal","8"
"estuve","2"
"tomaba","7"
