"Token","n"
"batallón",50484
"comandante",42555
"operación",37805
"persona",36588
"él",30694
"soldado",30029
"información",27719
"día",25888
"hacer",24008
"ir",23548
"brigada",22851
"sar",22597
"unidad",21474
"pelotón",20991
"orden",20202
"resultado",20201
"tener",19820
"pronto",18920
"hablar",18736
"yo",18641
"pasar",17902
"caso",17650
"víctima",17291
"estar",16850
"recuerdo",16463
"compañía",15973
"inteligencia",15423
"decir",15254
"preguntar",15233
"acuerdo",15155
"combate",15121
"ver",14856
"grupo",14804
"coronel",14007
"militar",13489
"baja",13366
"salir",12734
"tú",12324
"situación",12178
"haber",11894
"recordar",11661
"especial",11559
"poder",11545
"conocimiento",11277
"teniente",11276
"sargento",10755
"dar",10680
"versión",10286
"ejército",10211
"cuál",10112
"general",10032
"área",9967
"informar",9875
"llevar",9766
"oficial",9745
"claro",9475
"venir",9344
"sección",9288
"operacional",9127
"mirar",8901
"saber",8879
"capitán",8862
"llegar",8743
"muerte",8709
"arma",8495
"presentar",8489
"conocer",8454
"diligencia",8430
"proceso",8376
"encontrar",8261
"documento",8035
"querer",7976
"quedar",7876
"recibir",7663
"dónde",7630
"s",7612
"escuchar",7588
"llamar",7584
"mar",7539
"misión",7421
"pregunta",6987
"personal",6944
"punto",6934
"sector",6709
"pedir",6533
"tropa",6478
"programa",6446
"permiso",6388
"tomar",6314
"forma",6291
"entender",6252
"participar",6248
"sitio",6214
"número",6148
"gente",6118
"cabo",6044
"época",5865
"civil",5825
"entregar",5800
"reportar",5709
"ah",5649
"empezar",5639
"cuánto",5634
"relación",5604
"tocar",5592
"derecho",5556
"manejar",5444
"investigación",5438
"deber",5400
"comando",5399
"pensar",5373
"seguridad",5337
"perdón",5291
"control",5248
"volver",5233
"disparar",5211
"poner",5176
"municipio",5030
"compareciente",4935
"gaula",4889
"frente",4882
"contar",4870
"táctica",4850
"hora",4838
"mañana",4769
"nivel",4766
"fuerza",4741
"guía",4721
"llega",4707
"curso",4706
"ocurrir",4704
"vida",4696
"jefe",4683
"voluntario",4661
"instrucción",4637
"mal",4529
"el",4524
"realmente",4499
"dejar",4476
"justicia",4440
"único",4390
"música",4364
"radio",4316
"buscar",4309
"zona",4308
"seguir",4300
"alguien",4295
"profesional",4281
"tuvir",4257
"medio",4194
"mandar",4174
"presente",4171
"comunicación",4079
"guerrilla",4073
"oportunidad",3998
"lleguér",3971
"casa",3960
"informante",3922
"allí",3914
"mencionar",3885
"problema",3869
"veredir",3854
"tarde",3846
"verificar",3845
"rodríguez",3841
"alto",3838
"bajar",3829
"llama",3826
"entrar",3818
"cumplir",3815
"policía",3799
"función",3771
"suceder",3760
"correcto",3751
"responsabilidad",3746
"captura",3696
"noche",3666
"tratar",3633
"prácticamente",3586
"división",3503
"actividad",3465
"b",3454
"sacar",3449
"superior",3425
"muchacho",3393
"normal",3386
"base",3379
"público",3350
"declaración",3342
"desarrollar",3333
"exactamente",3333
"respuesta",3315
"presencia",3269
"decisión",3254
"enviar",3252
"particular",3239
"quién",3221
"morir",3211
"mi",3200
"suboficial",3187
"contacto",3183
"cuerpo",3177
"magdaleno",3175
"penal",3169
"moto",3153
"reconocimiento",3153
"realizar",3147
"vehículo",3138
"reunión",3124
"enemigo",3106
"registro",3099
"humano",3095
"población",3088
"pago",3077
"disparo",3071
"paz",3064
"comentar",3063
"importante",3043
"desarrollo",3023
"directo",3002
"plan",3002
"cargo",2998
"escuela",2998
"llamado",2990
"cambiar",2973
"objetivo",2928
"colocar",2926
"matar",2912
"integrante",2905
"existir",2887
"presentado",2886
"ocasión",2883
"razón",2882
"acción",2872
"pagar",2855
"traslado",2851
"levantamiento",2825
"esperar",2818
"daban",2805
"abogado",2791
"familia",2786
"ley",2758
"procedimiento",2746
"abrigada",2744
"declarar",2735
"cuándo",2722
"dinero",2719
"contraguerrilla",2717
"término",2707
"carro",2677
"utilizar",2663
"trasladado",2661
"indicar",2645
"muerto",2625
"sentido",2619
"aparecer",2614
"creer",2608
"mano",2604
"servicio",2603
"armado",2597
"iniciar",2594
"c",2590
"plata",2578
"llegaba",2556
"organización",2554
"oficina",2535
"necesitar",2531
"material",2529
"reporte",2500
"torre",2498
"judicial",2494
"encargado",2491
"detalle",2473
"referir",2467
"firma",2466
"listo",2459
"trabajar",2459
"ahorita",2441
"felicitación",2428
"representante",2424
"acabar",2414
"final",2412
"pueblo",2409
"hombre",2402
"ser",2390
"continuar",2382
"explicar",2336
"nacional",2310
"fusil",2308
"movimiento",2303
"prestar",2301
"apoyo",2294
"paramilitar",2287
"terminar",2283
"mantener",2272
"marco",2251
"perfecto",2243
"firmar",2232
"junio",2226
"hermano",2219
"acto",2218
"mío",2217
"departamento",2192
"participación",2189
"ejecutivo",2168
"permitir",2165
"nuevamente",2158
"sentir",2152
"seguro",2151
"presión",2144
"armamento",2135
"llegar-",2132
"solicitar",2132
"guerra",2126
"m",2118
"manifestar",2111
"grado",2092
"pérez",2089
"caperar",2084
"equipo",2084
"compañero",2079
"lópez",2079
"f",2078
"carretera",2076
"vacación",2070
"producir",2054
"cambio",2049
"principio",2047
"informe",2037
"far",2032
"medida",2032
"procurador",2032
"comante",2026
"común",2024
"nombre",2010
"tanto",2007
"determinar",1996
"camioneta",1989
"salía",1977
"ordenar",1972
"resto",1969
"pendiente",1968
"regular",1964
"audiencia",1960
"marzo",1959
"casanare",1957
"estructura",1948
"recoger",1945
"escucha",1923
"imagino",1909
"tema",1909
"defensa",1901
"terreno",1899
"apellido",1893
"radial",1891
"vivir",1877
"enterar",1871
"abajo",1864
"comunicar",1859
"ilegal",1847
"depender",1839
"cuarto",1837
"plano",1832
"digám",1817
"digámoslo",1817
"periodo",1817
"finca",1813
"acordar",1806
"ocurrido",1804
"faltar",1798
"guerrillero",1795
"específico",1793
"dato",1792
"reunir",1770
"conflicto",1764
"delincuencia",1758
"despacho",1752
"ubicar",1742
"patrullaje",1740
"miembros",1736
"normalmente",1734
"mundo",1732
"grande",1721
"efectivamente",1720
"experiencia",1715
"durar",1713
"región",1712
"representación",1712
"resultar",1708
"recompensa",1704
"bogotar",1697
"cédula",1697
"guzmán",1694
"momento",1693
"tarea",1687
"anteriormente",1685
"señor",1685
"darle",1680
"ejecución",1677
"precisar",1677
"aportar",1673
"delta",1672
"sujeto",1668
"efecto",1663
"ingresar",1663
"conocido",1655
"acompañar",1648
"familiar",1647
"comenzar",1644
"llgar",1639
"extorsión",1638
"febrero",1637
"mía",1632
"precisamente",1630
"elemento",1627
"mencionado",1623
"difícil",1608
"atrás",1607
"meter",1607
"corresponder",1599
"inicialmente",1598
"político",1598
"responder",1592
"evento",1590
"aparte",1586
"lograr",1586
"blanco",1584
"gasto",1584
"da",1583
"reconocer",1583
"paso",1582
"autodefensa",1581
"carpeta",1573
"completo",1570
"santa",1564
"octubrir",1563
"coger",1552
"fiscal",1549
"noveno",1549
"relato",1546
"llegado",1545
"agosto",1540
"soto",1539
"escuadrar",1537
"mover",1535
"sistema",1534
"escuchado",1531
"presentación",1529
"básicamente",1528
"artículo",1526
"generar",1525
"perder",1518
"alias",1515
"cantidad",1514
"organizar",1513
"h",1507
"idea",1503
"noviembre",1503
"recuerde",1495
"establecer",1493
"llegaban",1492
"supuestamente",1491
"motorizado",1490
"carlo",1487
"competencia",1487
"alcanzar",1484
"entrenamiento",1482
"andar",1477
"legal",1477
"circunstancia",1472
"septiembre",1471
"qu",1469
"anexo",1468
"realidad",1467
"administrativa",1466
"línea",1462
"tr",1462
"agregar",1459
"munición",1459
"coral",1457
"revisar",1456
"red",1455
"leer",1453
"libertad",1452
"error",1451
"documentación",1449
"centro",1445
"receso",1442
"gustar",1438
"campesino",1432
"er",1430
"repito",1430
"atención",1428
"seguramente",1428
"considerar",1425
"cometer",1424
"posterior",1424
"fuente",1421
"relacionado",1420
"subteniente",1416
"referencia",1413
"escrito",1411
"identificar",1408
"joven",1408
"directivo",1407
"ciudad",1405
"autoridad",1404
"condición",1400
"carrera",1398
"poquito",1397
"formación",1394
"desplazamiento",1384
"ctú",1382
"pitalito",1379
"puntual",1379
"infantería",1378
"jurídicar",1376
"suárez",1367
"mayo",1365
"rivero",1354
"d",1352
"observar",1351
"celular",1346
"medellín",1346
"cuadro",1344
"llego",1342
"solicitud",1338
"coordinación",1336
"garcer",1335
"desplazar",1333
"disposición",1331
"administrativo",1327
"berlín",1327
"adelantar",1326
"principal",1323
"río",1323
"abril",1320
"traer",1314
"cu",1310
"beneficio",1305
"teléfono",1304
"reibar",1302
"pleno",1301
"suber",1300
