"word","cluster","eigen"
"especial","1","0.0163326105220797"
"operacionales","2","0.000119297073700846"
"versión","3","0.000516527627731649"
"coronel","4","0.735545003985045"
"militar","5","0.0121818937939651"
"especiales","6","0.00348367735833518"
"misión","5","0.000161126212089234"
"derechos","7","0.000148661633095257"
"escalante","8","0.117218373115843"
"justicia","1","0.00685987579425219"
"casanare","5","0.003390825977443"
"ilegítimas","9","0.000230653699761494"
"profesional","10","0.01289600532464"
"acosta","4","0.149788390420187"
"operacional","11","0.00203699957383064"
"capitán","12","0.317459997423682"
"civil","5","0.00040256902349327"
"cabo","13","0.018132534573596"
"misiones","6","0.000167864113824171"
"ilegítimamente","9","0.000187551569195606"
"teniente","12","1"
"delta","1","0.0134484586792183"
"juan","14","0.0129452010476627"
"armado","7","0.00264462511962378"
"carrera","5","0.00208300174875031"
"gaula","5","0.00411726398392119"
"bracamonte","15","0.00179767732682025"
"profesionales","16","0.00015822645466032"
"burgos","17","0.0562186653826334"
"fuerzas","6","0.000671892520134134"
"escuela","8","0.00219392830427997"
"garcía","12","0.286304016088502"
"derecho","7","8.9299958845005e-05"
"campesinos","16","0.00015822645466031"
"judicial","18","0.00116429870385203"
"humanitario","7","8.23424059451558e-05"
"regulares","16","0.000158226454660305"
"orden","19","0.000321995637441919"
"tácticas","6","0.000183562314596327"
"convita","12","0.226045101724506"
"ejército","8","0.00717519600212044"
"fernando","14","0.0548521445785017"
"ejecuciones","9","2.38593718162192e-05"
"magistrados","2","0.0160637820291663"
"nacional","8","0.00812892037067768"
"integral","19","4.12870893795146e-06"
"casallas","12","0.207355662894687"
"conocimiento","7","0.00026168778893725"
"directa","19","0.000128567174695231"
"juez","18","0.000968628228415471"
"jiménez","17","0.238985661857509"
"gonzález","10","0.0132964786406395"
"almario","10","0.00227358641678474"
"carlos","20","0.0564828798460226"
"legítimamente","9","0.000175990520344195"
"batallón","8","0.0510732388976693"
"falsos","21","4.02781323813651e-05"
"táctica","5","0.000942304731271804"
"armas","7","1.26451693900133e-05"
"detallada","22","2.30306326938893e-06"
"enrique","15","0.0097257418494016"
"control","11","0.00372009224391821"
"cuarta","8","0.0192073960328035"
"militares","6","0.000445711239703268"
"marcolino","17","0.0293516454875696"
"quiero","23","0.000116818580366781"
"rodríguez","14","0.253856730998811"
"torres","4","0.483997770641107"
"brigada","8","0.0589558209704486"
"caso","24","0.00241642379609107"
"exactamente","21","0.00729093156368319"
"pablo","10","0.0046974560837599"
"regular","10","0.01289600532464"
"grupo","1","0.00707610844964543"
"armados","9","0.000777098042349085"
"bonilla","10","0.01289600532464"
"daniel","4","0.0827595626499493"
"reparación","1","0.00124699926231339"
"acuerdo","21","0.0077937051155898"
"mal","21","0.00125675462586812"
"suancha","12","0.181962540192538"
"franco","17","0.013710391148721"
"operativa","5","0.000914753499318198"
"infantería","13","0.00429720497532967"
"oficiales","16","0.000190862310185866"
"alexander","12","0.0330465057651923"
"céspedes","12","0.0489555873883937"
"soldado","10","0.0732138231575146"
"augusto","12","0.0699347124700268"
"sierra","12","0.232466157110122"
"parada","12","0.221086108509281"
"amaya","17","0.013710391148721"
"aguazul","5","0.000597265761766866"
"extrajudiciales","9","0.000139535328585449"
"henry","4","0.254821106523577"
"montaña","15","0.0216384556713023"
"ilegítima","24","6.07739094895688e-06"
"jurídica","11","0.000708060635952833"
"libertad","23","2.6968601195059e-07"
"sargento","17","0.0801816556071731"
"hombres","2","0.000689505322034141"
"beneficios","7","0.000664291397270518"
"fabián","14","0.0524789738928289"
"guillermo","4","0.0904426943868375"
"perdón","23","4.00864377008627e-06"
"dejar","23","7.67812413176197e-05"
"vicencio","10","0.00227358641678474"
"gobierno","8","0.00138997725919779"
"hilario","20","0.0280278831890633"
"domínguez","17","0.0145619177523099"
"anticipada","23","4.92574055490643e-05"
"condicionada","23","8.68440444479452e-06"
"comandante","8","0.201523387877002"
"desaparición","2","8.65008670600443e-06"
"durán","12","0.0556912149653314"
"ejecución","24","1.2132938751686e-05"
"soldados","16","0.00092534625437722"
"maecha","12","0.0430990171757957"
"cometidas","11","6.5405173230229e-07"
"cuántas","16","1.65521607534059e-05"
"disciplinaria","18","0.000175914110128346"
"grupos","9","0.00349172649427337"
"pariente","24","1.03842668539849e-05"
"gustavo","15","0.0463652227194385"
"ambiente","11","0.000348309856107541"
"compañero","24","0.000322260278700903"
"doctrina","5","0.00208300174875031"
"joya","14","0.0461033238797856"
"ariza","4","0.0827595626499494"
"detallado","3","0.000351175465107761"
"entrenamiento","18","0.00017061579702468"
"catalina","20","0.00494136074743458"
"estable","22","1.30516469212263e-08"
"autoría","7","4.3864763278553e-05"
"completo","3","0.00199190170845452"
"contacto","7","0.00699069794714467"
"dónde","2","0.00542357031011766"
"libre","3","0.00264694777670558"
"helbert","13","0.0133610813013386"
"iba","2","0.00143559112171998"
"anexo","5","0.000403861899383605"
"cipriano","4","0.152519421890194"
"duradera","22","7.39588307357331e-08"
"días","2","0.0172228962698533"
"falsa","24","1.51388856794263e-05"
"comando","8","0.00137811855528103"
"escrita","3","9.50571816794879e-05"
"guerrilla","13","0.00147924775979179"
"cordial","1","0.000491917813090227"
"leonardo","14","0.0323196342741662"
"fragmentaria","19","0.00153430631531902"
"juzgado","18","0.00204870636405408"
"benítez","4","0.0190177643881778"
"persona","2","0.000278549305939284"
"plena","22","7.41630340850106e-05"
"solano","12","0.176141673368089"
"abogado","14","0.0123127835582483"
"mim","14","0.0447147493938836"
"camila","5","2.25639438045792e-05"
"casan","5","0.000704017636635686"
"cont","13","0.000260557175735705"
"dando","2","0.000119297073700852"
"guerra","11","0.000121072434865767"
"nonato","13","0.0161790385168764"
"personas","16","9.68010057980573e-05"
"bajas","9","0.000319683383127836"
"guzmán","17","0.0141233309920714"
"adoptar","22","4.19477332631163e-07"
"asimismo","3","1.0576966038208e-05"
"decisiones","22","2.37924521364485e-06"
"orlando","20","0.0231386318201629"
"pronto","21","0.00495789130578356"
"angarita","20","0.0254095047609309"
"comunicación","19","2.19839094193311e-05"
"directo","7","0.0369546911118674"
"otorguen","22","1.3088088299695e-05"
"ramírez","14","0.0407539255141513"
"conforme","14","0.00168354057559694"
"iban","16","0.000180042728835937"
"inmaterial","1","0.000213226423413406"
"ángel","14","0.0148897586831194"
"abelardo","20","0.0203707486372216"
"objetivo","5","0.00214573915766138"
"penal","18","0.00566477018632986"
"cárdenas","12","0.232270310022017"
"duarte","12","0.0606095621259487"
"mis","6","0.000714280059508657"
"noos","23","3.51842961690334e-06"
"tarache","4","2.14999517502251e-05"
"autoridad","18","0.000205081521996838"
"busca","11","2.1061714438523e-05"
"colectiva","11","0.000119345324929075"
"cuál","21","0.006330687566581"
"democrática","22","6.74556567905654e-05"
"individual","11","2.10407721488434e-05"
"claro","23","1.4405607831802e-05"
"contraguerrillas","13","0.00152380085325056"
"eduardo","12","0.0255537414626565"
"pérez","13","0.0781388078445385"
"rendir","3","9.38952234799779e-05"
"sarmiento","4","0.129560127839464"
"alberto","12","0.113509653776126"
"auto","13","0.00152380085325053"
"barrero","4","0.140126764027803"
"costa","4","0.0121863322842997"
"declaración","5","7.33460006230119e-05"
"determinación","19","3.99253268612679e-06"
"negar","19","3.99253268612705e-06"
"promover","11","0.000119348905885103"
"étnico","1","0.00120995524376189"
"conducto","10","0.00220510883590416"
"cuántos","2","0.00331811242812719"
"exhaustiva","22","1.30750618256683e-05"
"señores","2","0.0884513056810121"
"civiles","16","1.81611479840152e-05"
"cronológico","19","5.50585555272294e-05"
