"word","cluster","eigen"
"magistrados","1","0.372974846821313"
"indígenas","2","0.147763851182754"
"cancamo","2","0.0697641926278153"
"máximos","1","0.0372181435824937"
"operacionales","3","0.000538993472558665"
"carlos","4","0.0267421648851071"
"ejército","5","0.000103725693040637"
"asesinatos","6","0.000442874622390062"
"hugo","7","7.8955249079383e-08"
"caribe","2","0.00208732225174954"
"desapariciones","6","0.00204329601857889"
"armado","8","0.00138869965692118"
"manuel","7","4.692308770091e-05"
"indígena","2","0.027088321261491"
"justicia","5","0.00885983320436485"
"andrade","7","1.88159776059061e-06"
"humanidad","6","3.59871147567676e-06"
"flores","9","8.3447332439853e-05"
"nevada","10","9.03734848140885e-06"
"perdón","11","0.0216303447770963"
"coronel","12","0.00452814503359321"
"falsos","3","0.000601585722506961"
"armados","13","0.000906439573033432"
"padilla","7","1.15598994332434e-05"
"especial","8","0.0260323585911566"
"grupos","13","0.000195055282264663"
"hernán","12","0.00242481525057932"
"honorables","1","0.255534533960194"
"eduardo","14","0.00149423370239696"
"espitia","7","2.15149863899222e-06"
"marta","10","3.24284081875214e-07"
"mercado","10","8.7130643995281e-06"
"comparecientes","1","0.481936949018918"
"gutiérrez","12","0.00227913958840466"
"arias","14","0.00265589767540015"
"autoridades","1","0.410662959551589"
"burgos","15","0.000244655950542413"
"cordial","8","0.020888337439354"
"álvarez","12","0.00054899869737756"
"causado","16","0.000647693871136381"
"código","5","0.00102751369722289"
"judiciales","1","0.143518410208904"
"magistradas","1","0.0694171156026743"
"militar","17","0.00142755941315786"
"cabrales","12","0.000228280682991544"
"máximo","15","7.31318981375836e-07"
"albeiro","9","0.00036386919616962"
"bello","2","0.00862019982919011"
"elkin","15","1.96495287234008e-05"
"inocentes","18","0.0433344677869938"
"jesús","9","0.000272017241475644"
"mario","7","0.00537005109836978"
"colombiano","2","0.0104241687650133"
"evangelista","14","0.000512045932897725"
"quintero","9","1.01375152589e-05"
"responsabilidad","3","0.000112913408564781"
"david","10","0.000216022515585029"
"figueroa","15","0.0060463424150938"
"gobierno","5","0.000103725693040646"
"gómez","12","0.00313706088809735"
"internacional","5","0.00257579245330964"
"quiero","11","0.00236948327694157"
"étnicos","2","0.00857924267908459"
"asesinadas","19","0.249527982462927"
"comunidades","1","0.0820507871648437"
"sepúlveda","4","0.000959579948112895"
"andrés","12","0.00636186664451452"
"nieves","14","0.000495080793914331"
"acreditadas","1","0.18611741835752"
"alfredo","4","0.00516242418968903"
"arturo","4","0.0054465132706943"
"costa","2","0.000402426975841348"
"hijos","18","0.0586402896577951"
"igua","2","0.00862019982919011"
"ilegítimamente","19","0.010519765780607"
"londoño","20","0.00517796428389445"
"oñate","14","0.000981525440116084"
"profesional","12","0.000112566081959358"
"señores","1","0.50126291778153"
"adolfo","20","0.000209554649006455"
"alberto","10","0.00603862324741004"
"apoderados","1","0.212828694352377"
"burgo","15","0.000244655950542416"
"días","8","0.121903963880379"
"enrique","9","0.000116038411026397"
"faustina","9","0.000305785723699693"
"hermanos","18","0.0988997409933386"
"hernández","9","5.34273314795892e-05"
"ana","14","6.57998052742352e-05"
"compañeros","18","0.0544183906852538"
"derecho","5","0.00156299806331327"
"dinamarca","8","0.000968876059836631"
"falsamente","19","0.0124325407840468"
"forzadas","6","0.010535657299076"
"guillermo","12","0.000424187576270279"
"hombres","18","0.0564464506087493"
"integral","5","0.0017127132923032"
"laura","20","0.000207986171399303"
"mendoza","9","3.2539151305196e-05"
"mesa","10","0.00580422597129788"
"mindiola","9","1.13350235555056e-05"
"procesales","13","0.00177930063834463"
"apellido","14","0.000494308818767181"
"cancam","2","0.013661808250018"
"colegas","18","0.0544183906852538"
"corte","5","0.00110854955816023"
"hermanas","18","0.0728253551551614"
"humanitario","5","0.000479399841634773"
"ignacio","14","8.09654959785964e-05"
"maestre","7","4.09527835269281e-07"
"nacional","5","0.00055731319484238"
"néstor","14","7.1268923738439e-05"
"personas","19","0.202084664981292"
"pueblo","2","0.0463159219876524"
"asesinado","2","0.0134502437453977"
"colectivos","13","0.0458565945790323"
"cometidos","6","8.58962615189939e-05"
"dadas","19","0.0376114761359624"
"especiales","13","0.000103876589379553"
"grupo","8","0.00555462587544567"
"juan","12","0.00671789895853985"
"madres","1","0.0188043734456288"
"procesal","17","5.51849942510988e-05"
"respetadas","1","0.18611741835752"
"respetuoso","8","0.0201647718344834"
"sagrado","2","0.000387968209824422"
"acciones","18","0.0585472827122278"
"afrodescendiente","5","0.00106442723771835"
"cecilia","7","3.79610647256386e-07"
"claro","11","8.81877688175551e-05"
"compareciente","15","3.79323075875341e-06"
"creativos","6","5.92243749316262e-07"
"dejar","11","0.000457415390208699"
"fuerzas","17","2.23944418150865e-06"
"individuales","1","0.237519422755932"
"militares","17","1.20324266329912e-05"
"montaño","7","0.000199863332824461"
"periodísticos","6","3.18209737990649e-06"
"presentar","3","0.0123194540883887"
"rodríguez","7","1.96897772408241e-06"
"rueda","9","5.44683853256039e-05"
"acosta","14","1.85150652286526e-05"
"arnulfo","20","4.99027200421531e-06"
"asesinar","19","0.0389610758588741"
"asistentes","1","0.130905236311819"
"bajas","3","0.0024635373473687"
"colectivas","1","0.230323920130622"
"comunidad","5","0.00571911671197617"
"decirles","11","0.000441002110345666"
"edwin","10","0.00220416052258329"
"encuentran","19","0.0447393596595876"
"enemías","12","0.0012503180109501"
"escuela","17","0.000265693672528898"
"familia","18","0.0047115153101472"
