"word","cluster","eigen"
"batallón","17","1"
"brigada","18","0.732227804357486"
"especial","12","0.349508685981493"
"operacionales","6","0.124738731218896"
"operaciones","18","0.680963271502451"
"comandante","18","0.821625227699225"
"inteligencia","18","0.53039044551406"
"versión","4","0.199409344427824"
"derechos","12","0.0274054254687642"
"misión","18","0.201566303575228"
"militar","17","0.339507658237059"
"oficial","18","0.307020168250688"
"bajas","6","0.434542564686644"
"civil","2","0.14839674909421"
"justicia","12","0.0662783944070688"
"área","6","0.384508410204587"
"especiales","17","0.0649962907034755"
"operacional","18","0.194132579926219"
"profesional","17","0.026627897827239"
"común","2","0.0215185973252197"
"compañía","6","0.514370659498663"
"informe","18","0.217926338964669"
"profesionales","6","0.0341114511414192"
"diligencia","4","0.142612472970127"
"representación","4","0.0214509656334132"
"rita","11","0.00691919021190895"
"pronto","6","0.734583948547367"
"jefe","18","0.153265010659554"
"combate","6","0.560246449604441"
"control","18","0.164661712639302"
"programas","18","0.160865227729314"
"fuerza","17","0.0622378162136005"
"representantes","4","0.0113577667446394"
"escuela","17","0.0529546618499754"
"reconocimiento","4","0.0720626633327476"
"ejército","17","0.485386921576165"
"coronel","11","0.527430481628266"
"anexo","18","0.0208353452180772"
"misiones","18","0.0172228277728948"
"armado","12","0.0234984186363197"
"artículo","12","0.0241328754985108"
"regulares","6","0.0353340987925139"
"ley","12","0.0325948805415577"
"representante","4","0.02500871545142"
"información","18","0.758251987741517"
"cédula","17","0.0119682228155788"
"versiones","4","0.0513920498414843"
"conocimiento","6","0.593117185401892"
"fuerzas","17","0.049655121757684"
"judicial","4","0.0293864065141666"
"orden","18","0.61746863250148"
"hoja","17","0.00240275516149598"
"cooperantes","18","0.00142272914582814"
"carlos","11","0.021108857681933"
"comando","18","0.184158304410571"
"desarrollo","18","0.0814459028117167"
"gastos","8","0.00128106238111681"
"días","4","0.4845118113919"
"ejecuciones","22","0.00851663110358262"
"acto","12","0.0111784115715036"
"escalante","11","0.012703826086336"
"casanare","17","0.0454642031930059"
"comandantes","6","0.28432934030204"
"carrera","17","0.00533847941004157"
"folio","2","0.00176317241040839"
"punto","6","0.289592750493538"
"exactamente","6","0.209047379768487"
"ilegítimas","22","0.0276066326079597"
"capera","11","0.0582973051702568"
"b","18","0.162365383616356"
"ilegítimamente","22","0.0113749527096799"
"campesinos","6","0.0435494216907476"
"guerra","2","0.0151757077241597"
"baja","6","0.32616052905413"
"tácticas","18","0.0441234700903911"
"armados","17","0.008049386654296"
"falsos","15","0.00139433157027936"
"nacional","12","0.0439917857481583"
"caso","4","0.546063774064122"
"condicionalidad","12","0.00986278606418929"
"consejo","17","0.00829680365225076"
"judicatura","4","0.00160396304117121"
"derecho","12","0.00900360908873709"
"suárez","11","0.042080883819882"
"táctica","18","0.0784148135909837"
"reparación","12","0.0109509581570614"
"salí","6","0.0924491377938187"
"abrigada","18","0.133618161436435"
"batalla","18","0.0241817119921183"
"jurídicas","6","0.000887491438347258"
"magistrados","4","0.0147164777670806"
"definición","6","0.00797225920366846"
"repito","4","0.0303173556129189"
"general","11","0.415490394863955"
"libertad","19","0.0106206939337062"
"recuerdo","6","0.669712902287831"
"humanitario","12","0.000144891095827647"
"pelotón","6","0.659335442560638"
"oficiales","18","0.0823879982027333"
"brasil","6","0.0400215990631997"
