"word","cluster","eigen"
"batallón","10","1"
"operacionales","17","0.0198428752677034"
"especial","11","0.197330757712203"
"derechos","12","0.000808743831943518"
"versión","1","0.000879691359001769"
"misión","7","0.0091967329430895"
"brigada","10","0.489977020093994"
"civil","24","0.00688938629044317"
"profesional","19","0.0434735029295431"
"control","19","0.042173991521735"
"militar","19","0.137408438172441"
"profesionales","16","0.016440842743175"
"operacional","19","0.0434094652523787"
"capera","5","0.0195362617052914"
"justicia","11","0.0207707590222472"
"coronel","5","0.205788167643878"
"programas","23","0.0632873307739263"
"comando","19","0.131306055870047"
"comandante","10","0.500561796234622"
"escuela","19","0.0190103931337659"
"especiales","23","0.0773659581282557"
"misiones","23","0.0629489209423897"
"regulares","6","0.0145888737526847"
"tácticas","23","0.0685603678478546"
"judicial","1","0.00326984412234418"
"armados","23","0.00232046251764208"
"táctica","19","0.0345266407814024"
"orden","7","0.0869897258685419"
"fuerzas","23","0.0131431682307612"
"ejército","19","0.0529373844248334"
"fuerza","18","0.0185985061985113"
"forero","5","0.0153821054409103"
"acto","1","0.000619066210620665"
"rodríguez","5","0.0637705534303294"
"infantería","10","0.121308707423014"
"exactamente","10","0.31101105836229"
"armado","14","0.0540495347579075"
"aguilera","5","0.0133658148322375"
"ambiente","19","0.00398630579524859"
"berlín","10","0.119410343554701"
"derecho","12","0.00412024824429257"
"carrera","19","0.0166104494924904"
"militares","23","0.0645308653943858"
"campesinos","6","0.0145888737526847"
"armas","9","0.0461286589352655"
"salí","6","0.0039420689324692"
"disciplinaria","11","0.00243932154015962"
"hora","4","3.70350815022559e-05"
"legítimamente","17","0.000699326554178382"
"nacional","19","0.038405469114274"
"humanitario","3","3.69064528617967e-05"
"generales","16","0.000522894391170888"
"programa","23","0.0239100408209091"
"palomino","5","0.00816193947273205"
"entrenamiento","11","0.0185764466580453"
"arma","9","0.0443553651104018"
"ejecuciones","17","6.36732370871814e-05"
"conocimiento","7","0.137052155038138"
"iba","6","0.46331094967207"
"motorizado","22","0.0584829731570028"
"actos","23","3.60836532400459e-08"
"capitán","5","0.0720532937499157"
"cuántas","23","0.241313597038498"
"carlos","5","0.0310042039553725"
"regular","21","0.0245559181453815"
"abrigada","10","0.00420276570080016"
"ilegítimamente","17","0.00069932655417838"
"león","5","0.0236574154517786"
"integral","11","0.000744196842968801"
"oficiales","6","0.0145888737526847"
"cabo","5","0.0290277728998593"
"destacado","24","0.00281618261552638"
"asesor","19","0.000372370771784468"
"grupo","22","0.0383102275340477"
"acción","11","0.00789844061199451"
"días","4","0.226202465440394"
"azteca","10","0.0946896061113269"
"cuarto","24","0.054190595952975"
"ofensivas","23","0.0566529993020902"
"declarar","7","0.124653178953732"
"hacía","23","0.25730793700001"
"compañero","8","0.0066248199724204"
"división","10","0.0937966997758116"
"claro","10","0.240533056426989"
"informe","18","0.0483273637840568"
"fajardo","5","0.0131672783403839"
"jiménez","5","0.0131672783403839"
"acuerdo","10","0.310436988210235"
"inteligencia","9","0.466558779732219"
"casco","14","0.000445431974418319"
"falsos","17","0.00162335805517686"
"murieron","6","0.0308278812679659"
"magistrados","12","0.000209956984999103"
"conocido","7","1.10002243225186e-05"
"completo","1","0.0723113871973752"
"corrió","6","4.57623959292516e-05"
"repito","10","0.00145179651276108"
"detallado","1","0.00669733669460856"
"magdalena","10","0.123088437163755"
"procederemos","19","0.000358669881141167"
"audiencia","18","0.000159528224246577"
"fragmentaria","7","0.0646412950882921"
"maecha","5","0.0196729193757856"
"guarnizo","5","0.00344070092203452"
"pariente","8","0.000121603785274101"
"participaron","6","0.0731311276461654"
"libre","1","0.00900732671194143"
"esfuerzo","7","0.000296102228813426"
"iban","6","0.262826784153929"
"inmaterial","12","0.000180824486917039"
"democrática","21","0.000166519454857225"
"riveros","5","0.00809311138241255"
"cuántos","23","0.295420416643099"
"pelotón","10","0.585054782493699"
"caso","19","0.118122561620084"
"nivel","19","0.312961235380297"
"calderón","5","0.0193175156542194"
"cuál","10","0.455342780991975"
"detallada","21","1.65926591661981e-06"
"directa","20","0.0536609158530167"
"investigación","11","0.00180297834602949"
"jurídica","21","0.00870151209441589"
"mal","21","0.0830856700870917"
"camilo","13","8.27396510353663e-06"
"consejo","19","0.00639213003795771"
"leticia","17","0.00232730037062051"
"hubiera","15","0.0443131984170353"
"mí","7","0.298434353619807"
