"word","cluster","eigen"
"óscar","1","0.00114902391526506"
"doña","2","1"
"catalina","3","0.00166133626437271"
"armado","4","1.56512458357784e-05"
"eduardo","5","0.000238681745999142"
"ana","2","0.405150785758489"
"fredy","6","0.000311238231495341"
"infantería","4","5.66402300999848e-05"
"isabel","7","0.0407275033171525"
"rodríguez","5","2.67070484184914e-05"
"artillería","4","5.66402300999898e-05"
"carlota","2","0.190633287369928"
"cordial","4","3.43181028322529e-06"
"don","8","0.00305017802419283"
"energético","4","8.41342928382988e-05"
"gonzález","9","0.000247626269356328"
"compartir","10","0.0131599842126121"
"david","11","3.86560419154524e-05"
"graciela","2","0.159851234114138"
"hijo","12","0.000586969122391528"
"mario","9","0.00300402569527332"
"ángel","9","4.89860129238873e-05"
"acosta","9","0.000163582951550555"
"alberto","13","0.00235116836209001"
"andrés","1","0.000920520489127523"
"luz","2","0.223057924318262"
"padre","10","0.0126449855227874"
"papá","10","0.0121854534684495"
"testimonio","10","0.210467345207268"
"bajes","5","7.0897789079089e-05"
"bertina","2","0.190633287369928"
"bárbara","2","0.0457518209409629"
"elena","12","0.160361476845652"
"fernando","6","0.00353199220078686"
"jorge","4","0.000184739370678334"
"número","4","0.000297116158890355"
"batallón","4","0.000281092194086556"
"hermano","12","0.0132594995040609"
"maría","2","0.808054430091195"
"antioquia","11","0.000244713403092341"
"blanca","2","0.197822359684481"
"carmen","1","0.00190598225344341"
"dilma","1","0.163676889480061"
"ernesto","8","0.00136048834083421"
"garcía","9","0.0137392926302152"
"hernández","8","0.00138463068029313"
"juliana","3","0.162440194146627"
"justo","14","0.000154296186374197"
"nelos","14","0.000154287574645719"
"pres","6","0.000444615684521033"
"álvaro","15","0.000460791849941411"
"abuelo","10","0.0121854534684495"
"alejandro","6","9.74055716093098e-05"
"antonio","15","0.00229395657626063"
"carlos","11","0.000910482470565935"
"coronel","4","0.0001169748643835"
"dari","2","0.042522265386703"
"enrique","1","0.0109953054387769"
"gonzalo","12","0.00192648328605224"
"grupo","4","7.61340299649184e-05"
"luis","8","0.00713667775237017"
"participar","10","0.000496283096557266"
"alexander","13","0.00656134148699367"
"barrera","11","0.000180113790778684"
"bermúdez","1","5.73597310748232e-05"
"berrío","14","3.05667064030524e-05"
"césar","9","0.00278274947178591"
"elvia","2","0.197822359684481"
"gallego","12","0.0331495330680154"
"gómez","3","0.0440538055046603"
"naranjo","1","0.00262655280657214"
"ospina","4","1.06004157942306e-05"
"parrado","12","0.0013746087223285"
"presencial","10","0.040122081900883"
"quintero","3","0.00176128407840748"
"agudelo","6","0.00673652152797099"
"alonso","9","0.00282445375169304"
"armando","8","0.00136048834083418"
"atanacio","4","2.6427098185071e-05"
"atanasio","4","8.30300255280284e-05"
"augusto","1","8.51854458692711e-05"
"castañeda","1","0.000300890426148603"
"castillo","15","8.98988267806669e-05"
"centro","4","2.87113050697766e-06"
"cu","4","5.66402300999962e-05"
"diego","1","0.00165044409288538"
"díaz","3","0.00871482775801305"
"freddy","6","0.000265249376566968"
"giraldo","1","0.0505411055480892"
"jairo","9","0.000858102767923929"
"lopera","1","0.000272285143774731"
"mauricio","1","0.00152101322938693"
"pico","8","0.000658072792501168"
"adolfo","12","0.000522171471887712"
"alfonso","1","0.000500708395967542"
"arelis","3","0.000506630964495505"
"arias","3","0.00939575640684577"
"arturo","1","0.00225887025079191"
"bedoya","6","0.000150613969978947"
"castro","13","0.0344186557212397"
"cerna","8","0.000269135013907045"
"conscientes","10","0.000496283096557227"
"darío","6","9.14018262807006e-05"
"dios","12","2.21355017557307e-05"
"especial","4","8.75698165331817e-05"
"esperanza","13","0.160603413869112"
"esteli","2","0.042522265386703"
"francisco","8","0.00136048834083421"
"galeano","2","0.154042072382118"
"girardot","4","2.16530664971846e-05"
"granados","15","0.000849929210074567"
"gustavo","4","3.52174735390919e-05"
"humberto","13","0.000375392306883736"
"john","6","0.00139141164812545"
"león","13","0.00137224104760787"
"lili","7","0.0392474230724057"
"lópez","1","0.0121409368871868"
"madre","10","0.00241055515895411"
"martínez","6","0.000492389089710003"
"mejía","9","0.000211290908581299"
"mesquita","13","1.47114066240391e-05"
"mezquita","13","1.47114066240328e-05"
"nelson","12","0.0013746087223285"
"parra","1","0.00602740440097099"
"ramírez","3","0.00267222574929222"
"ríos","6","0.0318056008340467"
"uribe","15","0.000123207059213234"
"abelardo","8","0.000581465463815433"
"allí","6","0.000461382820797705"
"badillo","5","9.00105304704219e-06"
