"word","cluster","eigen"
"coronel","1","0.00306240673246922"
"especial","2","0.898174785474717"
"misión","3","0.0395907018670752"
"versión","4","0.00910424478349217"
"operacionales","5","0.0650367974048691"
"derechos","6","0.093015487483425"
"escalante","1","0.000363209930447388"
"especiales","5","1"
"delta","2","0.924413725332171"
"teniente","7","0.00203518463667851"
"civil","8","0.00691475699413222"
"militar","3","0.860012198712459"
"casanare","9","0.169104536002888"
"escuela","10","0.204173635231353"
"guillermo","7","0.0005384293529733"
"cabo","11","0.00524202817307428"
"capitán","7","0.000508632468915495"
"justicia","6","0.374770671328988"
"branza","9","0.002268082180106"
"armado","6","0.259279718044607"
"casallas","7","0.000457277148553771"
"misiones","5","0.0330857245577914"
"fuerza","12","0.000199191152091335"
"carrera","3","0.193232554364437"
"juan","13","7.60277807923137e-05"
"rodríguez","13","0.000585369543485691"
"joya","13","0.000154999024534501"
"fuerzas","5","0.314559799620988"
"control","14","0.326055867399027"
"derecho","6","0.126711345537671"
"directa","15","0.0453552527215536"
"gonzález","16","0.00652829360655248"
"garcía","17","0.000510251930607171"
"humanitario","6","0.0205223080590932"
"acosta","16","0.00107479656024125"
"conocimiento","15","0.0525761137713917"
"grande","9","0.0100944602682977"
"gaula","2","0.598376963648247"
"albeiro","13","3.48260844202737e-05"
"militares","5","0.399998389445218"
"profesional","16","0.00619872104672994"
"profesionales","18","0.114517368196799"
"sarmiento","19","0.00200169779964579"
"caso","20","0.127986219914275"
"durán","1","0.000172479453683155"
"ejército","10","0.00716649016614508"
"mis","5","0.898051846391935"
"gustavo","7","3.24055518734575e-05"
"daniel","1","0.00036320993044738"
"escobar","1","0.000172479453683222"
"forero","1","0.000162821526961642"
"pablo","19","0.000109016261234973"
"tácticas","5","0.147253276325667"
"amaya","21","2.00997778215537e-05"
"armas","15","0.0488456344757837"
"oficiales","18","0.147704469457813"
"flores","7","0.000457277148553823"
"carlos","13","0.000172176002304338"
"escrita","4","0.0028845428524703"
"jurídica","22","0.0651272631471944"
"ahorita","8","0.0115454878839863"
"armados","2","0.149641930416455"
"días","18","0.0351662035475453"
"fernando","13","0.00015204805714703"
"nacional","10","0.0193443139870361"
"operacional","14","0.253555588274264"
"operaciones","5","0.748755852148008"
"contraguerrillas","20","0.114739662059064"
"detallada","22","0.00023308505317196"
"táctica","3","0.176204711847143"
"óscar","19","1.9994775883395e-06"
"camila","17","4.07235086491588e-07"
"dónde","8","0.0261927153393839"
"suancha","7","0.000457277148553829"
"beneficios","6","0.263587750346591"
"brigada","10","0.142773538347078"
"contacto","15","0.0788893913268199"
"doctrina","3","0.203506310370363"
"grupo","2","0.867225456672461"
"mando","14","0.130230480784245"
"acuerdo","8","0.0121593364452684"
"gabriel","1","9.17035863351207e-06"
"número","20","0.483352945922211"
"soldados","18","0.509677750406118"
"batallón","10","0.1328286570854"
"exactamente","8","0.0377382032233701"
"judicial","10","0.00108624872806304"
"libre","4","0.031044088638633"
"mal","8","0.0115454878839863"
"paya","9","0.000566838122782262"
"reparación","6","0.0939429968324223"
"abogado","13","5.71814599638211e-05"
"almario","16","0.00146681506509298"
"compañeros","5","0.201779524162345"
"operativa","3","0.108947913222488"
"alveiro","13","3.48260844202683e-05"
"audiencia","12","0.000189135241336406"
"cuevas","16","0.00652829360655253"
"entrenamiento","2","0.212536795330696"
"guerrilla","20","0.108602557661338"
"gutiérrez","7","0.000481589583209594"
"rincón","16","0.00652829360655248"
"angarita","7","0.000154185404987359"
"antonio","7","0.000138724412084989"
"aranguren","1","0.000688079397366566"
"completo","4","0.122087239542211"
"detallado","4","0.0289716315460477"
"díaz","21","0.000256376632046551"
"manuel","7","0.000651583377985369"
"alberto","1","0.000181649812316689"
"auto","20","0.114376720212271"
"base","3","0.193232554364437"
"cometidas","14","0.000276747036494386"
"estable","22","3.29128039154148e-06"
"galvis","7","0.000115582031296693"
"gómez","17","2.16518067739193e-08"
"henry","1","0.00105128932781397"
"hombres","5","0.201779524162345"
"iban","12","0.0132175987245605"
"penal","6","0.42324168493428"
"regulares","18","0.114517368196799"
"sargento","21","8.94572561792808e-05"
"adoptar","22","5.86123230028533e-05"
"arciniegas","1","0.000363209930447377"
"asimismo","4","0.0015403588415871"
"busca","14","0.00465166524204025"
"cardona","19","2.59006198453864e-05"
"colectiva","14","0.0194638922176332"
"contrader","20","0.00153378249105713"
"decisiones","22","0.000246954597830063"
"declaración","20","0.0256988282718918"
"donato","11","0.0109346612263981"
"equilibrado","4","0.0127235989659327"
"exhaustiva","22","0.00103738207945724"
"gobierno","10","0.00434639323690858"
"inmaterial","6","0.0211076601817463"
"otorguen","22","0.00104049836960538"
"parra","19","8.89899283592909e-06"
"plena","22","0.00438394878977053"
"rendir","4","0.00228254782834295"
"tenían","15","0.18447049483236"
"abogada","17","7.23053931130419e-06"
"alfonso","13","3.2205477055803e-06"
"arenas","16","0.00146681506509298"
"céspedes","17","0.000114646378351666"
"daban","5","0.0650367974048691"
"duradera","22","1.39088624861893e-05"
"eduardo","19","0.00390896153878497"
"error","3","0.193232554364436"
"individual","14","0.00461883417051378"
"inteligencia","5","0.361467384198815"
"jerárquicos","5","0.0477474697824557"
"personas","12","0.0558572170077707"
"perteneció","5","0.139819382854305"
"pérez","11","0.0139080040448474"
"ramírez","1","0.000363209930447377"
"aguazul","9","0.0379953929669504"
"arrieta","21","2.00997778215728e-05"
"bernardo","19","1.95411607979324e-06"
"casan","2","0.134446824512131"
"comandante","10","0.283962033080601"
"comunicación","15","0.036389980608955"
"cont","20","0.0273141586529052"
"cuarta","10","0.0037213017943821"
"cuántos","18","0.148611431155397"
"democrática","22","0.00369576044505306"
"disciplinaria","6","0.0225028428406075"
"entender","3","0.0257805504103927"
"fabián","19","0.00148775283756074"
"guerrero","16","0.00619872104672996"
"heridos","18","0.114517368196799"
"infantería","20","0.108602557661338"
"jiménez","21","2.11684394340834e-05"
"ortiz","16","0.00146681506509298"
"promover","14","0.0194712688941769"
"ángel","13","7.62084284392896e-07"
"étnico","2","0.194853271213555"
"abstenerse","6","0.00499474548217992"
"autonomía","14","0.0569703477101431"
"boyacá","9","0.0402634751470564"
"casalla","7","0.000457277148553742"
"claudia","21","0.000197448314336126"
"conjuntas","5","0.168234829834378"
"contreras","21","2.00997778215959e-05"
"cuánto","8","0.0275853252306864"
"diligencia","4","0.00215435463284247"
"disciplinario","6","0.125356886641215"
"escorpión","2","0.201807146832154"
"hilario","21","0.00019744831433614"
"jueces","5","0.0212670472086878"
"leal","16","0.00619872104672997"
"moreno","7","3.86605474942763e-05"
"muertas","12","0.0125503251445262"
"muertos","18","0.114517368196799"
"nair","17","0.000121126309846373"
"nonato","11","0.0109346612263982"
"socha","16","0.00652829360655251"
"actuaciones","5","0.201779524162345"
"ambiente","14","0.0569703477101432"
"andrés","19","0.000358771389699465"
"armonización","14","0.000245573399657148"
"barrero","1","0.000688079397366554"
"campesinos","18","0.114517368196799"
"centurión","2","0.022995362477875"
"cerón","21","4.75624837637367e-06"
"colegas","5","0.201779524162345"
