"word","cluster","eigen"
"magistrados","11","0.310447060647976"
"cancamo","20","0.0530985396101289"
"indígenas","20","0.118809848172155"
"armado","18","0.00115873644118558"
"caribe","19","0.00016269075500426"
"máximos","24","0.0293529369360009"
"ejército","16","6.39514811223214e-05"
"versiones","11","0.0834667355882856"
"asesinatos","5","0.00273518912177886"
"audiencia","7","0.000149413184625568"
"justicia","17","0.00834151012784077"
"operacionales","10","0.000426644318576129"
"desapariciones","5","0.00160720034532972"
"hugo","3","4.71347813513624e-05"
"falsos","10","0.00177309068293581"
"indígena","20","0.0216338195233778"
"artillería","18","0.0003596351017713"
"armados","9","0.000544035013130377"
"nevada","8","1.4439804387169e-05"
"carlos","1","0.0196630934889954"
"fuerza","7","4.13925267679599e-06"
"marta","8","4.00031624439488e-07"
"humanidad","22","1.8093045588651e-05"
"manuel","3","0.00104212224748509"
"andrade","3","3.14360277021772e-05"
"flores","7","0.000322689910874071"
"cordial","11","0.020278077316875"
"grupos","9","0.000106609321488464"
"hijos","14","0.110510617194065"
"perdón","15","0.0431891162497341"
"quiero","15","0.252906735238292"
"coronel","2","0.00351266750665847"
"padilla","3","0.00021671857197279"
"criminal","26","0.000270490535378241"
"honorables","11","0.234886771137242"
"autoridades","14","0.335819547073345"
"especial","18","0.0273702479855898"
"militar","12","0.000903398618180022"
"comparecientes","11","0.494287451474653"
"arias","1","0.0044453637249044"
"enemías","2","0.000835708299563843"
"judiciales","9","0.114561001551699"
"eduardo","1","0.00129085555616119"
"espitia","3","3.55818678460919e-05"
"hernán","2","0.00155481443712424"
"ilegítimamente","5","0.00950157754358778"
"mercado","8","1.40397727627273e-05"
"causado","4","0.000461715129807234"
"jesús","1","0.000260817819358344"
"militares","12","8.82375036167265e-06"
"álvarez","2","0.000419585629498361"
"bello","8","0.00565555372119321"
"burgos","2","0.000320519772786692"
"costa","19","0.000905213276967878"
"gutiérrez","2","0.0028950833117287"
"magistradas","11","0.0509706490986619"
"proceso","17","0.000361310032238135"
"cabrales","2","0.000140714934040166"
"código","17","0.000648670499140535"
"evangelista","1","0.000750080206193551"
"integral","6","0.00141790088035473"
"acreditadas","11","0.164184672878765"
"albeiro","7","0.00140025426410309"
"caballería","18","0.000119588102685424"
"colombiana","19","3.22650568957288e-05"
"dadas","5","0.0367409376512188"
"hermanos","14","0.115055969581647"
"inocentes","5","0.223677571711207"
"internacional","17","0.00160059576865558"
"máximo","2","5.51431318178328e-07"
"étnicos","20","0.00514654012486834"
"elkin","2","1.93533959034292e-05"
"mario","3","0.00342562556590661"
"mendoza","1","0.000362024365422703"
"arturo","1","0.00372572157500072"
"colombiano","20","0.00872994329993644"
"comunidades","14","0.0586795198424119"
"gobierno","17","5.84507904005193e-05"
"quintero","25","7.44367805169059e-06"
"responsabilidad","10","0.00838242537591133"
"óscar","8","0.000370560703005767"
"david","13","0.00023614094171818"
"días","11","0.098963545546053"
"figueroa","2","0.00392827803519481"
"fuerzas","12","1.48885915758379e-06"
"gómez","2","0.00203253441707694"
"sepúlveda","8","0.000572161996976109"
"andrés","2","0.00398879023099477"
"asesinadas","5","0.219669362389694"
"conclusiones","18","0.000359635101771301"
"forzadas","5","0.0070537900633641"
"señores","11","0.433834236658076"
"acusación","6","6.9248741256845e-06"
"avanzando","23","4.89413157982597e-05"
"colegas","14","0.0542853767397911"
"delegado","6","1.16935324960125e-06"
"energético","18","0.00580911585751227"
"maestre","3","0.000271606313998451"
"nieves","1","0.000457346908212312"
"niñas","4","0.00190898651070122"
"operacional","10","0.000309155612775621"
"oñate","1","0.00134452970280609"
"profesional","8","0.000162549711293057"
"alfredo","13","0.00332998734586764"
"cancam","20","0.00968147335512923"
"civil","19","9.19319944915751e-07"
"corte","19","0.000827824763939957"
"enrique","1","0.00195835227737925"
"garcés","2","0.000179051347960983"
"igua","20","0.00537045774620559"
"jurídico","6","1.35391826245992e-06"
"londoño","8","0.00333350035248788"
"mecanizado","18","0.000728375557770516"
"mindiola","1","1.77605009152301e-05"
"nacional","17","0.000356006376086524"
"procesales","9","0.00108470121733675"
"sagrado","6","0.00245300892505624"
"adolfo","8","0.000350098263233976"
"alberto","13","0.00375049196003604"
"apoderados","9","0.182993833443194"
"burgo","2","0.000320519772786701"
"cabo","16","4.89989104013417e-05"
"compañeros","14","0.146139873834924"
"componente","6","3.0546845244466e-05"
"dejar","15","0.0427065253945933"
"especiales","9","5.03030914834044e-05"
"faustina","1","0.00123787491173095"
"grupo","18","0.00552434146031472"
"hermanas","14","0.0878302618536096"
"hermano","7","0.00820584225690663"
"hernández","7","0.000459192512653543"
"judicial","6","0.000249964806943869"
"legal","6","7.80172811222953e-06"
"profesionales","21","3.56744287143021e-05"
"ana","1","9.89778857898908e-05"
"cabildo","7","0.000242880736021994"
"contenido","6","3.05703072879695e-05"
"decirles","15","0.0415234095939353"
"derecho","17","0.000937433894582075"
"dinamarca","18","0.000779853417056805"
"falsamente","5","0.0084042206032058"
"familia","5","0.0184776355697285"
"guillermo","2","0.000475328306492935"
"hombres","4","0.0558410463544882"
"humanitario","17","0.000262793292687846"
"laura","8","0.000108034010557139"
"legales","9","0.0178883675119487"
"madres","14","0.01786813412398"
"mesa","13","0.00363238489977386"
"murieron","5","0.0367409376512188"
"regulares","21","3.56744287143011e-05"
"seguir","23","0.000298086995211723"
"apellido","1","0.000729860589000536"
"bajas","10","0.00193662598550776"
"castillo","25","1.3286174490459e-06"
"castro","13","0.000618868812848684"
"claro","15","0.00720600638240862"
"colectivos","9","0.0357881877989112"
"cometidos","5","0.000465163405987576"
"comisión","19","2.83777421158448e-05"
"damos","16","0.00162170013701592"
"diligencia","7","0.000186314322008069"
"encuentros","9","0.00085232943648048"
"estudiar","23","8.49331587780879e-06"
"ignacio","1","0.000310056069468801"
"irina","9","5.12947330571854e-07"
"llamados","10","0.00775867254573301"
"néstor","1","0.000603229662213856"
"pedir","15","0.0499611845242174"
"personas","5","0.223778121349662"
"presentar","10","0.0111594841523884"
"pueblo","20","0.0327098605006278"
"asesinado","20","0.00895948363374953"
"batallón","18","0.00669794568817463"
"comando","18","6.06823621157734e-05"
"comunidad","17","0.00392041598652556"
"crímenes","22","9.79828048786282e-05"
"dialógico","17","6.09649784026703e-05"
"encuentran","5","0.034868794398808"
"entero","8","1.03339622914519e-05"
"entorno","12","7.58084653498391e-07"
"gabriel","1","0.00018153913665133"
"indeterminadas","11","0.164184672878765"
"juan","2","0.00509005064182202"
"legítimamente","5","0.00725410162180901"
"número","18","0.00219043041878134"
"obras","9","9.13666092984363e-05"
"procesal","7","3.17129275193872e-05"
"registro","7","0.000499532464421578"
"respetadas","11","0.164184672878765"
"respetuoso","11","0.0202936522519785"
"viva","11","0.000562203092162918"
"acciones","14","0.0574241827515939"
"acosta","1","6.09063422121225e-05"
"actividades","9","1.54413096729021e-05"
"afrodescendiente","17","0.000643672216296364"
"alexander","8","0.00219444913251294"
"autónomo","6","4.8352768700272e-05"
"auxiliar","9","3.03999150685581e-06"
"buscar","17","0.00136954811165444"
"carrillo","1","0.00113477215620881"
"caso","7","0.00505344973595701"
"cecilia","3","2.87989960781935e-05"
"compareciente","2","3.26806754606263e-06"
"creativos","9","0.000261687566749354"
"desaparecidas","5","0.0728072800566573"
"digo","11","0.115366317085562"
"elementos","15","0.0426737490686143"
"encuentro","6","3.14172086279465e-05"
"escenario","6","7.4604062804659e-05"
"espirituales","14","0.0747350407427825"
"ester","7","2.23574562485967e-05"
"extensivo","11","0.0197314491598156"
"felipe","2","0.000240377712960898"
"fueran","21","0.0400815804949558"
"individuales","11","0.202475195836355"
"macr","26","0.000939334972944291"
"montaño","3","9.7605465779308e-05"
"oficiales","21","6.01945858690194e-06"
"periodísticos","9","0.00159386112090135"
"presentes","5","0.206650532132028"
"restaurativa","17","0.00170415439683428"
"rodríguez","3","0.000170677764087992"
"rueda","25","4.53372286291071e-05"
"aceptaron","10","0.00137626576827466"
"ancestral","20","0.00238014592494955"
"antiguos","16","2.05286085898925e-06"
"antonio","1","9.4299985734612e-06"
"aparato","26","4.44104000678957e-05"
"aparecía","7","0.00134727352664497"
"armando","8","0.000607689734698162"
"arnulfo","8","0.000293219141076565"
"asesinar","5","0.0377587864100328"
"asistentes","11","0.107969869880533"
"buscando","23","0.00141848942745274"
"básico","6","4.83527687002764e-05"
"cancino","1","0.00016197997935339"
"causaron","4","0.000448548910875004"
"colectivas","11","0.19742799667322"
"colectivo","4","0.000804798044417542"
"constitucional","19","0.000950600002782713"
"cumplir","11","0.0136934411896853"
"césar","8","0.00173643477182642"
"dando","15","0.00152765232043493"
"darle","15","0.0430098815914285"
"daño","4","0.00273197797949262"
"debo","15","0.00725526029471262"
"desproporcionado","4","1.27803884366155e-05"
"diferenciado","4","7.78415439915556e-05"
"dios","11","0.143203501144049"
"directas","11","0.164184672878765"
"eduard","13","5.33506591916051e-05"
"edwin","13","0.00121215522213203"
"entregaron","16","1.01499334289151e-05"
"escritas","10","0.0101287216834032"
"escuela","12","0.000148324206605022"
"espacio","6","0.000443786857988317"
"estefanía","3","2.87989960781964e-05"
"everde","1","4.28222883523055e-05"
"familiar","12","4.61726810561398e-06"
"familiares","11","0.270629686048846"
"fenómeno","26","0.000198634805324343"
"fernando","1","0.000995015034213288"
"futuras","5","0.00104685006099541"
"guzmán","3","3.46130216465445e-05"
"habitan","20","0.0195067560569209"
"haga","17","0.00136954811165446"
"huihua","20","0.00537045774620559"
"iban","21","0.00121539046113537"
"inmensa","10","0.00137626576827466"
"integraron","9","1.89523411411024e-05"
"intervinientes","9","0.000191512847693609"
"jaime","1","0.00131654646225617"
"jair","1","5.58441627009166e-05"
"javier","4","7.95631419028824e-07"
"leonardo","2","0.000111430178578261"
"luchando","23","5.03357880873033e-05"
"luz","1","0.000161979979353397"
"lópez","8","0.000492349059131619"
"mis","14","0.330636080627794"
"morales","8","0.000499525562813842"
"moreno","2","0.00022369737980269"
"mostrar","10","0.000403642552290469"
"nalina","3","6.01151718480417e-06"
"observaciones","10","0.0616910306291648"
"ordinaria","17","0.00207413012093428"
"orejarena","8","8.12316608893896e-06"
"parra","8","6.25258731834315e-05"
"pueblos","20","0.0313460448812334"
"quieren","23","5.17302603763352e-05"
"reconocer","10","0.0441735304761046"
"reparador","6","5.15822412130326e-06"
"tienes","16","1.3630728983772e-06"
"álvaro","8","0.000362687531278503"
"étnicas","14","0.228955373131306"
"abelino","2","0.000753244764722414"
"abogadas","4","2.55800039017399e-05"
"abogados","4","0.00015580019409383"
"agradecer","15","0.0415234095939353"
"alfonso","8","8.67565546797952e-05"
"amenazas","4","0.00169340659672226"
"anticipo","6","2.22292627015018e-07"
"aprovechar","15","0.0415234095939353"
"blanquicet","13","1.75450697031536e-05"
"bolaño","1","2.99678519302189e-06"
"buenahora","2","0.000179051347960987"
"cabeza","13","0.000103496606155865"
"camargo","8","0.000135097726514377"
"campesinas","14","0.00963427777000934"
"campesinos","5","0.0367244289417209"
"cancamos","14","0.0188904267285118"
"cancuan","20","0.0053704577462056"
"cano","13","0.000106861800164059"
"causas","9","0.000178091314539626"
"causé","4","0.000448548910875016"
"colectiva","17","0.000301645679176907"
"comandante","18","0.000153043021166863"
"combate","5","0.0403014788203871"
"combates","10","0.000291114313762192"
"conectados","5","0.00572492160204517"
"conjunta","12","2.50272100009323e-05"
"consuelo","4","7.95631419026788e-07"
"contreras","2","0.00119214344242562"
"control","12","0.000157433407449852"
"cuán","15","0.00147501999071359"
"cáceres","1","0.00302916827743573"
"daniela","3","4.72835375031616e-06"
"decisiones","12","1.44872456670464e-06"
"determinación","10","0.00137626576827465"
"dimensión","17","0.00032932162934006"
"dirigir","11","0.0918544970951324"
"divina","17","0.00136954811165446"
"dolor","4","8.01915227614893e-05"
"don","3","0.000606886904270633"
"entidades","11","0.00467807154104973"
"esposas","14","0.0146544583853066"
"expresar","15","0.0415234095939353"
"ficticios","10","7.00484578809961e-05"
"firma","4","1.30630484248601e-07"
"gina","2","9.79516427324104e-06"
"gobernador","7","4.10135076513439e-05"
"gonzález","2","4.58883638217392e-05"
"graves","22","1.70040159087512e-05"
"hermana","7","0.000311539319163056"
"hernando","7","6.92033817239378e-06"
"hijas","14","0.0892559465409272"
"hijo","7","0.0093260773693128"
"ilegales","9","0.00311514936187079"
"iniciar","15","0.0415234095939353"
"insistir","15","0.0415234095939353"
"inspecciones","9","0.0188091605644293"
"interamericano","6","4.83527687002721e-05"
"iván","3","9.76054657793081e-05"
"joaquín","2","0.000271925698415733"
"joven","20","0.0163890227779553"
"libreta","12","0.000148324206605021"
"lina","2","1.00665235916031e-05"
"lora","2","0.00085705280263335"
"líneas","9","4.40312813207712e-07"
"machado","1","0.000166467374925649"
"mandó","21","0.00117971603242108"
"manuela","1","0.000139852523335457"
"marcela","2","5.96594316723481e-05"
"martínez","1","0.00655295597033027"
"maría","1","0.000986571867600618"
"merezco","15","0.00709099092338553"
"mundo","8","6.29410901168478e-05"
"máxima","10","0.00137626576827465"
"organizaciones","11","0.168862744419814"
"oseas","1","0.000126660602152789"
"pedirle","15","0.0486144005173208"
"pedía","10","0.000403642552290469"
"plantear","15","0.0415234095939353"
"prendas","12","1.48885915758416e-06"
"procesos","9","0.0196155381819292"
"público","6","2.33899226403821e-05"
"rendidas","11","0.00231231205984156"
"reparación","17","0.00145838687025113"
"romero","3","0.000210817617988654"
"seas","1","0.000126660602152791"
"soldado","8","0.000990041935358353"
"te","16","0.000283072886385232"
"teniente","2","0.0010905484953105"
"tirado","2","0.000519979675734075"
"táctica","7","2.66649399624492e-05"
"tú","16","8.30207153012514e-06"
"ustedes","11","0.559458416456198"
"ángel","1","0.000995015034213292"
"abril","3","1.01434220650117e-06"
"activos","9","5.28863580028897e-07"
"afectación","17","4.95255971609402e-05"
"agradecerles","15","0.0415234095939353"
"aguirre","13","0.000101608773592422"
"albardón","18","0.000779853417056804"
"alex","3","2.97412104254516e-05"
"alturo","1","0.00372572157500069"
"analizó","5","0.0898427878874453"
"anita","7","3.67075164056451e-06"
"antecedentes","9","0.000183025048816619"
"aplausos","20","0.00537045774620559"
"apoyo","11","0.0444332464752124"
"armadas","12","2.44447853736578e-07"
"arévalo","4","7.74183895717066e-07"
"asesinaron","16","1.04998530081735e-05"
"asimismo","12","4.74086450087546e-06"
"atroces","22","1.60872747667632e-05"
"avanzó","17","0.000340540375413563"
"barona","8","2.21809760344179e-05"
"beleño","1","0.00322837857227523"
"bula","1","0.000281698234170968"
"cabrera","22","0.000330777380660682"
"canamas","11","0.164184672878765"
"cancu","20","0.00355194158156398"
"capacidad","6","1.28092417799593e-06"
"carolina","1","0.000750080206193537"
"catalina","8","1.77375286830914e-05"
"caterine","7","2.11520939339832e-05"
"causa","7","3.07457905080083e-05"
"causar","21","0.000211278447275324"
"causó","4","0.000448548910875011"
"ccama","20","0.00355194158156398"
"ceballos","2","0.000179051347960979"
"ciudadanos","7","4.4992592064047e-06"
"condujo","20","0.0195067560569209"
"conformada","26","4.44104000678991e-05"
"conocí","23","8.25802218153809e-06"
"constitucionales","9","0.0029369957682844"
"constituyen","22","1.6087274766765e-05"
"constituyeron","22","1.60872747667594e-05"
"contrastación","6","4.10403900592983e-05"
"controles","7","8.2015574263358e-05"
"corazón","7","0.0146092556774507"
"creyendo","23","1.39447228903518e-06"
"culturales","9","7.42953661551683e-08"
"darío","8","1.46387064028425e-05"
"dasa","2","0.000141011690481615"
"deberán","9","3.14434742506467e-05"
"decías","16","1.3630728983751e-06"
"demostrar","10","0.000403642552290472"
"denominado","5","0.000464189221393479"
"departamental","17","6.00700758151929e-05"
"depusieron","9","1.50716176087313e-05"
"descanse","17","0.000237672496794142"
"desconfianza","24","0.000860914256082746"
"desproporcionada","24","4.14553617370657e-06"
"diario","17","2.59701027537008e-05"
"diligencias","9","0.0188091605644293"
"doña","1","0.000183168224974405"
"día","21","0.000229867816300993"
"díaz","8","0.000108034010557133"
"eduar","13","1.45799359223138e-05"
"edward","13","5.33506591916073e-05"
"empezar","17","0.00140748924584149"
"encontrar","21","0.00021127844727533"
"enemistades","24","0.000145494461685303"
"er","7","0.00134727352664496"
"esclareciendo","23","4.89413157982653e-05"
"especialmente","11","0.164184672878765"
"espero","11","0.0918544970951325"
"estable","17","0.000237672496794143"
"establecido","6","1.05105660455141e-05"
"estimulada","10","0.000403642552290473"
"estudios","14","0.0542853767397911"
"estuviera","14","0.0131269657503545"
