"word","cluster","eigen"
"batallón","7","1"
"brigada","7","0.648444425665609"
"operaciones","7","0.671468196045714"
"comandante","7","0.780565218292352"
"especial","7","0.209307470372405"
"operacionales","8","0.0156099944614711"
"derechos","13","0.00676446571620398"
"oficial","7","0.283217018505385"
"versión","21","0.0103996060148359"
"inteligencia","7","0.419540652299302"
"misión","23","0.0938125847927163"
"bajas","8","0.0368413608795884"
"profesional","22","0.0111706903582895"
"civil","19","0.00800371376585492"
"jefe","7","0.205984145587115"
"militar","1","0.146981131656802"
"versiones","4","0.0154903734977755"
"control","7","0.0981774362619627"
"informe","6","0.0644275041053893"
"combate","8","0.290057369139823"
"profesionales","22","0.00975735161460997"
"área","7","0.20248615554889"
"coronel","14","0.290318404297046"
"representación","4","0.00769833551540606"
"programas","7","0.082928208924035"
"compañía","7","0.195881210627733"
"desarrollo","4","0.074559546160787"
"especiales","7","0.111078545681709"
"justicia","4","0.0322327700153954"
"operacional","8","0.0792647501656837"
"ejército","7","0.228334388806278"
"armado","17","0.00904312788811131"
"capera","14","0.00808821088296801"
"pronto","22","0.508252307375124"
"fuerza","1","0.0412396804789692"
"armados","20","0.000677617453741965"
"días","21","0.172147135843802"
"día","21","0.357244824525853"
"tácticas","7","0.0156206932150293"
"misiones","7","0.0331953309725254"
"fuerzas","7","0.0637388548728083"
"información","22","0.563488571120974"
"diligencia","21","0.0300926991687675"
"comando","7","0.134903164361064"
"anexo","7","0.0202692708719082"
"artículo","20","2.21095503918521e-05"
"caso","22","0.344094748607637"
"ejecuciones","4","0.00626316734216611"
"táctica","23","0.0534636966735008"
"escuela","3","0.0115895022788349"
"orden","23","0.370883497726765"
"escalante","14","0.00105475140125353"
"carrera","1","0.00710110058294407"
"regulares","22","0.00975735161460997"
"representante","4","0.00768036647067749"
"audiencia","21","0.0194375019465698"
"reconocimiento","6","0.0343464849599398"
"baja","22","0.0424143252881283"
"hijos","5","0.00135335427645621"
"entrenamiento","7","0.0131053410266515"
"ilegítimamente","8","0.00316072445484153"
"cabo","14","0.00992605214897419"
"derecho","13","0.00639377442708746"
"ambiente","8","0.0038295185052918"
"folio","22","0.00172324732633847"
"abrigada","7","0.0783661621128394"
"militares","7","0.0498175200775453"
"conocimiento","22","0.289778826008571"
"delta","7","0.120926803012596"
"humanitario","13","1.49589240439675e-05"
"exactamente","22","0.0528873934025036"
"repito","10","0.00032842938638559"
"operación","22","0.580778905488453"
"programa","21","0.0955737452770112"
"judicial","1","0.00539916788554713"
"comandantes","7","0.22592760399626"
"general","14","0.158393657050154"
"teniente","14","0.254969786861777"
"representantes","4","0.00626316734216611"
"rodríguez","14","0.0347276633333926"
