"word","cluster","eigen"
"batallón","1","1"
"operacionales","2","0.00425519213379928"
"especial","3","0.172025778994344"
"profesional","4","0.000586753335705353"
"derechos","5","0.000423759496287631"
"brigada","1","0.355552807490387"
"misión","3","0.00158683209343628"
"control","6","0.0457192783110644"
"civil","7","0.0116864384462035"
"profesionales","8","0.00763694843225044"
"capera","9","0.00120619958795252"
"operacional","6","0.0127408530615446"
"militar","10","0.0660536215843052"
"comando","10","0.0446314756662294"
"coronel","11","0.142052318714902"
"comandante","1","0.497611649154824"
"tácticas","2","0.00774199436912257"
"armados","12","0.00244828604565588"
"programas","13","0.000316795146140751"
"regulares","8","0.00742208135006558"
"especiales","12","0.0773632293069989"
"ambiente","6","0.00213709348915422"
"táctica","3","0.00764555558045259"
"misiones","2","0.00129860737576978"
"justicia","14","0.00249216504595187"
"orden","12","0.0102874461554211"
"fuerzas","12","0.0240681046380438"
"fajardo","15","0.00709318061148428"
"forero","15","0.0121121877305603"
"rodríguez","9","0.0263514570983384"
"judicial","10","0.00419619624875884"
"carrera","10","0.0110795379195561"
"formal","14","0.000472654426422577"
"sargento","9","0.00597128848826596"
"armas","2","0.0164134839760721"
"exactamente","7","0.336200452364129"
"derecho","5","1.34599646074772e-05"
"disciplinaria","14","0.00268010423140356"
"armado","3","0.011754046214021"
"humanitario","5","3.89662034861855e-07"
"ejército","10","0.109191773171458"
"iba","16","0.19783830220848"
"escuela","10","0.0275738185554469"
"asesor","6","0.000380168341893465"
"investigación","14","0.00281785547824662"
"ofensivas","12","0.0527035050343555"
"programa","13","0.000307624019405355"
"cabo","11","0.0135086542171084"
"aguilera","15","0.00175608587784675"
"militares","12","0.0661251984194617"
"motorizado","3","0.155081893467472"
"infantería","17","0.0435830559688997"
"campesinos","8","0.00742208135006558"
"león","15","0.0121121877305603"
"abrigada","1","0.0106000170757441"
"capitán","15","0.0104693745250955"
"regular","4","0.000569766998415426"
"conocimiento","6","0.0150593654992414"
"berlín","1","0.260876960637406"
"grupo","3","0.0651625534248102"
"días","8","0.028382720811523"
"acuerdo","7","0.20463639362726"
"rivera","4","0.000553736489166727"
"azteca","1","0.260876960637406"
"cuántas","8","0.00508452026098755"
"cuarto","1","0.148324972287528"
"persona","16","0.0373927148136495"
"cuántos","8","0.139499234472433"
"declarar","18","0.00390659239389854"
"gaula","10","0.027762082147623"
"leal","4","0.000553736489166721"
"compañero","17","0.00142429457813236"
"evangelista","11","0.0042349743056599"
"hacía","13","0.00178238320102866"
"jiménez","15","0.00709318061148428"
"mí","18","0.000127906080434148"
"catapulta","1","0.217118630535375"
"oficiales","8","0.00128098744195005"
"completo","17","0.199294797281615"
"operativa","3","0.00732574367674876"
