"word","cluster","eigen"
"ejército","8","0.214224809742601"
"derechos","6","1.05055621055478e-05"
"queridos","6","0.000740588124310926"
"óscar","9","7.81801310995215e-06"
"militar","7","0.000538054138068237"
"armado","2","0.000565564805606079"
"magistrados","10","0.245897614382298"
"doña","3","4.54367953848235e-05"
"catalina","5","2.09082147388674e-06"
"justicia","7","0.0031256133169948"
"desapariciones","22","0.00093844783133137"
"asesinatos","22","0.000166764558450593"
"hijos","6","0.0024597372923533"
"militares","12","3.07809515752936e-05"
"haga","7","0.000573540789934678"
"eduardo","2","0.000292632807619502"
"asesinadas","17","0.11432469516122"
"quiero","4","0.977638349529932"
"ana","3","2.02633830337025e-05"
"cordial","4","0.0111076216141057"
"fuerzas","12","5.66390941480142e-06"
"dadas","17","0.0900428428402919"
"david","1","1.39503752393085e-05"
"fredy","5","3.44419942986673e-06"
"infantería","2","0.000148872237065214"
"isabel","3","1.58321857616527e-06"
"rodríguez","2","0.000248468311703466"
"artillería","2","0.000148872237065213"
"carlota","3","8.07423371540323e-06"
"don","19","0.000273046865516393"
"energético","2","0.00290201230250158"
"gonzález","1","3.30462356984529e-06"
"hijo","11","1.70614584940702e-08"
"acosta","5","1.0869880251868e-06"
"compartir","13","4.36237973529606e-07"
"graciela","19","1.27023901478328e-05"
"mario","1","4.42155907054786e-05"
"armados","8","0.00137279095715647"
"caso","8","0.0114440669107359"
"criminal","18","0.000468652264946081"
"ángel","1","6.06388641363603e-07"
"alberto","1","4.09186498963812e-05"
"andrés","9","0.000282828396136657"
"derecho","7","0.00190476372574999"
"desaparecidas","17","0.114082925689252"
"forzadas","22","0.00417579180147386"
"inocentes","17","0.114769667923082"
"luz","3","9.24156079975019e-06"
"padre","13","4.21549333401947e-07"
"papá","13","4.08237568063428e-07"
"testimonio","13","8.75906676581787e-06"
"bajes","2","0.000831599318824169"
"bertina","3","8.07423371538008e-06"
"bárbara","3","2.34897308616047e-06"
"colegas","6","0.000169894776183325"
"elena","11","9.52251592924858e-06"
"fernando","5","3.32402502148848e-05"
"grupos","8","0.00723732190120314"
"hermano","11","4.39540019496314e-07"
"jorge","2","0.00114685723238562"
"niñas","17","0.0106911742027352"
"número","2","0.00083776090865641"
"batallón","2","0.00418732616373098"
"comunidad","7","0.00190476372575"
"coral","1","1.48148261838993e-06"
"días","10","0.0635525182532837"
"económica","15","0.000117012562096833"
"honorables","10","0.0436966293889164"
"macrocriminalidad","18","0.000101169978419577"
"maría","3","5.17735735303007e-05"
"sé","10","0.183692354769539"
"actores","8","0.000243948432903708"
"amor","2","0.000119173204773669"
"antioquia","1","3.57291050640209e-05"
"blanca","3","8.33751743245788e-06"
"carmen","19","7.64288083099959e-06"
"comparecientes","10","0.245475269714442"
"decirles","4","0.173728812876506"
"dilma","19","5.08515439969512e-05"
"ernesto","19","2.63072608876921e-05"
"especial","2","0.0114788377011961"
"frente","10","0.183497039386205"
"garcía","19","8.23216449071423e-05"
"grupo","2","0.00298164446147052"
"harvey","5","3.15021497945399e-06"
"hernández","19","2.83479484032634e-05"
"hombres","21","0.000113681973412221"
"humanos","6","5.72519433592663e-05"
"juliana","5","2.05946015651925e-05"
"justo","2","0.000191500685423295"
"luchando","20","0.0285134726785701"
"macr","18","0.00220009641730053"
"nelos","2","0.000191493814772694"
"ortiz","9","6.97909352198794e-05"
"pres","5","7.28481016320185e-06"
"álvaro","16","1.35530231694229e-05"
"abuelo","13","4.08237568060534e-07"
"agradecer","4","0.173728812876506"
"alejandro","5","1.50038146348603e-06"
"antonio","16","7.32112253554446e-05"
"campesinas","17","0.110623150317393"
"cardona","19","1.68280467911784e-05"
"carlos","1","0.000150268093170129"
"casos","10","0.183497039386205"
"cañas","5","1.19507925614232e-06"
"cerrar","4","0.173728812876506"
"cometidos","12","0.000156434188858274"
"coronel","2","0.000649455736028554"
"dari","3","1.64224878002899e-06"
"directas","10","0.144699409793073"
"enrique","19","6.79585096301472e-05"
"especiales","12","1.09202885027023e-06"
"gonzalo","11","8.02377329280089e-08"
"hermanos","6","0.000734337408370312"
"luis","19","0.000148040999584578"
"nacional","8","0.0519655255704025"
"participar","13","1.42247994480501e-08"
"personas","17","0.506705449739883"
"tantas","17","0.306051335878996"
"alexander","14","3.60362103076873e-07"
"barrera","1","2.75737502109533e-05"
"bermúdez","9","4.51022726348477e-07"
"berrío","2","3.51772118453993e-05"
"buscando","20","0.0274816774510971"
"civiles","17","0.118752423079127"
"contraguerrillas","2","0.00014887223706521"
"crímenes","12","0.000880314898106032"
"césar","5","1.57157529980904e-05"
"defensoras","17","0.00387329117190052"
"dejar","4","0.173728812876506"
"delegado","10","0.0265519132979601"
"díaz","5","1.17658505865001e-05"
"edison","14","6.84294791885208e-08"
"elvia","3","8.33751743246174e-06"
"familias","17","0.341120114547603"
"fase","8","0.00923440561859152"
"gallego","11","1.81325874127937e-06"
"gobierno","8","0.00953552009231704"
"gómez","5","6.41201112880053e-05"
"humanitario","7","0.00190476372574999"
"identificadas","17","0.0900428428402919"
"ilegítimamente","22","0.00417579180147386"
"ilegítimas","22","0.000166764558450596"
"instrucción","7","0.000468982966245279"
"naranjo","19","1.55132941353048e-05"
"ospina","2","0.000136539866904963"
"parrado","11","6.38240918265589e-08"
"patrón","18","0.00046806323227318"
"presencial","13","1.55650836716302e-06"
"puedan","10","0.228541024621335"
"quintero","1","3.75464775031123e-05"
"restaurativo","15","6.74845157887787e-05"
"agudelo","5","6.41609421723518e-06"
"alonso","19","1.56149486301427e-05"
"armando","19","2.6307260887696e-05"
"atanacio","2","0.00015043530112014"
"atanasio","2","0.000923702632715251"
"augusto","19","4.25948756156687e-06"
"base","7","9.56135842204186e-05"
"cano","5","2.12368613158382e-07"
"castañeda","9","2.53807705516432e-06"
"castillo","16","2.46773101159024e-06"
"centro","2","9.72251317447892e-05"
"colombiano","8","0.0380682917186833"
"compañeros","6","0.000169894776183322"
"compensación","15","2.07934288937253e-05"
"comunidades","17","0.0940167585085386"
"cu","2","0.000148872237065212"
"darle","4","0.179584690538159"
"diego","9","2.87651900611027e-05"
"dónde","10","0.0337070032580908"
"empezar","4","0.173728812876506"
"estable","7","0.000108910169024313"
"falsamente","22","0.00427929183170801"
"familiares","10","0.322401944641504"
"finalizar","4","0.173728812876506"
"freddy","5","2.93784636626089e-06"
"giraldo","19","0.000234387476678102"
"graves","12","0.000161535177530039"
"guzmán","1","0.00012311854095101"
"honestas","17","0.0900428428402919"
"indeterminadas","10","0.144699409793073"
"integral","15","0.000119213089699336"
"jairo","5","6.11689656599012e-06"
"judicial","15","0.00188287873887545"
"jóvenes","21","0.00348633342337244"
"lescano","14","7.06608200812826e-08"
"lopera","9","1.10162353985266e-05"
"mauricio","9","1.38317057518944e-05"
"organizaciones","17","0.0217964880197358"
"parra","9","4.39949442286839e-05"
"pico","19","2.38324762921357e-05"
"presentes","10","0.0524118756031004"
"proceso","15","0.000346584494229086"
"señores","10","0.29494163179948"
"acreditadas","10","0.144699409793073"
"adolfo","11","1.48888103265456e-08"
"agradecerle","4","0.173728812876506"
"ajenas","17","0.090042842840292"
"alfonso","19","2.7567516917048e-06"
"alvarado","9","2.53807705516001e-06"
"arelis","5","1.82386705508743e-06"
"arias","5","2.08691893305548e-05"
"arturo","19","3.59296731972669e-05"
"bedoya","5","1.23652286373087e-06"
"blanco","1","5.0103343028285e-08"
"campesinos","21","0.0183596669028277"
"castro","14","1.88880481979329e-06"
"central","8","0.0016944860915029"
"cerna","19","4.82730448726563e-06"
"comando","8","0.000373166863947119"
"comenzar","4","0.173728812876506"
"cometieron","12","0.000161904041978279"
"conocimientos","6","0.000169894776183317"
"conscientes","13","1.42247994530761e-08"
"corresponde","18","8.31760228443019e-05"
"darío","5","1.38179863400389e-06"
"detenerme","4","0.173728812876506"
"dios","11","5.56338149248266e-10"
"dirige","10","0.177702534848432"
"dr","5","1.08698802518569e-06"
"duradera","7","1.93536131063977e-05"
"durango","19","1.97076248589349e-05"
"enfrentar","10","0.0326078890361111"
"enteras","17","0.0773249253480965"
"entero","10","0.0337070032580908"
"esperanza","14","9.5359406588391e-06"
"esteli","3","1.64224878005213e-06"
"extenderle","4","0.182862581973648"
"feur","12","4.33500761867443e-08"
"francisco","19","2.63072608877236e-05"
"galeano","3","9.20029525457525e-06"
"girardot","2","0.000197101130751236"
"granados","16","1.74764499873913e-05"
"gustavo","2","0.000203799437304179"
"herrera","2","3.89012290555293e-06"
"hijas","6","0.000437101551912388"
"humberto","14","1.54832154183584e-06"
"internacionales","17","0.00416112619816844"
"iván","1","5.17371072990542e-08"
"jesús","19","9.4697843255388e-05"
"john","5","1.65323830004611e-05"
"león","14","3.4570235692919e-07"
"lili","3","1.53322339771189e-06"
"lópez","9","6.69464894833813e-05"
"madre","13","7.49103851004262e-08"
"madres","6","0.000104152033414271"
"martínez","5","7.90997607401057e-06"
"mejía","1","2.88380466940709e-06"
"mesquita","14","5.21892792546858e-08"
"mezquita","14","5.21892792636852e-08"
"mis","6","0.000956062761446714"
"nelson","11","6.38240918237256e-08"
"niños","17","0.0601633185022041"
"pedirle","4","0.185987721533301"
"perdón","4","0.0689855587442856"
"preguntar","4","0.173728812876506"
"prestar","7","1.75448096295531e-05"
"priorizadas","12","1.0037018534032e-06"
"ramírez","1","4.33792933422855e-05"
"reparación","15","0.000637680926560089"
"respetuoso","4","0.0111076216141057"
"ríos","5","2.86556123399619e-06"
"uribe","16","3.05680976827037e-06"
"abelardo","19","4.85211201346829e-05"
"adscrita","7","1.75448096295567e-05"
"allí","5","7.52235244467685e-06"
