"word","cluster","eigen"
"especial","1","0.0163326105220802"
"operacionales","2","0.00011929707370086"
"versión","3","0.000516527627731729"
"coronel","4","0.735545003985046"
"militar","5","0.0121818937939666"
"especiales","6","0.00348367735833546"
"misión","5","0.000161126212089262"
"derechos","7","0.000148661633095326"
"escalante","1","0.117218373115843"
"justicia","8","0.00685987579425285"
"casanare","5","0.00339082597744356"
"ilegítimas","9","0.000230653699761636"
"profesional","10","0.0128960053246401"
"acosta","4","0.149788390420187"
"operacional","11","0.00203699957383075"
"capitán","12","0.317459997423683"
"civil","5","0.000402569023493335"
"cabo","13","0.0181325345735963"
"misiones","6","0.00016786411382428"
"ilegítimamente","9","0.000187551569195748"
"teniente","12","1"
"delta","1","0.0134484586792186"
"juan","10","0.0129452010476628"
"armado","7","0.00264462511962393"
"carrera","5","0.00208300174875057"
"gaula","5","0.00411726398392177"
"bracamonte","14","0.00179767732682025"
"profesionales","15","0.000158226454660374"
"burgos","16","0.0562186653826334"
"fuerzas","6","0.000671892520134252"
"escuela","1","0.00219392830428024"
"garcía","12","0.286304016088502"
"derecho","7","8.92999588450323e-05"
"campesinos","15","0.000158226454660369"
"judicial","8","0.0011642987038522"
"humanitario","7","8.23424059451685e-05"
"regulares","15","0.000158226454660384"
"orden","17","0.000321995637442038"
"tácticas","6","0.000183562314596432"
"convita","12","0.226045101724506"
"ejército","1","0.00717519600212054"
"fernando","10","0.0548521445785017"
"ejecuciones","9","2.38593718162506e-05"
"magistrados","2","0.0160637820291663"
"nacional","1","0.00812892037067788"
"integral","17","4.12870893799477e-06"
"casallas","12","0.207355662894687"
"conocimiento","7","0.000261687788937351"
"directa","17","0.000128567174695406"
"juez","8","0.000968628228415583"
"jiménez","16","0.238985661857509"
"gonzález","10","0.0132964786406396"
"almario","10","0.00227358641678477"
"carlos","18","0.0564828798460227"
"legítimamente","9","0.000175990520344303"
"batallón","13","0.0510732388976696"
"falsos","19","4.02781323814183e-05"
"detallada","20","2.30306326941879e-06"
"táctica","5","0.000942304731271896"
"armas","7","1.2645169390074e-05"
"enrique","14","0.00972574184940161"
"control","11","0.00372009224391858"
"cuarta","1","0.0192073960328036"
"militares","6","0.000445711239703503"
"marcolino","16","0.0293516454875696"
"quiero","21","0.000116818580367395"
"rodríguez","16","0.253856730998812"
"torres","4","0.483997770641107"
"brigada","1","0.0589558209704489"
"caso","22","0.0024164237960915"
"exactamente","19","0.00729093156368334"
"pablo","10","0.00469745608375994"
"regular","10","0.0128960053246401"
"grupo","1","0.00707610844964584"
"armados","9","0.000777098042349203"
"bonilla","10","0.0128960053246401"
"daniel","4","0.0827595626499493"
"reparación","8","0.00124699926231349"
"acuerdo","19","0.00779370511559003"
"mal","19","0.00125675462586821"
"suancha","12","0.181962540192538"
"franco","16","0.013710391148721"
"infantería","13","0.00429720497532985"
"operativa","5","0.000914753499318281"
"oficiales","15","0.000190862310185954"
"alexander","12","0.0330465057651923"
"céspedes","12","0.0489555873883937"
"soldado","10","0.0732138231575151"
"augusto","12","0.0699347124700268"
"sierra","12","0.232466157110122"
"parada","12","0.221086108509281"
"amaya","16","0.013710391148721"
"aguazul","5","0.000597265761766945"
"extrajudiciales","9","0.00013953532858552"
"henry","4","0.254821106523577"
"montaña","14","0.0216384556713024"
"ilegítima","11","6.07739094897371e-06"
"jurídica","20","0.000708060635952928"
"libertad","2","2.69686011975011e-07"
"sargento","16","0.0801816556071734"
"hombres","2","0.000689505322034236"
"beneficios","7","0.000664291397270608"
"fabián","10","0.052478973892829"
"guillermo","4","0.0904426943868374"
"perdón","21","4.00864377020225e-06"
"dejar","21","7.67812413178357e-05"
"vicencio","10","0.00227358641678478"
"gobierno","1","0.00138997725919781"
"hilario","18","0.0280278831890633"
"domínguez","16","0.0145619177523099"
