"word","cluster","eigen"
"magistrados","12","0.310446807445831"
"cancamo","20","0.0531773980655335"
"indígenas","20","0.118841706338824"
"armado","19","0.00115910329177098"
"caribe","4","0.00184395535100124"
"máximos","25","0.0293528821987606"
"ejército","17","6.47669914849244e-05"
"versiones","12","0.0834666768925457"
"asesinatos","7","0.00273520694836598"
"audiencia","4","0.000151067238868264"
"justicia","18","0.00836771377622919"
"operacionales","11","0.000426647324107583"
"desapariciones","7","0.00160719897730514"
"falsos","11","0.00177308377314335"
"hugo","5","4.71615128015848e-05"
"indígena","20","0.02170155140673"
"artillería","19","0.000360102028291897"
"armados","10","0.000544034678381241"
"nevada","2","1.44577535865716e-05"
"carlos","3","0.0196841913244082"
"fuerza","4","4.18506823739834e-06"
"humanidad","22","1.80947597332286e-05"
"marta","2","4.00528173915606e-07"
"manuel","5","0.00104364084139296"
"andrade","5","3.14817764896659e-05"
"flores","23","0.000322883998839493"
"cordial","12","0.020278207502328"
"grupos","10","0.000106612302160014"
"hijos","15","0.11051329480779"
"perdón","16","0.0431893495393631"
"quiero","16","0.252905572709233"
"coronel","1","0.00352537782324056"
"criminal","4","0.000273496185631276"
"padilla","5","0.000217034132501381"
"honorables","12","0.23488667309368"
"autoridades","15","0.335826592392942"
"especial","19","0.0273762358181372"
"militar","9","0.000921069245921038"
"comparecientes","12","0.494287551551107"
"arias","3","0.00445001573581559"
"enemías","1","0.000836933452242713"
"hernán","1","0.00156396545673458"
"ilegítimamente","7","0.00950157603172458"
"judiciales","10","0.114562208158074"
"eduardo","3","0.00129207812741021"
"espitia","5","3.56336475607242e-05"
"mercado","2","1.40572254126601e-05"
"causado","6","0.000465306133308168"
"costa","4","0.00120672747719318"
"gutiérrez","1","0.00289993125272065"
"jesús","13","0.000261460139141039"
"militares","9","8.92898308434191e-06"
"álvarez","1","0.000420940716512713"
"bello","2","0.0056795480212242"
"burgos","1","0.000321319921101387"
"magistradas","12","0.0509705639171837"
"proceso","18","0.000362594899370862"
"cabrales","1","0.000140948881629849"
"colombiana","4","0.00032457543233624"
"código","18","0.000661948648757711"
"evangelista","3","0.00075086447660769"
"integral","8","0.00142235960073644"
"acreditadas","12","0.164184532405209"
"albeiro","23","0.00140093494949552"
"caballería","19","0.000119684263280282"
"dadas","7","0.0367409584390065"
"hermanos","15","0.115063047441735"
"inocentes","7","0.223677930449304"
"internacional","18","0.00162110453803525"
"máximo","1","5.52805857598216e-07"
"étnicos","20","0.00515005412288634"
"elkin","1","1.94016727302818e-05"
"mario","5","0.00342929976911468"
"mendoza","2","0.000362418236034855"
"arturo","3","0.00372972593321214"
"colombiano","20","0.0090941922989385"
"comunidades","15","0.0586851607779512"
"gobierno","18","5.91989973705648e-05"
"quintero","13","7.46199616314707e-06"
"responsabilidad","11","0.00838236928078982"
"óscar","2","0.000371040495047787"
"david","14","0.000236404055864404"
"días","12","0.0989635074234003"
"figueroa","1","0.00393402335708158"
"forzadas","7","0.00705377227982665"
"fuerzas","9","1.50661404553668e-06"
"gómez","1","0.00203812675695336"
"sepúlveda","2","0.000572792612879303"
"acusación","8","6.96536406002825e-06"
"andrés","1","0.00399385222756357"
"asesinadas","7","0.219669209364917"
"conclusiones","19","0.000360102028291899"
"señores","12","0.433833700589373"
"avanzando","24","4.90949041379457e-05"
"colegas","15","0.054286065546589"
"delegado","8","1.17618942581834e-06"
"energético","19","0.00581052645042188"
"maestre","5","0.000271760608533514"
"nieves","3","0.000457804491607339"
"niñas","6","0.00191192698991669"
"operacional","11","0.000309158530358079"
"oñate","3","0.00134594639381656"
"profesional","2","0.000162828956941049"
"alfredo","14","0.00333355756002491"
"cancam","20","0.00971644398326853"
"civil","4","9.24802735877052e-06"
"corte","4","0.000843346071119418"
"enrique","3","0.00196038522594071"
"garcés","1","0.000179608055603751"
"igua","20","0.00539332788703495"
"jurídico","8","1.36183305527511e-06"
"londoño","2","0.00333708221854507"
"mecanizado","19","0.000728961867034368"
"mindiola","2","1.77900159174151e-05"
"nacional","18","0.000360563790652637"
"procesales","10","0.00108469706483389"
"profesionales","21","3.56743077310551e-05"
"sagrado","8","0.00246801628576789"
"adolfo","2","0.000350752215169161"
"alberto","14","0.00375451477367312"
"apoderados","10","0.182993874982951"
"burgo","1","0.000321319921101386"
"cabo","17","4.89984428018979e-05"
"compañeros","15","0.146140396064615"
"componente","8","3.06746894112627e-05"
"dejar","16","0.042706290408091"
"especiales","10","5.03034106810678e-05"
"faustina","13","0.00123959501981187"
"grupo","19","0.0055256847167211"
"hermanas","15","0.0878323262327714"
"hermano","23","0.00820980132158994"
"hernández","23","0.00045963200007657"
"judicial","8","0.000251426800370924"
"legal","8","7.84734326407233e-06"
"ana","3","9.91506466277231e-05"
"cabildo","23","0.000242998513603679"
"contenido","8","3.06982495648119e-05"
"decirles","16","0.0415231831979371"
"derecho","18","0.000954553260134023"
"dinamarca","19","0.000780022616014699"
"falsamente","7","0.00840419964375068"
"familia","7","0.0184791791543822"
"guillermo","1","0.000476123856735197"
"hombres","6","0.0558417657216378"
"humanitario","18","0.000266160290557288"
"laura","2","0.000108158038911584"
"legales","10","0.0178883724962174"
"madres","15","0.0178686323266423"
"mesa","14","0.00363627880285052"
"murieron","7","0.0367409584390065"
"regulares","21","3.56743077310548e-05"
"seguir","24","0.0002990227119371"
"apellido","3","0.000730623752780692"
"bajas","11","0.00193664582187619"
"castillo","13","1.33188570110935e-06"
