"word","cluster","eigen"
"queridos","11","0.0124792873347035"
"agudelo","7","0.000464842595226076"
"magistrados","5","0.0268543755605386"
"carlos","5","0.00601829041799867"
"colegas","4","0.219908157881098"
"alberto","8","4.15993879378151e-05"
"fuerza","16","0.0714796846028847"
"justicia","6","0.00416126454619066"
"niñas","4","0.0535377234610588"
"hijos","4","0.836683634620956"
"derechos","11","0.00016312286647449"
"alejandro","2","0.00232702844692818"
"ejército","1","0.0251247095335148"
"militar","9","0.000737953495527129"
"camargo","8","9.61292180340823e-06"
"aguelo","7","0.000419883393239751"
"amados","11","0.00067003314215975"
"doña","10","7.51640598687059e-06"
"hermanos","4","0.649108163499934"
"integral","12","0.000250184757366495"
"carmen","10","3.63025989100808e-06"
"días","5","0.0330898186591636"
"ema","3","4.25689060308309e-07"
"granada","2","0.00210196012692521"
"reparación","12","0.00107986487546637"
"desaparecidos","11","0.231717412073642"
"luz","3","6.77106760973898e-12"
"madres","4","0.449789787554292"
"patricia","3","9.61993214793377e-09"
"pública","16","0.0183864497116858"
"suárez","3","2.23553176301613e-09"
"acreditadas","1","0.0826086130159923"
"clara","3","4.15096947488543e-08"
"don","5","0.00146518242529847"
"enteras","15","0.00695940169365388"
"haga","6","0.000961598539523911"
"judicial","14","0.000149271453326813"
"meta","2","0.00955835448388295"
"mis","4","1"
"quiero","2","0.0306283819228104"
"adelia","10","1.65291899442465e-06"
"agradecer","2","0.00673543104752396"
"aplausos","1","0.106916706917887"
"asesinados","11","0.0537008463275333"
"atención","12","0.000249538686042467"
"benavides","7","0.000472517942220574"
"compañeras","4","0.374611090351844"
"compañeros","4","0.302288192682201"
"comunidades","15","0.00668351709908512"
"correa","13","6.06758974319075e-07"
"decirles","1","0.0741717853643384"
"dolor","1","0.0746571320940856"
"familiares","4","0.486510327715846"
"gonzález","10","7.8054743082281e-06"
"maría","3","1.84214588690978e-06"
"nacional","9","0.00733421390106532"
"presentes","1","0.0826086130159923"
"ángel","8","0.00044465753206094"
"adriana","10","8.99166686514792e-06"
"agradecerle","2","0.00709603069233733"
"destruyeron","15","0.00515308789267913"
"diligencia","14","3.66506858892098e-05"
"divina","6","0.000915096020808726"
"especial","6","0.0010158440735184"
"familias","15","0.0234329091850488"
"frente","1","0.150044967332806"
"garzón","10","3.89318160635932e-05"
"guillermo","13","5.92250342597935e-07"
"hermanas","4","0.401200636296996"
"hijas","4","0.28290600043355"
"honorables","5","0.00590549626056522"
"incidente","14","3.82467556393273e-06"
"lejanías","2","0.00210196012692521"
"lópez","10","3.72580225256755e-05"
"miller","13","8.70367725855478e-06"
"paul","10","1.89334435990922e-06"
"señoras","5","0.0328324298224603"
"abdenago","10","8.19334309991395e-06"
"abstenerse","12","5.48755927676568e-05"
"adolescentes","4","0.0117733821434691"
"adscritos","16","0.00404333028607025"
"agradeciéndoles","2","0.000360599644813357"
"andrea","8","5.21473226152625e-07"
"andrés","13","3.21848526045287e-07"
"asesinaron","4","0.0508170920403096"
"autónomo","12","1.27136618421537e-05"
"bendiga","1","0.0247740613083356"
"carrera","9","0.000162281993803284"
"castillo","2","0.00210196012692522"
"causa","1","0.0164177123914962"
"contados","5","0.00727672106595626"
"cordial","6","5.16222417825735e-05"
"cuevas","10","8.19334309991367e-06"
"cuid","4","0.219908157881098"
"código","6","0.000276212457395933"
"dean","13","1.93772396030398e-07"
"debería","3","3.93941932105391e-08"
"decisión","14","3.86128801750264e-05"
"desaparecieron","4","0.231083250980557"
"desplazaron","15","0.001530429206406"
"desplazarse","1","0.0164177123914961"
"digan","2","0.00673543104752399"
"día","1","0.00132634684333296"
"enfrentar","1","0.0164177123914961"
"enrique","8","2.60330885138829e-05"
"escucharlas","1","0.158078033300594"
"escucharnos","1","0.0365291858437139"
"exigimos","6","0.000915096020808731"
"fabio","7","0.000419883393239747"
"favores","2","0.00176790866666506"
"figueroa","3","1.35008588628298e-07"
"gloria","10","8.61944622801135e-06"
"gómez","10","3.16792578352178e-05"
"habemos","1","0.0826086130159922"
"hermana","10","0.000135437318834628"
"honor","6","0.000961598539523906"
"humanos","11","0.000705905191234449"
"inalcanzable","1","0.0155834119898062"
"insistir","2","0.00673543104752399"
"instituto","9","0.00161285346848917"
"janet","7","1.61053418113035e-06"
"juan","5","0.0239927500075036"
"lucha","1","0.0708632737409948"
"lucía","7","2.41763595078991e-05"
"madre","3","1.79139298938311e-07"
"magistradas","5","0.0131256154215829"
"manos","5","0.0226692788480881"
"marina","3","2.93016286205575e-11"
"muchísimas","1","0.106120469081018"
"nubia","10","9.45839330263249e-06"
"opinión","16","0.00404333028607026"
"padre","13","5.59302941672061e-07"
"pedir","2","0.00803930460652096"
"penal","6","0.00125603551981598"
"precisamente","1","0.0826086130159923"
"proceden","14","8.92278988053921e-06"
"proceso","6","0.000536206267427264"
"ramírez","7","0.000102614771294506"
"reconocimiento","1","0.0674363543168144"
"rodríguez","7","0.00190935796691459"
"roso","3","1.26473863881038e-10"
"señores","5","0.103085210964957"
"superior","14","3.44941327133097e-05"
"tantas","15","0.0877617009086714"
"tengan","1","0.0674363543168144"
"torres","8","2.37132278854808e-06"
"tuvieron","1","0.0746571320940855"
"ustedes","1","0.306656901529213"
"valencia","3","5.45819874924459e-10"
"vemos","1","0.0826086130159922"
"seres","11","0.00304687715369822"
"luis","8","0.000112656752072841"
"ordinaria","6","0.000915096020808737"
"niños","4","0.231681540024567"
"rameli","2","0.000511732539100887"
"pinzón","8","2.11395992563953e-06"
"restaurativa","6","0.000915096020808759"
"sistema","12","5.78135070780056e-05"
"transicional","6","0.00103301215332293"
"servicio","9","0.000162281993803283"
"repetición","12","0.000249538686042479"
"tía","3","1.48900242088006e-12"
"padres","4","0.425650180934404"
"seguridad","16","0.00404333028607026"
"víctimas","1","0.375650516160742"
"ferney","5","0.000322205568107136"
"secretaría","14","3.28260103252988e-05"
"subc","2","0.0021019601269252"
"sobrinos","4","0.362652338381951"
"resaltar","2","0.00673543104752399"
"sánchez","13","2.17043616057242e-06"
"eterno","1","0.0164177123914961"
"germán","5","0.000322205568107138"
"ortiz","10","3.54942462501278e-05"
"tránsito","3","4.34792398534645e-07"
"policía","9","0.00161285346848917"
"nuevamente","2","0.00163977384144311"
"interrumpir","12","5.48755927676531e-05"
"palacios","13","1.3343124830264e-07"
"fundamentales","11","3.5872049074672e-05"
"presente","14","1.7392149526451e-05"
"marta","7","7.32366728303662e-06"
"tratamiento","6","0.000223392398901872"
"vladimir","10","8.60970497030949e-06"
"unidad","9","0.00177513546229246"
"sumar","2","0.00673543104752397"
"cometió","7","0.000102222678820827"
"incumplió","7","0.000102222678820834"
"julián","8","9.14804477035949e-06"
"merecía","8","9.1480447703635e-06"
"triana","8","9.66951799651797e-06"
"paz","2","0.000511732539100887"
"castro","13","7.077711645605e-08"
"entreg","1","0.0235118560650256"
"raquel","7","0.000103910550239489"
"dios","1","0.00573969267657818"
"saludo","6","0.000234744550997962"
"jaiber","13","1.33431248294357e-07"
"yolanda","10","1.65291899441406e-06"
"llevo","1","0.000291674491028746"
"duraron","5","0.00727672106595625"
"jiménez","3","9.36124970737049e-08"
"montero","8","5.72488853904116e-06"
"respetar","1","0.00803306596778739"
"visible","6","0.00021146336344784"
"nietos","4","0.326737737319609"
"pequeños","4","0.183993556818756"
"honradez","6","0.000211463363447847"
"terrenal","6","0.000915096020808725"
