"word","cluster","eigen"
"brigada","3","0.94716145892643"
"batallón","3","1"
"especial","12","0.287127617919808"
"operacionales","3","0.154977497985229"
"militar","3","0.358453912946237"
"versión","10","0.178056993443967"
"especiales","3","0.12752618119082"
"coronel","16","0.577660371893486"
"misión","1","0.23533530884364"
"bajas","4","0.265199796040886"
"operaciones","3","0.755217174187578"
"derechos","12","0.0393304402885046"
"justicia","12","0.0830138904942936"
"casanare","9","0.314339934225008"
"escalante","16","0.0422113482662489"
"ilegítimas","4","0.0494772912605689"
"profesional","16","0.0135137953075884"
"capitán","16","0.325129691499992"
"comandante","3","0.94343619966681"
"acosta","16","0.0393656242903115"
"operacional","3","0.189493657387951"
"oficial","3","0.251666936502484"
"diligencia","10","0.129834876424057"
"representación","10","0.0218268185590098"
"cabo","16","0.194082787477582"
"pronto","4","0.785535097231755"
"reconocimiento","10","0.0951140267545221"
"civil","13","0.0773033813929157"
"combate","4","0.48066237511782"
"misiones","3","0.02743907253214"
"agua","9","8.51193042291541e-05"
"burgos","16","0.0260698530088033"
"jefe","3","0.16758129001925"
"ilegítimamente","4","0.0196704314248534"
"gaula","3","0.645268994950397"
"representantes","10","0.0135902574543714"
"inteligencia","3","0.534672244191322"
"profesionales","22","0.0175192264580721"
"informe","3","0.169597302875883"
"programas","3","0.0991380450402176"
"campesinos","3","0.0228506052167347"
"delta","3","0.213415893372046"
"juan","11","0.0170650228756656"
"bracamonte","16","0.002788712975011"
"carrera","3","0.00891793354515734"
"convita","16","0.0673293673639074"
"regulares","3","0.0139047854328411"
"versiones","10","0.0868693404526168"
"teniente","16","0.555278670634309"
"acto","12","0.00126040354019733"
"armado","13","0.015892941946287"
"fuerzas","3","0.0252450538003911"
"general","16","0.378012856091123"
"garcía","16","0.0557332903188868"
"judicial","23","0.00998052829545063"
"caso","10","0.716894095729109"
"comando","3","0.157096725537887"
"fuerza","3","0.0388188425031547"
"área","3","0.21905386815927"
"gastos","2","0.00157513037964832"
"ley","12","0.0238708264134895"
"información","4","0.817815044011755"
"anexo","3","0.0320910100245718"
"tácticas","3","0.0524203057755882"
"artículo","12","0.0167330801364058"
"derecho","14","0.0160107519777835"
"magistrados","10","0.0204055205792778"
"jiménez","16","0.0251872634819536"
"punto","4","0.0825759675656383"
"condicionalidad","12","0.0179339071776875"
"ejército","3","0.44445736244619"
"orden","1","0.555234004806071"
"reparación","12","0.0146216179690285"
"representante","10","0.0144103223512146"
"juez","12","0.00949998722249133"
"conocimiento","4","0.675949724558626"
"humanitario","14","0.000432825474061809"
"nacional","3","0.0527126342285036"
"baja","4","0.284878803856805"
"fernando","16","0.0137848833678016"
"ejecuciones","10","0.00474824221779931"
"escuela","3","0.0592903867666101"
"integral","22","0.0141661112460403"
"jurídicas","12","0.00113196306616442"
"libertad","22","0.00750953675691237"
"hoja","13","0.00252292768921255"
"almario","16","0.0125019479251035"
"b","3","0.154978710258715"
"millones","2","1.3637534284876e-05"
"definición","4","0.0147889895045842"
"enrique","16","0.00330411841131066"
"legítimamente","4","0.00727357997175261"
"cooperantes","8","0.00191143610737752"
"pago","19","0.025517596464388"
"cuarta","3","0.0505401435489986"
"criminal","8","0.00131986818195101"
"folio","13","0.00252136610066423"
"guerra","8","0.0219275357727395"
"carlos","16","0.0117311866230606"
"directa","13","0.0701104548115702"
"gonzález","16","0.0226861096453906"
"falsos","7","0.0122826349939609"
"bonilla","16","0.01256084702247"
"desarrollo","12","0.0727430993922991"
"salí","3","0.0707232425810477"
"táctica","1","0.0982700685487437"
"armas","15","0.0601656801313481"
"día","10","0.526093677138729"
"confesión","10","0.0044298593973557"
"franco","16","0.00858849646732799"
"detallada","12","0.000275780385955802"
"familiares","4","0.0346938707956054"
"regular","16","0.0128035001575417"
"óscar","10","0.00927613204442914"
"exactamente","4","0.102984960569458"
"oficiales","3","0.0744710789920619"
"quiero","10","0.391942506279063"
"casallas","9","0.0142088835111757"
"dónde","4","0.227951625982829"
"piezas","20","8.41658156783086e-06"
"soldado","16","0.479826286361072"
"aportar","12","0.000717724699451059"
"efectos","10","0.00402303110852792"
"marcolino","16","0.0163261329175626"
"programa","3","0.081029456172731"
"generales","10","0.00606170432114585"
"torres","16","0.149698236238243"
"parada","16","0.0162868749649605"
"sierra","16","0.0369472060887248"
"abrigada","3","0.0543280945315701"
"grupo","3","0.484739243393279"
"conflicto","13","0.0478666426910482"
"extrajudiciales","10","0.00584853908901297"
"conductas","12","0.0106577765446055"
"augusto","16","0.00251994401501582"
"llegamos","9","0.0510309976678683"
"montaña","16","0.00909498956492959"
"acuerdo","4","0.718728917557726"
"edad","4","0.0360207703144914"
"operativa","1","0.0199435176622327"
"batalla","1","0.018489722240449"
"colombiana","12","0.000326512501321846"
"edgar","18","0.000125463283323878"
"infantería","21","0.0344992047124583"
"mal","4","0.164166353392562"
"militares","3","0.0640621553093911"
"suancha","16","0.0138982184553675"
"dando","4","0.0651965231679319"
"céspedes","16","0.00138658209986214"
"determinación","13","0.00366952010407101"
"preguntas","10","0.194515918487263"
"queridos","14","1.24835492107675e-06"
"personas","4","0.724067443178735"
"arma","21","0.055486523045335"
"armados","3","0.00661510577351246"
"audiencia","10","0.00977389302895673"
"captura","1","0.0350142900424808"
"ilegítima","4","0.0184874363838632"
"anteriormente","18","0.0241952062847391"
"ciudad","14","0.00701339110051124"
"digo","4","0.543977268008929"
"domínguez","16","0.0085938156860353"
"amaya","16","0.00858848987441098"
"henry","16","0.0311095514870598"
"iba","4","0.598148448013924"
"soldados","4","0.536048462806294"
"aguazul","9","0.0189723262712157"
"cédula","21","0.0143323385014905"
"comandantes","3","0.226776468397488"
"control","3","0.119879968384816"
"fabián","16","0.00313565964575497"
"compareciente","10","0.0815010503834448"
"daniel","16","0.00473229701362326"
