"word","cluster","eigen"
"batallón","7","0.0906806723401214"
"conclusiones","14","0.0388451827162875"
"bajas","6","0.0297898577257318"
"magistrados","20","0.219310754797435"
"reconocimiento","14","0.296020815327719"
"especial","11","0.163153264027409"
"indígenas","15","0.148994095670035"
"cancamo","15","0.0651445922487156"
"desaparición","6","0.0210366660060737"
"audiencia","14","0.25788501828849"
"máximos","20","0.0107660663625704"
"asesinatos","6","0.126271737015192"
"operacionales","6","0.00267510893263052"
"ejército","7","0.106118732716944"
"carlos","4","0.012036137234245"
"hugo","2","0.000994700831791051"
"justicia","11","0.129144696191773"
"caribe","16","0.076946056109134"
"desapariciones","6","0.00967491991733554"
"indígena","15","0.0222470972632028"
"armado","21","0.0142765839179696"
"familiares","6","0.128179983980461"
"manuel","21","0.00146983998535834"
"comparecientes","20","0.354779326377281"
"andrade","21","0.00154454682273758"
"artillería","7","0.0129691163696682"
"coronel","22","0.0455120359057877"
"humanidad","8","0.0168289987053515"
"perdón","10","0.0933696701311895"
"asesinato","6","0.122959523694607"
"derechos","17","0.0789176149793792"
"flores","12","0.00255361001244704"
"nevada","15","0.0011949444959268"
"presentes","20","0.251047636400492"
"falsos","6","0.083267372497919"
"armados","7","0.00824137625361645"
"crímenes","8","0.0964170192796626"
"padilla","21","0.000126204945865701"
"criminal","13","0.00790443968706485"
"comandante","7","0.0327714229296657"
"queridos","9","0.000172042160653477"
"representación","20","0.100327231438388"
"persona","10","0.0442977120225883"
"crimen","8","0.0241673823401936"
"grupos","7","0.110974700877051"
"hernán","22","0.00548413098070807"
"honorables","20","0.101375170652412"
"eduardo","12","0.00125877594663215"
"espitia","21","0.000122709875070973"
"guerra","8","0.0208550333140622"
"marta","15","8.81730971779256e-05"
"mercado","21","0.00121779287420098"
"representantes","20","0.120887048745157"
"asesinadas","6","0.113863494633383"
"autoridades","15","0.15307094961393"
"fuerza","7","0.030028861585166"
"gutiérrez","22","0.00432503092848428"
"arias","12","0.00462870502669887"
"burgos","23","0.0003707181201718"
"causado","17","0.0179016943086127"
"cordial","20","0.0281087666607202"
"homicidio","8","0.0204338524858125"
"magistradas","14","0.0446738493268801"
"número","7","0.0859671698759113"
"álvarez","22","0.0155584553903376"
"baja","6","0.0152591389311728"
"código","18","0.00103004526156432"
"elkin","23","0.00145414066360712"
"judiciales","20","0.129541384710924"
"militar","7","0.0110520492292257"
"paz","11","0.0811015762648668"
"cabrales","22","0.0135599161346609"
"coautor","8","0.00127136856827156"
"delitos","8","0.00867228867058996"
"máximo","23","0.00168024545492517"
"albeiro","10","0.0118995752586481"
"bello","15","0.0131483482034467"
"condicionalidad","13","0.0226288777166682"
"inocentes","15","0.0250102316942842"
"jesús","12","0.000598110585706229"
"mario","4","0.00196302723569493"
"reconocer","20","0.101774637534118"
"cautelares","4","0.000579394681476792"
"colombiano","8","0.0250324557639522"
"estatuto","24","0.00702973342283766"
"evangelista","12","0.000343543495047756"
"forzada","6","0.0312992201163404"
"gómez","22","0.00420133017058978"
"observaciones","1","0.044367510954573"
"quintero","12","0.0135991557418205"
"responsabilidad","14","0.115838825120871"
"étnicos","15","0.00215050066696312"
"alex","21","0.0015121850648303"
"david","4","0.000128420080938905"
"días","20","0.183603143236815"
"figueroa","23","0.00425020637744084"
"gobierno","18","0.000604370640413735"
"internacional","18","0.00239554147403243"
"proceso","11","0.170726028644825"
"quiero","10","0.229756215234762"
"sepúlveda","9","8.63442113171659e-05"
"versión","14","0.019139713907296"
"comunidades","23","0.104237454077828"
"costa","16","0.017253750760823"
"ejecuciones","20","0.0738157967879988"
"guajira","16","0.000177537038267051"
"personas","6","0.306546192328778"
"profesionales","9","0.00170971841008477"
"social","1","7.29554430957681e-05"
"acepto","14","0.0112318966833054"
"andrés","22","0.00131081324758167"
"colombiana","20","0.00599578519620851"
"combate","6","0.140489030579659"
"contemplados","18","0.00231595910101743"
"dinamarca","9","0.00336744760141394"
"dupar","1","1.23643608191449e-05"
"igua","15","0.0131483482034467"
"investigación","14","0.00879412651405011"
"madre","15","0.0146513890987323"
"nieves","12","0.000354459530432071"
"señores","20","0.185864177222232"
"sociedad","20","0.0816665135165388"
"acreditadas","20","0.0734179155939391"
"acusación","14","0.00928464243592416"
"alfredo","4","0.000888483154872321"
"apoderados","20","0.11662815075684"
"arturo","4","0.000918519700633757"
"artículos","18","0.000245656665868956"
"auto","14","0.0433552741829434"
"constituyeron","8","0.0089165673076803"
"forzadas","6","0.00550699626900728"
"hermanos","15","0.112205268694834"
"hijos","15","0.0341715275438038"
"ilegítimamente","6","0.00779181340777119"
"instancia","14","0.0194805943113569"
"jurídico","8","0.00219179298405331"
"londoño","4","0.000889501220967517"
"oñate","12","0.00351714719050368"
"profesional","9","0.000286057277462587"
"pública","14","0.0437313819518116"
"área","7","0.0193096678899531"
"adolfo","4","0.000180973010077306"
"alberto","4","0.0127633738755455"
"análisis","19","0.000629691513326671"
"aporte","14","0.0234699094802094"
"artículo","21","0.00568373706247525"
"burgo","23","4.30034382679514e-05"
"calificación","1","0.00277179184946804"
"ciudad","1","0.00226913477145455"
"compañeros","8","0.0118674852050638"
"componente","11","0.00701666272725934"
"condenatorias","11","8.78932291469122e-06"
"corazón","10","0.035026267812187"
"delegado","20","0.0180533647019707"
"dios","10","0.0672295761672222"
"dolor","17","0.142504180547811"
"día","10","0.207263337399748"
"enrique","12","0.0134854988140879"
"faustina","12","0.000355024128258653"
"general","3","9.83715546486223e-05"
"hernández","12","0.0225073008290115"
"judicial","20","0.0978152324967972"
"madres","15","0.0165580745505748"
"marco","14","0.0946070698121675"
"merezco","10","0.00685500656072559"
"miembros","7","0.141684558269935"
"participación","18","0.0740154356573603"
"reconozca","14","0.0117153119941696"
"regulares","9","0.00195694939385238"
"víctimas","20","1"
"abogados","20","0.115818579470449"
"agentes","6","0.0103144117889717"
"ana","12","2.42862215066067e-05"
"apellido","12","0.000339829874959419"
"búsqueda","11","0.0403752120402085"
"cancam","15","0.0147816837125266"
"contenido","11","0.00325477550572119"
"defensa","20","0.0278052155112591"
"definición","1","2.48457865705642e-07"
"democrática","18","0.00218329649694181"
"derecho","18","0.00709987914807703"
"falsamente","6","0.0305766662650234"
"guillermo","22","0.000317534755648629"
"hombres","15","0.0137176979632779"
"humanos","17","0.0197819285434924"
"integral","11","0.0228323883292489"
"intervenciones","20","0.0760517780914569"
"jurídicas","1","2.4845786570604e-07"
"laura","4","5.86472541283915e-06"
"ley","21","0.0769989258369607"
"martín","4","6.99752274331547e-07"
"mendoza","12","0.00102349711784597"
"mesa","4","0.000984888064226714"
"mindiola","12","0.00355502951971343"
"organizaciones","20","0.0918493097732483"
"presión","6","0.00267510893263052"
"procesales","9","0.00154956170500627"
"proyectos","6","0.0187369909071076"
"pueblo","15","0.17908909694696"
