"word","cluster","eigen"
"batallón","8","1"
"brigada","8","0.732227804357487"
"especial","12","0.349508685981494"
"operacionales","1","0.124738731218896"
"operaciones","8","0.680963271502453"
"comandante","8","0.821625227699226"
"inteligencia","8","0.530390445514061"
"versión","15","0.199409344427824"
"derechos","12","0.0274054254687642"
"misión","8","0.201566303575228"
"militar","12","0.33950765823706"
"oficial","8","0.307020168250688"
"bajas","1","0.434542564686645"
"civil","6","0.14839674909421"
"justicia","12","0.0662783944070689"
"área","8","0.384508410204587"
"especiales","8","0.0649962907034756"
"operacional","8","0.194132579926219"
"profesional","15","0.026627897827239"
"común","6","0.0215185973252197"
"compañía","8","0.514370659498664"
"informe","7","0.21792633896467"
"profesionales","8","0.0341114511414192"
"diligencia","15","0.142612472970127"
"representación","15","0.0214509656334132"
"rita","21","0.00691919021190895"
"pronto","6","0.734583948547367"
"jefe","8","0.153265010659555"
"combate","1","0.560246449604442"
"control","8","0.164661712639303"
"programas","8","0.160865227729315"
"fuerza","8","0.0622378162136006"
"representantes","15","0.0113577667446394"
"escuela","8","0.0529546618499754"
"reconocimiento","15","0.0720626633327477"
"coronel","16","0.527430481628267"
"ejército","8","0.485386921576166"
"anexo","8","0.0208353452180772"
"misiones","8","0.0172228277728949"
"armado","12","0.0234984186363197"
"artículo","12","0.0241328754985108"
"regulares","8","0.0353340987925139"
"ley","12","0.0325948805415577"
"representante","15","0.02500871545142"
"información","7","0.75825198774152"
"cédula","21","0.0119682228155788"
"versiones","15","0.0513920498414843"
"conocimiento","6","0.593117185401893"
"fuerzas","8","0.049655121757684"
"judicial","15","0.0293864065141666"
"orden","8","0.617468632501481"
"hoja","1","0.00240275516149597"
"cooperantes","7","0.00142272914582814"
"carlos","16","0.021108857681933"
"comando","8","0.184158304410571"
"desarrollo","1","0.0814459028117169"
"gastos","7","0.0012810623811168"
"días","15","0.484511811391901"
"ejecuciones","15","0.00851663110358262"
"acto","12","0.0111784115715035"
"escalante","16","0.012703826086336"
"casanare","21","0.0454642031930059"
"comandantes","8","0.28432934030204"
"carrera","12","0.00533847941004157"
"folio","20","0.00176317241040838"
"punto","6","0.289592750493539"
"exactamente","6","0.209047379768488"
"ilegítimas","1","0.0276066326079597"
"capera","16","0.0582973051702568"
"b","8","0.162365383616356"
"campesinos","8","0.0435494216907477"
"ilegítimamente","1","0.0113749527096799"
"guerra","10","0.0151757077241597"
"tácticas","8","0.0441234700903912"
"armados","12","0.00804938665429601"
"baja","1","0.32616052905413"
"falsos","1","0.00139433157027935"
"nacional","8","0.0439917857481583"
"caso","15","0.546063774064123"
"condicionalidad","12","0.0098627860641893"
"consejo","15","0.00829680365225075"
"judicatura","15","0.0016039630411712"
"derecho","12","0.00900360908873705"
"suárez","16","0.042080883819882"
"táctica","8","0.0784148135909838"
"reparación","12","0.0109509581570614"
"salí","8","0.0924491377938187"
"abrigada","8","0.133618161436435"
"batalla","8","0.0241817119921184"
"jurídicas","1","0.000887491438347257"
"magistrados","15","0.0147164777670806"
"definición","1","0.00797225920366847"
"repito","6","0.030317355612919"
"general","16","0.415490394863955"
"libertad","13","0.0106206939337062"
"recuerdo","6","0.669712902287832"
"humanitario","12","0.000144891095827642"
"pelotón","8","0.65933544256064"
"oficiales","8","0.0823879982027334"
"brasil","8","0.0400215990631998"
"día","15","0.602894704664893"
"dónde","6","0.439997227682874"
"familiares","6","0.0245895715994079"
"capitán","16","0.442981539303377"
"confesión","15","0.00290689183934074"
"legítimamente","1","0.00493110250913265"
"militares","8","0.0837356356026893"
"c","8","0.0901024388491099"
"acosta","16","0.00788069081326981"
"infantería","8","0.0244080073196839"
"amor","16","0.00774675466818084"
"armas","6","0.141442781600368"
"casco","1","0.000119079813550371"
"hora","15","0.0599891843207992"
"operación","8","0.643377057540489"
"programa","8","0.140253709561889"
"integral","12","0.00919248908479608"
"regular","10","0.0353635161599119"
"digo","6","0.567860404224031"
"generales","12","0.00303644111149291"
"disciplinaria","12","0.00199043237073615"
"canadá","8","0.046083655875668"
"cabo","16","0.267437737668185"
"ciclo","7","0.0188961904110937"
"grande","10","0.0323693949711849"
"pago","7","0.0647009659523153"
"arma","6","0.108359609640231"
"edad","23","0.0322857116321214"
"cuántas","1","0.086507598864544"
"iba","6","0.575393686680695"
"hacía","8","0.543362714412226"
"acuerdo","6","0.65636072382028"
"decisiones","12","0.0128476647337667"
"recuerda","6","0.531052631182377"
"campaña","14","0.00856300923457336"
"grupos","8","0.130781441266075"
"berlín","8","0.0774589896593585"
"rodríguez","16","0.156466307419114"
"iban","6","0.312151927871948"
"ambiente","6","0.0084814570581549"
"millones","7","0.000150959661606723"
"efectos","15","0.00897674501563373"
"coral","16","0.0603025849997326"
"muerte","1","0.156813903908199"
"entrenamiento","12","0.046952869850886"
"personas","6","0.699218033931354"
"mal","6","0.282667762080409"
"perdón","15","0.33846005463613"
"departamento","21","0.0187350054493631"
"gasto","7","0.00336268097445827"
"detallada","12","0.0117460847313255"
"forero","16","0.0144599656481053"
"juez","12","0.00701139738237516"
"alvarado","16","0.00646473550651409"
"aguilera","16","0.00708249915254321"
"audiencia","15","0.0327948728394758"
"contacto","12","0.170733463178618"
"horas","15","0.0551904804640388"
"acreditadas","15","0.0163946176591086"
