"word","cluster","eigen"
"batallón","7","1"
"inteligencia","6","0.531254721864156"
"comandante","6","0.754540620450252"
"operaciones","6","0.656574096906975"
"operacionales","15","0.0768831827590963"
"brigada","6","0.479499078053"
"especial","15","0.218107489932445"
"oficial","6","0.298142235320753"
"misión","6","0.207825188788899"
"versión","21","0.0608336293966224"
"derechos","2","0.00984086808901851"
"común","18","0.0289139269726732"
"área","2","0.390662347654582"
"civil","2","0.0923858129986669"
"compañía","15","0.357377219143462"
"informe","6","0.195182005235151"
"militar","8","0.219261525992485"
"control","6","0.16057228748258"
"profesionales","15","0.0394357579404915"
"jefe","6","0.147712018169923"
"anexo","6","0.0268565237063697"
"coronel","11","0.456432004903646"
"combate","15","0.407497304449325"
"operacional","6","0.149742680674717"
"bajas","15","0.203774918223761"
"información","1","0.738548311185666"
"profesional","8","0.0097729192818406"
"cooperantes","4","0.00204696778734076"
"justicia","8","0.0207789808702195"
"capera","11","0.022157614223015"
"escuela","7","0.0424652705867867"
"programas","6","0.149080062646696"
"representación","23","0.00572128100270089"
"desarrollo","6","0.0687866937992049"
"fuerza","1","0.0549466913700328"
"pronto","15","0.588689860244176"
"regulares","15","0.0412932349539639"
"comando","6","0.168430232932989"
"misiones","6","0.0168172458417126"
"judicial","6","0.0194727645767077"
"diligencia","21","0.0273447376145287"
"ley","14","0.0125694893241367"
"comandantes","15","0.188624656165361"
"especiales","14","0.0280694215693636"
"días","21","0.355166515544724"
"táctica","6","0.0956969692757656"
"hoja","10","0.0015272605494304"
"orden","6","0.496415336175318"
"ejército","6","0.335348135630767"
"batalla","6","0.0270439383419151"
"tácticas","6","0.0209405979531401"
"artículo","14","0.00264604532854671"
"b","6","0.132278563136828"
"exactamente","15","0.163416619043569"
"berlín","15","0.123945059296869"
"armados","1","0.000863350045307141"
"punto","23","0.202529048379887"
"rodríguez","11","0.116577598294093"
"fuerzas","14","0.0571050587637813"
"pelotón","15","0.685877036649276"
"abrigada","6","0.107681250920001"
"gastos","9","0.000558897280377145"
"representante","23","0.00727043086175281"
"ciclo","1","0.0309499709030901"
"versiones","3","0.0103128930102668"
"forero","13","0.0139821106788003"
"aguilera","11","0.00563196899366455"
"departamento","2","0.0160662908948883"
"acto","14","0.000970243133757623"
"folio","10","0.00152668463021386"
"campaña","4","0.00813550237147881"
"decisiones","8","0.0158471446397841"
"campesinos","15","0.0311408720725287"
"palomino","11","0.00688299108421225"
"c","21","0.0883936995872668"
"salí","7","0.0621336899668177"
"nacional","6","0.0140232741969671"
"recuerdo","15","0.657532465243529"
