"word","cluster","eigen"
"especial","3","0.172801847773769"
"ejército","17","0.160475925913325"
"ejecuciones","6","0.105903594149164"
"derechos","18","0.0867311926112685"
"antioqueño","10","0.0370928236422809"
"bajas","21","0.0137741722574604"
"brigada","13","0.138550365268614"
"audiencia","12","0.346557223246891"
"versiones","12","0.102826970308561"
"óscar","8","0.00424496748160751"
"doña","12","0.123666563060461"
"hijos","22","0.159137666396231"
"justicia","11","0.439825021237268"
"falsos","13","0.076259647497451"
"antioquia","3","0.233078278804934"
"catalina","8","0.0235897803435119"
"batallón","3","0.180689490405491"
"militares","17","0.0625414714959944"
"magistrados","13","0.174322389552057"
"haga","11","0.0445642187304663"
"máximos","6","0.0195630743699802"
"asesinatos","6","0.114517763978051"
"militar","18","0.0242469672609987"
"armado","15","0.00812948081960909"
"desaparición","22","0.00130914115057547"
"eduardo","3","0.00296217710039324"
"civil","24","0.0154298021266164"
"desapariciones","21","0.00879722512381499"
"granada","24","0.0289737221245307"
"compartir","12","0.0564788099673887"
"colega","8","0.0032489638257605"
"asesinadas","10","0.0343248189503316"
"escuchar","12","0.228553155129208"
"búsqueda","10","0.0823792624501668"
"colombiana","20","0.0168739698652382"
"mamá","22","0.0150985513976055"
"ana","12","0.0112158360888844"
"fuerza","23","0.0111314469366512"
"artillería","3","0.0215343954431735"
"carmen","8","0.0034459651555962"
"queridos","18","0.00445720585096577"
"quiero","11","0.271451752877282"
"baja","21","0.00751706491215894"
"ciudad","3","0.00339911596644108"
"corporación","9","7.64265326144133e-06"
"dadas","10","0.0329002552104161"
"testimonio","12","0.16558339048368"
"corral","3","0.00072428875446346"
"fredy","2","0.00027036638088055"
"infantería","3","0.0215343954431735"
"isabel","17","0.00286058109225522"
"representantes","13","0.15184931363855"
"rodríguez","3","0.00150996089495476"
"carlota","12","0.00932355836073174"
"caso","6","0.396708247572726"
"cordial","13","0.0104131388094656"
"don","2","0.0634560340465499"
"energético","3","0.0274029191446228"
"fuerzas","17","0.00937267568266076"
"gonzález","3","0.00257360262529186"
"hijo","22","0.170145433195052"
"judiciales","14","0.0883593718038417"
"niñas","22","0.0100835394459303"
"víctimas","13","1"
"comunidades","13","0.0249043877804044"
"david","8","0.000904573268491604"
"familiares","13","0.199264301901432"
"general","3","0.0301148129384367"
"graciela","12","0.0015858190296392"
"jurídicas","1","6.99614970137332e-05"
"madre","22","0.0100762274628905"
"mario","3","0.00420243759742042"
"ancho","13","0.0170935560386335"
"camino","11","0.116957995009421"
"casos","13","0.246415815874408"
"delante","22","0.0205428880038848"
"magdalena","10","0.000829319480793035"
"observaciones","12","0.118562405775"
"padre","22","0.114105261532677"
"reconocimiento","12","0.0945873826292867"
"sé","11","0.132449112942562"
"ángel","3","0.000195140086273416"
"acosta","9","0.00222736159767642"
"alberto","2","0.00589143658571235"
"andrés","8","0.0039394083312932"
"armados","19","0.000326638126853364"
"bajes","3","0.018204450986086"
"coraje","23","0.00185791219029719"
"derecho","18","0.0730383490433813"
"ejecución","15","0.00154425820827421"
"familias","13","0.267613658638243"
"luz","4","0.0167031599300671"
"papá","22","0.0856003177785189"
"procurador","13","0.158507948567027"
"representación","22","0.127895003944785"
"asesinato","22","0.0549651689959589"
"bertina","12","0.0651081715270328"
"bolívar","10","0.000212043175272518"
"bárbara","12","0.000251721084647758"
"campamento","3","0.0184505207843281"
"campesinado","17","0.00213728168364067"
"concentra","13","0.0753927183710394"
"continuar","12","0.0313046970255232"
"definición","1","6.99614970137334e-05"
"desaparecidas","10","0.0354953560738138"
"días","13","0.275932097149764"
"elena","24","0.00158820346184282"
"fernando","2","0.00498920224720512"
"forzadas","21","0.00143764903889453"
"física","1","0.000992217747794958"
"hermanos","22","0.0444527507322968"
"humanidad","6","0.0107411588100297"
"jurídica","9","0.0001007950384437"
"número","3","0.10494015538064"
"ustedes","13","0.739920437564824"
"cauca","3","0.000833974110533295"
"contar","22","0.00579466689533118"
"danilo","15","0.000952040461580536"
"dilma","8","0.00167507372937039"
"día","22","0.194171082288831"
"económica","11","0.0653404504084495"
"hermano","22","0.229008746726886"
"madres","22","0.0150027249883362"
"marco","17","0.106419300830332"
"maría","12","0.0209145547481149"
"personas","10","0.400889694382917"
"abogados","12","0.0931534520237767"
"acción","19","0.00589003298144245"
"anacona","15","7.30221049091619e-05"
"blanca","12","0.00937685699711258"
"bogotá","3","0.00337979518059915"
"cerrar","11","0.0698133404307072"
"colombia","13","0.165653046824273"
"corregimiento","14","0.0002560879438865"
"daño","19","0.0772365618610986"
"defensoras","18","0.0125598950308921"
"edad","22","0.005443846353883"
"ernesto","2","0.00464639968412898"
"garcía","8","0.00225487575787203"
"hernández","2","0.00267633525710519"
"importante","12","0.236394876138635"
"juliana","12","0.00698583929081166"
"luchando","11","0.0136446871501077"
"macrocriminalidad","6","0.000833516123089603"
"nelos","3","0.00224677853980024"
"participación","13","0.075823705010126"
"pres","2","0.00202290191015593"
"presencial","12","0.0126581100507479"
"presentación","12","0.0138732328848498"
"presentes","13","0.203920790292175"
"prestar","18","0.000138609127693651"
"quiénes","13","0.19196778602372"
"representante","13","0.0823327230569177"
"saludo","13","0.138118627825809"
"unidad","13","0.0996113269482461"
"álvaro","2","0.000799224932724144"
"abuelo","22","0.00934896066512246"
"aburrá","3","0.000833974110533294"
"acompañan","13","0.0753927183710394"
"agrupación","17","0.00350856281398787"
"alejandro","2","0.00110731072261784"
"almuerzo","18","3.05396172227276e-05"
"antiguos","3","0.00433904392949162"
"antonio","2","0.00507219432340119"
"asesinado","22","0.0713856742396422"
"batallones","13","0.0128530326060426"
"campesinas","10","0.0406614317879029"
"carlos","3","0.0201270292945432"
"cementerio","3","6.65819897429633e-05"
"civiles","17","0.0318785221976611"
"colectivo","19","0.00595833408921662"
"cometieron","17","0.0145819685100607"
"constitución","25","9.77955418133543e-05"
"contando","13","0.055784613166301"
"coronel","3","0.0105084213513422"
"criminal","6","0.00255046838121097"
"dari","4","0.00125929663251398"
"derecha","7","0.00010195594331957"
"dolor","19","0.022164688474328"
"duro","22","0.00317473025037309"
"enrique","8","0.00474466827751907"
"especiales","17","0.000715455274787863"
"esté","3","0.000332807410830795"
"final","25","0.0636130739917973"
"gente","24","0.058096989238712"
"gonzalo","24","0.00134743152128512"
"grupo","3","0.10578852842206"
"gusta","22","0.00317473025037309"
"hablado","1","0.0708958414120954"
"hijas","22","0.0119978212648355"
"indeterminadas","13","0.0753927183710394"
"jesús","2","0.00546565825708084"
"justo","3","0.00219317387913886"
"jóvenes","22","0.00464198288642209"
"luis","2","0.0616292897314313"
"memorias","19","0.000135259732875453"
"mencionado","13","0.145816417260142"
"mental","1","0.00099221774779496"
"mis","22","0.0353237091730565"
"municipios","10","0.0281214333103752"
"naranjo","8","0.000377069915151883"
