"word","cluster","eigen"
"brigada","2","1"
"batallón","2","0.651153969628879"
"coronel","5","0.374197700915895"
"especial","2","0.271293781854517"
"operaciones","2","0.520474755929495"
"misión","15","0.102491699263883"
"versión","7","0.00430730378890386"
"operacionales","2","0.0200124219624889"
"derechos","10","0.00488254151028265"
"escalante","5","0.0387238295621738"
"oficial","2","0.177638931949418"
"delta","2","0.351727295482613"
"bajas","5","0.0265480784324867"
"especiales","2","0.0764556325895853"
"teniente","8","0.267427486845872"
"casanare","16","0.0313451159132423"
"civil","12","0.00877278670213495"
"cabo","18","0.000263852771459437"
"militar","18","0.145078528702998"
"escuela","14","0.0223971036756321"
"programas","12","1.9493202854897e-06"
"guillermo","8","0.00682008982525854"
"representación","10","0.00860820162873773"
"diligencia","7","0.0195137763424174"
"casallas","8","0.02446976015959"
"combate","5","0.0679173852694523"
"capitán","17","0.028669835093152"
"jefe","2","0.258307711195635"
"justicia","10","0.0336312245952693"
"fuerza","13","0.0637301218901234"
"armado","4","0.0216789403764351"
"información","15","0.408210741119766"
"misiones","1","0.00266581292926144"
"comandante","2","0.620462281321022"
"inteligencia","11","0.284248319663788"
"área","18","0.0614126548888273"
"carrera","18","0.0132747640997522"
"ilegítimas","5","0.00393792608751034"
"desarrollo","15","0.0942238597769927"
"juan","8","0.000239159157309376"
"reconocimiento","6","0.0155579405225754"
"rodríguez","8","0.0251077686799866"
"artículo","19","5.97114399493743e-10"
"ilegítimamente","5","0.00393792608751034"
"joya","8","0.00235656439925687"
"conocimiento","15","0.278956833576945"
"fuerzas","2","0.0141149978322132"
"programa","2","0.0182299273460612"
"bracamonte","17","0.00372000718596327"
"control","2","0.182867256212646"
"folio","18","0.0017501370832096"
"gonzález","18","0.00276270254940942"
"derecho","10","0.00469773363996407"
"salí","2","0.00760512381673635"
"general","5","0.0979568519243967"
"acosta","5","0.0345283763105908"
"conflicto","4","0.0153426077921169"
"directa","4","0.01347176329209"
"garcía","8","0.0246763592587792"
"humanitario","10","3.96631406240922e-05"
"versiones","19","8.16307459788549e-06"
"captura","15","0.0494746566151818"
"caso","15","0.352255975733066"
"anexo","11","0.0260088754898559"
"profesionales","3","0.00611981877849317"
"abrigada","2","0.056772635420037"
"orden","15","0.335752606627462"
"representante","10","0.00853477538874048"
"albeiro","8","0.000215626921265868"
"gaula","2","0.218690536010714"
"oficiales","3","0.00673618319617332"
"recuerdo","6","0.310685496777225"
"reparación","10","0.0117260571736707"
"representantes","10","0.00453853002242687"
"cuál","15","0.094036244226508"
"militares","2","0.0778057239780776"
"profesional","18","0.00273957223865126"
"hoja","18","0.00175013708320961"
"b","2","0.104612103274664"
"dónde","6","0.0211201644234255"
"mis","3","0.0847630093622862"
"vicencio","16","7.5424368325889e-05"
"sarmiento","5","0.0345283763105908"
"amaya","9","0.00266837789972751"
"ejército","2","0.136674503597942"
"número","21","0.109221160421553"
"soldados","3","0.0668828687004191"
"causa","4","0.00122080767503015"
"durán","5","0.00318626693922792"
"ocasión","4","0.0132294335692141"
"tácticas","1","0.0291343947559789"
"armas","14","0.0145321475225869"
"forero","5","0.00315936516842478"
"gobierno","14","0.00196621469303055"
"iba","15","0.065470044478031"
"integral","10","0.00310347996493753"
"mando","2","0.31625165841028"
"aportar","13","0.000437844834670324"
"daniel","5","0.00448453687884849"
"escobar","1","0.00554492860083128"
"hacía","2","0.197564948881408"
"pablo","8","2.22558603413958e-05"
"pronto","6","0.0704952210765029"
"acuerdo","15","0.337538066962259"
"ciclo","11","0.0260088754898559"
"escrita","7","0.000394120633941099"
"ahorita","6","0.0284278915412435"
"armados","2","0.0121608765520154"
"flores","8","0.02446976015959"
"ideas","15","0.0307215456946137"
"pago","15","0.0383110800897812"
"baja","5","0.0182380299406428"
"carlos","8","0.0023574361390779"
"comando","2","0.163587275423037"
"confesión","7","0.000394120633941101"
"contacto","12","0.00249187418890781"
"exactamente","6","0.0284278915412435"
"jurídica","13","0.00853069783622953"
"nacional","14","0.0213086480238983"
"preguntas","4","0.0497115209836084"
"táctica","15","0.0756337515447842"
"caballería","2","0.0200935797768485"
"ciudad","16","0.00885789726940448"
"continuar","7","0.0017855211240198"
"detallada","13","4.04012937015451e-05"
"día","7","0.100145622989004"
