"word","cluster","eigen"
"especial","1","0.133378290918459"
"cancamo","1","0.196423291321824"
"versiones","2","0.289794296505663"
"enemías","3","0.0041673249931737"
"bajas","4","0.0264628692401535"
"armado","5","0.0212668787126367"
"indígena","1","0.227269301286412"
"abogados","6","0.00208214341796439"
"batallón","7","0.00859313282960422"
"familiares","8","0.195225881481408"
"hijos","9","0.0463164032654387"
"observaciones","7","0.205795253307099"
"digo","10","0.157923528874641"
"hugo","11","0.00983842319640556"
"ilegítimamente","4","0.00776031807380932"
"derechos","12","0.129644879402471"
"cabildo","9","0.0316743638232089"
"corazón","13","0.0237114940694308"
"fuerza","7","0.000172404358837418"
"papá","13","0.110976531931082"
"quiero","14","0.20307024419627"
"armados","5","4.67082053263577e-05"
"cancam","1","0.16725367090196"
"caso","15","0.353353293787877"
"entorno","3","0.140687906874041"
"hermano","10","0.565725989512839"
"hombre","10","0.0858471776120546"
"humanos","12","0.0180089549738841"
"pueblo","1","1"
"queridos","12","0.000340801805727199"
"audiencia","7","0.0401271886685929"
"autoridades","1","0.508259145787804"
"burgos","13","2.60881895175111e-05"
"básico","16","0.000296007152048409"
"colectivo","6","0.0149891669290137"
"corte","16","0.0528668560513264"
"cuidado","5","0.000478325523246468"
"daño","6","0.0408835855283778"
"delegada","6","0.000283655279451922"
"elementos","10","0.0252890334579087"
"garantías","16","0.00309591786876786"
"grupos","5","0.000342734160667947"
"judicial","7","0.0279642161887063"
"llamado","14","0.00508654215714251"
"muerte","13","0.15670606631073"
"actividades","17","0.00239983791904223"
"arias","3","0.0852989505889926"
"arma","10","0.00113524376110297"
"camino","16","0.00400039436301991"
"casa","18","0.0435462332090824"
"casos","2","0.237719019646799"
"cogido","4","0.0256831284174954"
"comisión","16","0.00833080623922913"
"conocí","10","0.0328187897285374"
"consejo","12","0.00250260688043105"
"consideramos","15","0.0357364670582938"
"dios","5","0.0243194556707951"
"disposición","2","0.121031884039227"
"día","15","0.676297361888873"
"edad","9","0.0124166816383516"
"ejecuciones","2","0.121031884039227"
"ejército","19","0.0128131469070276"
"familia","11","0.240889901064186"
"general","12","0.000354347354865563"
"grupo","5","0.135219051398053"
"hermanos","9","0.010701139050156"
"hijas","9","0.00631205266928802"
"integral","16","0.00227465361885682"
"justicia","16","0.0043818863936873"
"madre","20","0.0229966222198575"
"maestre","11","0.0355014789254198"
"organizaciones","2","0.118784013120471"
"personas","8","0.242667288110477"
"presentar","8","0.0832038505052983"
"quieren","21","0.0426810549196946"
"representantes","2","0.118784013120471"
"acuerdo","21","0.0233836325707078"
"agenda","5","0.0206058603013065"
"agua","22","0.00108137074452058"
"alvear","6","0.000289126718969207"
"amarrado","10","0.0416568263021049"
"aplausos","1","0.157784155353728"
"armas","2","0.0240757294589069"
"artillería","7","0.00133318273758551"
"avance","22","0.0468612933082872"
"bulto","18","0.00841108782800606"
"caracterización","6","0.00557166202404636"
"carrillo","3","0.0143082681256859"
"ceballos","13","2.6088189517521e-05"
"centro","16","0.00138697556101899"
"colectiva","6","0.152119072763734"
"colombiano","14","0.00284741757553832"
"combate","4","0.188456940274065"
"comparecientes","2","0.388576244182379"
"comunidad","19","0.273000828974421"
"coordinación","5","0.017425597887103"
"coordinadora","16","0.00115723131642306"
"cuerpo","20","0.010408677579387"
"cultural","20","0.141847743773141"
"dando","15","0.0137716087981618"
"darle","15","0.0846091572819673"
"debo","14","0.00384290515534695"
"denominado","4","0.00698057725115123"
"derecho","16","0.017284327621312"
"digan","8","0.0675365567733465"
"diligencia","7","0.0831803282842754"
"documentos","17","0.133764515880409"
"dolor","11","0.000712267555184281"
"dónde","10","0.0107058093627514"
"edgar","11","0.109926540625966"
"empieza","4","0.00592638464890128"
"encontramos","6","0.0404746781647423"
"escuchamos","2","0.0394934997935809"
"estuve","13","5.03216267779356e-07"
"evaluación","17","0.0169429798174035"
"evangelista","3","0.0118446239113639"
"familiar","6","0.0440462615847717"
"guerrillero","10","0.110444976820361"
"gutiérrez","12","9.31484675290193e-07"
"hacía","13","0.015124009318889"
"hijo","11","0.138574078282747"
"impacto","11","0.190933814864093"
"individual","16","0.00732277135368542"
"internacional","16","0.00878031099182965"
"juan","3","0.000578675316867738"
"legítimamente","4","0.00776031807380933"
"lora","13","2.60881895175158e-05"
"línea","13","1.31731834401733e-05"
"madrugada","11","0.00546282748610538"
"mal","22","6.34405425994459e-05"
"mataron","10","0.305668293161479"
"militar","16","0.00118911499387149"
"mochila","9","0.000876492494458493"
"muchacha","13","0.0151240093188889"
"número","7","0.00118945811754903"
"ocurridos","3","0.00260576347443756"
"particular","15","0.166939406113169"
"persona","19","0.0498303221716194"
"perspectiva","14","0.00284741757553832"
"plantear","14","0.0276746462713461"
"relación","3","0.0191204982308891"
"representación","2","0.118784013120471"
"soldado","13","0.00404355188318794"
"totalidad","2","0.0394934997935809"
"abuela","11","0.0328287525761165"
"abuelo","15","0.0921665817589188"
"acompañado","2","0.0323966212122041"
"acompañan","15","0.0921665817589188"
"adultos","19","0.00516627286893796"
"afectación","6","0.0207309620694238"
"agarraron","18","0.00593453071020158"
"agradeciendo","20","0.00714074276785832"
"agricultor","10","0.00320370144016099"
"aire","22","9.26731669432848e-05"
"alta","21","0.00324821765450846"
"amarraron","2","0.0236201198976806"
"amigo","11","0.0188850346540494"
"amos","17","0.0182295819621424"
"andaba","18","0.0263551222975596"
"andan","11","0.0074634608986036"
"ando","11","0.00746346089860359"
"animal","10","0.0416568263021049"
"análisis","11","0.0655141795269219"
"aprovechar","14","0.0276746462713461"
"ara","10","0.077097788049849"
"arrancaron","9","0.00631205266928802"
"asociado","20","0.00037287988109535"
"atanes","15","0.0127982641121876"
"atención","14","0.0366306867468082"
"ayudaba","13","0.0151240093188889"
"ayude","1","0.157784155353728"
"bajaba","13","0.015124009318889"
"blanca","13","9.30713032853401e-05"
"bonita","5","6.51867520561463e-05"
"boquete","19","0.00538911118007338"
"brevemente","14","0.0276746462713461"
"burgo","13","2.60881895175083e-05"
"burra","18","0.00456727733936462"
"buscamos","21","0.0229493388468033"
"buscando","11","0.05476517431762"
"cambió","10","0.015897352060293"
"camo","1","0.136281149317958"
"campucho","11","0.0188850346540494"
"canama","11","0.0328287525761165"
"canamas","2","0.118784013120471"
"canca","1","0.136281149317958"
"cancuan","1","0.136281149317958"
"cantando","13","0.000656589635282293"
"cantar","21","0.0506239851181494"
"característica","6","0.00551593565856556"
"carolina","3","0.0118446239113639"
"carretera","13","1.3173183440181e-05"
"carro","13","0.00297704741112744"
"celis","16","2.18994673956978e-05"
"científico","6","0.000773681748490053"
"cierre","7","0.0113359107392261"
"cobre","22","9.26731669432833e-05"
"cogieron","10","0.0770977880498489"
"comer","22","0.000456866486350537"
"comunidades","10","0.0222461589373827"
"comunitario","16","0.00732277135368542"
"conducta","6","0.000765943577779744"
"confesar","2","0.0054840727672312"
"conflicto","5","0.0208324554983178"
"confrontación","8","0.000231107011060295"
"conselo","8","0.0266056075048978"
"contaba","10","0.077097788049849"
"contenedores","14","0.000706570973747222"
"continuación","15","0.000823419941236609"
"continuar","15","0.00177780536495197"
"contrastación","17","0.0169553581192641"
"coordinador","12","0.0180092113101131"
"corresponda","1","0.014149816930723"
"credibilidad","6","0.00551593565856557"
"creemos","21","0.0229493388468033"
"creería","17","0.00717879564435059"
"cruzadas","2","0.0231814340006791"
"cuamo","1","0.136281149317958"
"cuida","20","0.00313400610655307"
"cuiden","22","0.000680014568464452"
"culpa","17","0.00717879564435059"
"cultura","10","0.00712389787413362"
"cárcel","17","0.000997205659966558"
"dadas","2","0.0924491169484112"
"damos","15","0.0137716087981618"
"danzar","21","0.0229493388468033"
"defendiendo","10","0.024008947818062"
"defensa","1","0.136281149317958"
"dejar","14","0.0276746462713461"
"delante","8","0.0266056075048978"
"delegación","8","0.00126737925993312"
"derecha","11","0.00262237848749286"
"desarrollado","7","0.000693080182875247"
"diga","13","0.000670483279879474"
"dimensión","6","0.0323052992454022"
"diversos","2","0.0869986015540351"
"diálogo","20","0.000991564514557914"
"dolió","19","0.0387854248361171"
"doloroso","15","0.0137716087981618"
"don","3","0.00161419895987965"
"doy","5","0.003377002930993"
"duele","19","0.0115977749427393"
"efectiva","16","0.000597168513912414"
"efectivamente","6","0.00567710026193692"
"efecto","10","0.00802073522108653"
"ejecutadas","2","0.118784013120471"
"elines","3","0.130408652142355"
"empezó","14","0.00751112723462924"
"encapuchada","19","0.00679093357643242"
"encontrar","11","0.00289523854784214"
"enfrentamiento","10","0.00589604953452229"
"enfrentarse","8","0.000231107011060294"
"engaños","18","0.0263551222975596"
"entrar","17","0.0166283054494802"
"entró","5","0.0184278077342108"
"escuchado","15","0.0939443871238708"
"escuchar","7","0.0486508953711002"
"escuchemos","1","0.188050153659797"
"escuchen","1","0.136281149317958"
"específicamente","16","0.00732277135368542"
"espiritualidad","13","0.0077851378582203"
"esposo","10","0.0416568263021049"
"estructural","1","0.00385193087157324"
"evaluadas","8","0.0326336364606898"
"ever","8","3.27105664532775e-05"
"exige","16","0.000597168513912416"
"experta","19","0.00679093357643241"
"familias","8","0.23945818349794"
"far","20","0.00714074276785832"
"finca","11","0.150097556004662"
"focal","5","0.0184278077342108"
"focales","5","4.67082053263563e-05"
"forma","17","0.0526763655889171"
"fortaleza","1","0.136281149317958"
"frente","8","0.0827955908353101"
"físico","20","0.0211423474328601"
"garrillero","4","0.00731125069465536"
"generación","1","0.136281149317958"
"gente","18","0.193387878143516"
"gobernador","9","0.1405977680237"
"gobierno","20","0.00727587431952518"
"gracia","10","0.0058960495345223"
"grave","11","0.026020679733341"
"guatapurí","19","0.0395440690590305"
