"word","cluster","eigen"
"batallón","3","1"
"comandante","21","0.737031611443369"
"operaciones","21","0.595376752293024"
"brigada","21","0.425616343763234"
"operacionales","19","0.0158898964095226"
"oficial","21","0.236479448410156"
"especial","20","0.146893473870511"
"inteligencia","21","0.381067023044759"
"profesional","1","0.0110426561740911"
"derechos","17","0.00239621357888269"
"versión","4","0.00808509413582136"
"misión","12","0.0667359032982624"
"jefe","21","0.174604348382561"
"informe","21","0.0595161105869487"
"control","21","0.0933999074563014"
"civil","12","0.00651271728867064"
"profesionales","7","0.00984595259477514"
"compañía","21","0.199438076265986"
"capera","8","0.0793703749229601"
"bajas","19","0.0336251704867424"
"área","21","0.209211663537453"
"combate","19","0.242532863497228"
"operacional","2","0.08407196984347"
"días","19","0.21743857384978"
"militar","11","0.141253555529024"
"pronto","7","0.505918143401087"
"coronel","15","0.261605886623899"
"desarrollo","11","0.0636907314877043"
"comando","23","0.117826673459578"
"día","16","0.213590410747931"
"tácticas","21","0.0267609160657658"
"programas","23","0.0847572662318413"
"representación","17","0.00340364682311201"
"armados","23","0.000237768601195258"
"regulares","7","0.00984595259477513"
"fuerza","20","0.0366366381505216"
"caso","7","0.240793223343438"
"información","7","0.533753797023573"
"táctica","12","0.0244080344359683"
"anexo","21","0.0477949277258173"
"entrenamiento","10","0.00306218006597218"
"especiales","21","0.0500572639409899"
"ambiente","2","0.00411515114738247"
"misiones","21","0.0304523677099898"
"justicia","11","0.0180214031262722"
"orden","15","0.300028261932884"
"artículo","23","1.48074271472944e-05"
"fajardo","15","0.0116913332910846"
"comandantes","21","0.227718339645016"
"rodríguez","15","0.0254447039062803"
"bienestar","8","0.00151477128202352"
"repito","7","0.000388416641998498"
"forero","15","0.0117194794563774"
"fuerzas","21","0.0045506517898998"
"operación","21","0.516660599642841"
"diligencia","16","0.0171057550292289"
"exactamente","7","0.0674115994093644"
"abrigada","21","0.0679205061918846"
"moral","8","0.00151477128202352"
"judicial","22","0.000541817241626702"
"sargento","15","0.256438976581364"
"formal","11","0.000113245752517326"
"representante","17","0.00373714275724864"
"centro","10","0.00307692408603342"
"c","5","0.00978558809779064"
"campaña","8","0.00144062632276008"
"carrera","11","0.00691407293286187"
"orientadores","18","0.0014333411728565"
"folio","11","0.00109514567192501"
"pelotón","21","0.616400161505926"
"disciplinaria","11","0.00050253288200906"
"baja","19","0.0272238797966868"
"versiones","23","0.0119000682511153"
"armas","1","0.0273094873155172"
"general","15","0.201845718664598"
"investigación","11","0.00231359509032701"
"derecho","17","0.00236152642590657"
"hacían","23","0.122750188522464"
"ley","23","0.000298210479896404"
"armado","5","0.00974654699690082"
"decisiones","5","0.000340307825128352"
"iba","7","0.233709528733288"
"motorizado","20","0.0377258747335198"
"acuerdo","7","0.324563128106277"
"aguilera","15","0.00427155645374518"
"cabo","15","0.014470127300891"
"conocimiento","7","0.151820887703685"
"ejército","21","0.159444536749709"
"escuela","1","0.0113184369670311"
"humanitario","17","5.6715755485819e-06"
"ofensivas","21","0.0291424755466674"
"confesión","4","0.000395748838425782"
"departamento","22","0.0123491847597612"
"programa","21","0.0775362194419174"
"asesor","2","0.000202398092740192"
"león","15","0.0117194118589535"
"militares","21","0.0429119239081464"
"daban","19","0.0871138760267121"
"hacía","21","0.310508869562331"
"reparación","17","0.00483859716284368"
"b","21","0.0421703225678912"
"campesinos","7","0.00984595259477513"
"compañías","10","0.0694510872541415"
"gastos","7","0.000781365753946386"
"hoja","11","0.00109514567192501"
"berlín","21","0.0419888849380879"
"salí","3","0.0531831329208844"
"ilegítimamente","19","0.00145017522634576"
"reconocimiento","4","0.0297354911511922"
"capitán","15","0.0872673086606719"
"infantería","3","0.0516983355468205"
"informes","4","0.00339399205363011"
"cédula","3","0.0129013591046942"
"legítimamente","19","0.00145017522634576"
"libertad","16","0.000522019538241306"
"regular","7","0.0109744598700671"
"kit","6","6.19833652426869e-08"
"resultados","19","0.323850612079831"
"grupo","20","0.154334251234279"
"recuerda","7","0.292535325521369"
"generales","13","8.83170592341381e-07"
"integral","20","0.000887229305269723"
"recuerdo","7","0.586301959324055"
"comunicación","5","0.000174146085352148"
"dónde","7","0.143213796365808"
"punto","3","0.00534900778690969"
"batallones","21","0.206959527149701"
"división","23","0.062827144509185"
"apertura","11","0.000113245752517325"
"aportar","13","1.86133337376683e-05"
"azteca","21","0.0419888849380879"
"integrantes","21","0.0911459952738272"
"oficiales","21","0.0483928114446835"
"gigante","22","0.00288713626874682"
"soldados","7","0.201151452275256"
"guerra","3","0.00404030145719425"
"muerte","19","0.0561809714866943"
"mueren","7","0.0125126137403344"
"pago","8","0.0272396703767175"
"sé","7","0.441437460516994"
"reserva","21","0.0211414483247975"
"rivera","7","0.0109744598700671"
