"word","cluster","eigen"
"especial","1","0.179677805670325"
"ejército","13","0.147972991417126"
"derechos","18","0.0758569816551451"
"bajas","16","0.0171560859438184"
"ejecuciones","1","0.0890198865349527"
"antioqueño","25","0.0267516347063723"
"brigada","25","0.125463125973629"
"audiencia","5","0.328698176078642"
"queridos","18","0.0545881049187471"
"máximos","2","0.0147079349937303"
"versiones","5","0.0843905769740471"
"óscar","6","0.0029213139018076"
"falsos","16","0.0666609262880994"
"militar","25","0.032162733057279"
"armado","3","0.0107578302340091"
"magistrados","1","0.158974112418537"
"doña","5","0.0924916671366749"
"hijos","19","0.131759902108694"
"justicia","18","0.402617244744315"
"desaparición","19","0.00585676130703865"
"familiares","1","0.216125544690991"
"catalina","6","0.0175974513102419"
"desapariciones","16","0.00689116747879102"
"asesinatos","16","0.100102749287062"
"fuerza","5","0.0124598666477287"
"militares","25","0.0616750933066368"
"antioquia","25","0.201929397260506"
"cementerio","10","0.0020479031068141"
"asesinadas","15","0.106743638027731"
"civil","2","0.0126932588458835"
"batallón","25","0.160962261968602"
"comparecientes","1","0.251939378802845"
"haga","18","0.034494969512895"
"jurídicas","22","7.46356260724304e-05"
"eduardo","6","0.00210801786286913"
"granada","25","0.0318513241447023"
"compartir","5","0.04272284899938"
"definición","22","0.00701706058358291"
"colega","6","0.00202399767888847"
"búsqueda","18","0.0746632817740563"
"colombiana","1","0.0175685464429542"
"escuchar","5","0.19689319396744"
"mamá","19","0.0184989953960366"
"quiero","11","0.261220491352511"
"reconocimiento","1","0.107551420457611"
"versión","23","0.0163993031257848"
"ustedes","1","0.764941067710631"
"ana","5","0.00719686527627982"
"baja","16","0.00639052287495636"
"caso","16","0.373341824880575"
"ciudad","25","0.00643188733562654"
"cordial","1","0.00955082347998867"
"víctimas","1","1"
"artillería","25","0.0167194449926474"
"carmen","25","0.00474374933895215"
"dadas","15","0.0309214739143512"
"familias","15","0.263759997048938"
"fuerzas","25","0.00775135995134406"
"sé","3","0.186895950569102"
"corporación","24","1.25219207991362e-05"
"hijo","19","0.161693539329728"
"presentes","1","0.190056706392721"
"representantes","1","0.134066873290799"
"testimonio","5","0.137378829400375"
"corral","6","0.000488077813628856"
"david","6","0.000630574092679076"
"fredy","21","0.000541343152573305"
"infantería","25","0.0167194449926474"
"isabel","2","0.00196790995903836"
"madre","19","0.010721355114958"
"personas","15","0.441458247616958"
"rodríguez","6","0.00120503875177744"
"carlota","5","0.00597032057372482"
"don","6","0.0531098259717803"
"energético","25","0.0224905253005364"
"general","6","0.0261556006671723"
"gonzález","6","0.00187077349654908"
"judiciales","1","0.0774057973688005"
"legal","13","0.000225764763811898"
"niñas","19","0.0571099776706033"
"acosta","21","0.00144498040718076"
"ancho","1","0.0181322382598556"
"armados","10","0.000194561732753297"
"cometieron","2","0.0110077880986517"
"comunidades","15","0.020724728658416"
"graciela","5","0.000991976707960392"
"humanidad","2","0.00754692388995281"
"mario","6","0.0030288302556898"
"saludo","1","0.13840967131822"
"camino","18","0.0985129166272226"
"casos","25","0.205844076688605"
"coraje","1","0.054678438888154"
"criminal","16","0.00262556149837207"
"delante","19","0.0175530845109699"
"derecho","18","0.093891965396584"
"días","1","0.246580151742869"
"ejecución","3","0.00157873123314116"
"forzadas","16","0.00128432138570681"
"macrocriminalidad","4","0.00542669934964497"
"magdalena","25","0.000607370083194876"
"observaciones","5","0.0988314252140022"
"padre","19","0.0958858464986252"
"participación","3","0.064821044514571"
"país","1","0.28090299756335"
"ángel","6","0.000121263360205216"
"alberto","6","0.00508671442788294"
"andrés","6","0.00373596988115312"
"bajes","6","0.0141194914995579"
"colombia","1","0.159790261831001"
"combate","16","0.0736644049827883"
"desaparecidas","15","0.0375744336846467"
"inocentes","15","0.0350061512615994"
"luz","7","0.0124515541664728"
"papá","19","0.0779822482390237"
"procurador","1","0.129873987270475"
"reconocer","1","0.0562265020350354"
"representación","19","0.10536615882348"
"acción","24","0.00617912836576185"
"asesinato","19","0.0776649769070564"
"bertina","5","0.0553471297028246"
"bolívar","6","0.000602051856314289"
"bárbara","5","0.000227738339705926"
"campamento","25","0.0150996455543683"
"campesinado","2","0.00157268038882721"
"cauca","25","0.000654977135549682"
"colegas","19","0.00289782888257137"
"concentra","1","0.0645498211736468"
"contar","19","0.00763575558605538"
"continuar","5","0.021500938203887"
"digna","14","0.000492743557830439"
"elena","12","0.000974264939965893"
"fernando","21","0.00474186959460415"
"física","22","0.000746678628410017"
"grupos","25","0.00298901494244614"
"hermano","19","0.196582844075065"
"hermanos","19","0.0357524029276934"
"hombres","15","0.00929857158514272"
"jurídica","24","0.000193180178392566"
"naciones","17","0.000674222602774339"
"número","25","0.0980538698913148"
"representante","9","0.0700010631389658"
"unidad","25","0.0955288697862245"
"amor","19","0.0263006084157866"
"comunidad","1","0.181143091983654"
"coral","17","2.15616662679425e-05"
"danilo","5","0.000577233986596941"
"dilma","5","0.00117976957320618"
"dolor","24","0.11450490012995"
"día","19","0.298039184127047"
"económica","18","0.0607507860363565"
"edad","23","0.00660817002145071"
"frente","1","0.175999893264176"
"hombre","2","1.3872969119081e-05"
