"word","cluster","eigen"
"brigada","1","0.997446719781532"
"batallón","1","1"
"especial","1","0.253213418220404"
"operacionales","1","0.0684916991533222"
"coronel","2","0.498556478050864"
"versión","3","0.0688946184598063"
"militar","4","0.213526407013786"
"especiales","1","0.148172499627557"
"misión","1","0.171606467563311"
"operaciones","1","0.702535348880072"
"bajas","5","0.209502063085425"
"derechos","6","0.0206531408236708"
"escalante","2","0.0574556535645504"
"casanare","7","0.202977984017369"
"justicia","4","0.0511382883091069"
"oficial","1","0.251041784094976"
"ilegítimas","5","0.0372660256976517"
"comandante","1","0.936312963965844"
"profesional","8","0.0147863059711808"
"diligencia","3","0.0296888160544407"
"acosta","2","0.05573441625203"
"representación","9","0.0160562562603381"
"capitán","10","0.183343535213924"
"cabo","8","0.154151160172814"
"operacional","5","0.155551191577517"
"civil","10","0.044987679728667"
"reconocimiento","4","0.0689110573893151"
"combate","5","0.29030986957843"
"pronto","1","0.620894647368425"
"misiones","1","0.0283696168111064"
"delta","1","0.224692312156324"
"jefe","1","0.214395156243064"
"programas","2","0.0973832946960425"
"teniente","11","0.474705561476569"
"ilegítimamente","5","0.0119174368565465"
"inteligencia","1","0.45121046606756"
"agua","7","0.00017547028615722"
"profesionales","1","0.0178348301409138"
"representantes","9","0.0103848195517362"
"gaula","1","0.538373744225649"
"juan","12","0.000568253858601848"
"carrera","4","0.00805318999195545"
"burgos","11","0.00875403797866153"
"armado","2","0.0188261846612369"
"informe","1","0.150875700586269"
"bracamonte","13","0.004363573651727"
"acto","4","0.00129340140293783"
"fuerza","1","0.0443374317918488"
"fuerzas","14","0.0178486295372355"
"versiones","15","0.0117524652576839"
"área","5","0.161215350354549"
"garcía","11","0.0374320820220935"
"información","16","0.770690933132173"
"campesinos","1","0.0178348301409138"
"escuela","17","0.0526604333422299"
"caso","10","0.621313472348407"
"artículo","4","0.0129547642499545"
"comando","1","0.211372285517819"
"derecho","4","0.014438771669117"
"general","2","0.285883086376776"
"regulares","1","0.0178348301409139"
"judicial","14","0.0104892792064556"
"anexo","1","0.0170174905315867"
"conocimiento","5","0.608429451770122"
"convita","11","0.0202309443871926"
"condicionalidad","10","0.0237411880024925"
"tácticas","1","0.0496712117604497"
"orden","5","0.545418897444892"
"humanitario","2","4.73846698660373e-05"
"reparación","9","0.0125463797200151"
"representante","9","0.0104240260994187"
"ley","4","0.00201613049142925"
"ejército","1","0.277745571820734"
"casallas","11","0.01860631670562"
"nacional","14","0.0200493374642682"
"baja","5","0.207005925686646"
"fernando","11","0.00130202939853657"
"ejecuciones","5","0.000182044344724965"
"jiménez","11","0.0267848853708094"
"punto","1","0.0330467652714023"
"magistrados","12","0.00104303923195838"
"desarrollo","15","0.0900173993014692"
"integral","9","0.0110876245428117"
"libertad","18","0.00180985474035205"
"hoja","10","0.00189986060677366"
"folio","10","0.00189986060677365"
"cooperantes","1","6.39693071286971e-05"
"gonzález","8","0.0153034998704195"
"juez","4","0.000805119731462166"
"jurídicas","15","0.000921943693991976"
"b","1","0.191114323956316"
"directa","5","0.08056169136128"
"salí","1","0.0817210856557091"
"programa","1","0.0891254143744309"
"almario","8","0.000577174475616019"
"guerra","17","0.00328843799196478"
"definición","15","0.0154674011867065"
"pago","16","0.0331374860162503"
"carlos","12","0.00230198836278402"
"oficiales","1","0.0189183854586494"
"legítimamente","5","0.00641757944849823"
"armas","17","0.044416047536393"
"táctica","1","0.0487118376419277"
"conflicto","2","0.0373378050607148"
"dónde","1","0.145000061380777"
"confesión","3","0.00259837394184355"
"falsos","19","6.92665186558399e-05"
"cuarta","1","0.0775859606434767"
"detallada","15","0.000478455121798285"
"día","3","0.330060267745256"
"abrigada","1","0.0467635262417962"
"aportar","6","0.00134641374836277"
"exactamente","10","0.0710300993212682"
"óscar","12","0.00858195486477418"
"efectos","3","0.00134502099134009"
"enrique","13","0.00462481160518976"
"generales","15","0.00421716937918599"
"control","3","0.0908181713616743"
"captura","5","0.0254803468773911"
"familiares","5","0.0249974416419871"
"militares","14","0.0384791753521897"
"piezas","3","1.21800889898029e-07"
"criminal","4","0.0010987740030052"
"bonilla","8","0.0153439743782431"
"acuerdo","10","0.626339025963978"
"amaya","11","0.0077313887567433"
"marcolino","11","0.000748328866735651"
"regular","8","0.0147863059711809"
"soldados","1","0.47288182738699"
"suancha","11","0.0179547644941991"
"edad","20","1.56886038871899e-05"
"franco","11","0.0077313887567433"
"quiero","10","0.189069741970357"
"armados","5","0.00860065144019144"
"rodríguez","11","0.0232642032176796"
"grupo","1","0.451958422023747"
"mal","19","0.0476862129940219"
"torres","2","0.0885392048080214"
"batalla","5","0.0262267714158142"
"colombiana","6","0.000350554539411728"
"operativa","1","0.0227149736121913"
"soldado","8","0.391494026658697"
"daniel","2","0.00333927333872862"
"pablo","12","0.000580753558069954"
"conductas","15","0.0124500026066243"
"preguntas","9","0.0988167917295036"
"iba","1","0.453375742394122"
"llegamos","1","0.00731004014866283"
"parada","11","0.0193757088881474"
"personas","5","0.439951965116327"
"recuerdo","10","0.496419753529157"
"sierra","11","0.0348075132370385"
"arma","17","0.0428581679773307"
"audiencia","4","0.00421135676853806"
"infantería","17","0.0488259657409688"
"construcción","3","5.5869208763617e-06"
"extrajudiciales","5","0.00482681706070874"
"céspedes","11","0.00141175825760472"
"montaña","13","0.00799262671020606"
"alexander","11","0.000679099387529584"
"dando","5","0.0725623424557336"
"determinación","15","0.00375881749459326"
"anteriormente","15","0.000127577731868614"
"compareciente","9","0.0513011724126115"
"cuál","10","0.294338548990326"
"cédula","4","0.0134620205201347"
"ciudad","7","0.00172725320388995"
"augusto","11","0.00148988295817961"
"continuar","3","0.00484661400427628"
"operación","1","0.689294177268963"
"gobierno","14","0.000786923855678024"
"iban","5","0.145316837661984"
"contacto","2","0.00749386763068486"
"digo","10","0.459454641428917"
"perdón","21","0.120176271389471"
"roque","2","0.00333927333872861"
"aguazul","7","0.00959631220723156"
"comandantes","1","0.231724024438672"
"escuchar","3","0.003718093416668"
"ilegítima","5","0.00518845295706714"
"condiciones","9","5.81782244216206e-05"
"días","12","0.197610147465304"
"repito","10","0.000656344272945706"
"henry","2","0.0347181760117547"
"jurídica","17","0.0204823576558403"
"daban","16","0.0776806432554051"
"hombres","14","0.0159047975085615"
"sargento","11","0.204994004127962"
"entrenamiento","4","0.00183223638973885"
"atender","9","0.00874662737494278"
"beneficios","6","0.00674829047275343"
"domínguez","11","0.0077534463175782"
"grupos","1","0.183392487148233"
"pelotón","1","0.184387389710502"
"hacía","1","0.399707349442724"
"ideas","5","0.0205705798535868"
"compañía","1","0.154267014101121"
"delegación","9","0.00255833755597388"
"municipio","7","0.00464588177945709"
"público","9","0.0437091803342787"
"dirección","14","0.0178823447427809"
"dejar","10","0.019388564719432"
"guillermo","2","0.00376130195663438"
"hacerle","9","0.0202482498106665"
"persona","10","0.631473182939611"
"david","2","0.000408975678017461"
"fabián","11","0.00268533162383967"
"parra","12","0.000422895600559723"
"mando","1","0.308360948413995"
"muerte","5","0.137569300983745"
"oportunidad","2","0.0096406026791973"
"procedimiento","4","0.0152901531593724"
"tarde","3","0.0164014236244817"
"hilario","12","0.00847032696016412"
"vicencio","7","0.000560927834250728"
"batallones","1","0.11777164922879"
"causa","17","0.000476398764850315"
"centro","9","0.0373567847067591"
"das","17","0.149599954462597"
"derivadas","10","0.0238343351072232"
"logística","1","0.00946808973892288"
"ocasión","17","0.0126087902267946"
"realmente","10","0.197228580198115"
"estatutaria","4","7.60387538156211e-05"
"anticipada","18","0.00262630947508893"
"condicionada","18","0.000101770937921573"
"disciplinaria","4","0.000977911612978759"
"hacían","1","0.201699047465458"
"aseguramiento","2","2.0218649963516e-05"
"decisión","15","3.94989754739432e-06"
"desaparición","10","0.000900792767414584"
"pregunta","9","0.248222273098757"
"afinidad","9","0.00170220543998592"
"breve","4","0.000161300269269913"
"cadáver","17","0.0014573726869117"
"contribuir","9","0.0447154129711934"
"cónyuge","22","0.000127498246639749"
"doctrina","4","0.00805318999195544"
"c","1","0.0205489619069866"
"caballería","1","0.0170456998360236"
"declarar","22","0.00193998515140893"
"durán","11","0.00138971892679177"
"horas","3","0.0157530943205237"
"juzgado","4","0.00437164785328093"
"maecha","11","0.000940710033303518"
