"word","cluster","eigen"
"batallón","14","0.141517167147381"
"especial","14","0.190360684853164"
"bajas","25","0.0346795178892199"
"conclusiones","12","0.0262191344574961"
"magistrados","12","0.15872793359151"
"cancamo","6","0.158851236598769"
"reconocimiento","12","0.298932799276527"
"indígenas","6","0.11639248128105"
"armado","14","0.0165836614791919"
"caribe","4","0.0619691827103697"
"familiares","12","0.236069956329261"
"ejército","14","0.178408555440399"
"máximos","21","0.0298449969089289"
"desaparición","25","0.0147437625170975"
"asesinatos","25","0.106466305688845"
"justicia","24","0.186937432891338"
"versiones","12","0.157668591200177"
"queridos","12","0.0530987362655801"
"audiencia","12","0.273763136699127"
"derechos","24","0.097876348269463"
"indígena","6","0.0373804880621243"
"operacionales","14","0.0101106432546985"
"artillería","14","0.0173581805614763"
"desapariciones","25","0.00871984715826654"
"falsos","21","0.0593731138670191"
"hugo","23","0.00154886953898477"
"armados","3","0.00396633338044969"
"nevada","6","0.00084131668475513"
"carlos","7","0.0404107735474305"
"comparecientes","12","0.451996622635208"
"presentes","12","0.237584258913524"
"representantes","12","0.105572656368068"
"representación","24","0.0831485068566214"
"fuerza","14","0.023768325154002"
"humanidad","25","0.00975280067980131"
"marta","6","4.34957558938628e-05"
"manuel","1","0.00145322222965352"
"versión","21","0.0145297034771267"
"hijos","5","0.0866168961348666"
"número","14","0.0912821536013167"
"andrade","1","0.000780459458895261"
"flores","7","0.00249294038362892"
"perdón","5","0.0807509086755604"
"quiero","12","0.426200454691212"
"asesinato","25","0.114103176771579"
"coronel","7","0.0646579809693889"
"ah","18","0.0627095132764598"
"cautelares","9","0.000750017208512742"
"cordial","12","0.0655598536395071"
"ejecuciones","12","0.0517063839070096"
"grupos","14","0.076102821907256"
"crímenes","25","0.0690822803926048"
"condicionalidad","2","0.0231243918588489"
"criminal","2","0.00618423923232966"
"padilla","1","8.15321978829238e-05"
"autoridades","6","0.181100679827417"
"crimen","25","0.0252957204136728"
"honorables","12","0.0653855070927255"
"comandante","14","0.0376420047139019"
"dupar","9","5.99696846127033e-05"
"militar","14","0.0071161336203946"
"persona","5","0.142788536951054"
"costa","21","0.0285292864889194"
"guerra","25","0.0362803307728843"
"arias","7","0.0241580677202636"
"baja","25","0.0271309046534032"
"búsqueda","24","0.104350857828038"
"enemías","7","0.000797305513872951"
"hernán","7","0.00459669705655534"
"ilegítimamente","25","0.0116201086063113"
"judiciales","12","0.0968234241192677"
"paz","24","0.170673926205308"
"causado","5","0.0126109419098245"
"días","7","0.198167757124352"
"eduardo","7","0.00167627739937329"
"espitia","1","4.44626030063186e-05"
"falso","22","1.59706853860572e-05"
"hermanos","5","0.106787101877761"
"magistradas","12","0.0271345159720912"
"mercado","1","0.00083811409006509"
"abogados","12","0.091190553747326"
"asesinadas","25","0.0883254348840943"
"gutiérrez","7","0.00430734904541795"
"jesús","7","0.0121208657854748"
"militares","14","0.0139972839259138"
"víctimas","12","1"
"álvarez","7","0.0116919269116363"
"bello","4","0.0150080766550174"
"burgos","7","0.00129440818316089"
"definición","8","0.00334446456207876"
"homicidio","25","0.0276662129774305"
"humanos","24","0.0736229455138404"
"jurídicas","8","0.000148783303533086"
"observaciones","12","0.213656566286405"
"proceso","24","0.231942583723804"
"cabrales","7","0.0102882449557771"
"colombiana","6","0.00673811285320814"
"corazón","5","0.0786835584406008"
"código","25","0.00087389081956353"
"dadas","25","0.0266350247396206"
"día","12","0.492092377310322"
"elkin","18","0.00208548596415239"
"evangelista","10","0.00131308908806481"
"general","16","0.000284346371513767"
"hermano","5","0.402244415318226"
"integral","24","0.0225790673593516"
"personas","25","0.447219004203249"
"representante","12","0.0773639325447717"
"étnicos","17","0.00259413489665659"
"acreditadas","12","0.0515688785743968"
"albeiro","5","0.0252884954534923"
"caballería","14","0.00625486195819221"
"coautor","21","0.000561954974728103"
"delitos","25","0.00501819069471121"
"guajira","4","0.000641880567921002"
"inocentes","6","0.0807394013566777"
"internacional","24","0.0114283606420167"
"madre","5","0.0362781558755843"
"máximo","18","0.00231459975993108"
"reconocer","21","0.0810411463116251"
"ustedes","12","0.437293398545525"
"comité","20","0.0518464115939234"
"forzadas","25","0.00381795674931601"
"garantías","24","0.00435101978721695"
"mario","7","0.00348681627071796"
"mendoza","7","0.00132449684887519"
"organizaciones","12","0.0745184925490198"
"social","25","0.0522349034705228"
"arturo","7","0.00217355737769562"
"colombiano","6","0.0311697266106244"
"combate","25","0.253239433974073"
"comunidades","6","0.0906592880013255"
"dios","5","0.157026546410475"
"dolor","5","0.152932434402948"
"estatuto","24","0.01322684431332"
"forzada","25","0.0279200783611793"
"fuerzas","14","0.000723748936328717"
"gobierno","1","0.059422259667359"
"gómez","7","0.0040925051576696"
"participación","20","0.0811274534813956"
"quintero","7","0.0103039529798658"
"responsabilidad","21","0.11313739007418"
"sepúlveda","7","0.000160520473341895"
"óscar","8","0.000131423285531736"
"alex","1","0.000781346469376685"
"brigada","14","0.0129864886880843"
"comunitario","16","1.42547217926073e-05"
"david","7","0.0149091979921459"
"figueroa","7","0.0054380958755475"
"investigación","10","0.0202280420380359"
"ley","6","0.0579279261072695"
"niñas","6","0.00353903984301519"
"políticos","20","0.0102537591986463"
"señores","12","0.164645367028144"
"sociedad","24","0.0657364304016284"
"acusación","10","0.00646510696313878"
"agentes","25","0.0130592736208579"
"andrés","7","0.00238813451255142"
"avanzando","24","0.0147161844155352"
"digo","5","0.123117791877037"
"hombre","5","0.0292380655226272"
"presos","20","0.000668430167437457"
"profesionales","23","0.00121382620800963"
"acepto","21","0.00763431672027998"
"apoderados","12","0.0968470621124273"
"cancam","6","0.018419842744968"
"colegas","12","0.0463905588620288"
"contemplados","25","0.00144597646809767"
"delegado","12","0.0231049014450903"
"derecho","24","0.0770135665026706"
"dinamarca","14","0.00246258309367396"
"energético","14","0.0174036020327116"
"garcés","7","0.000683455451674805"
"grupo","14","0.115526542338834"
"guerrillero","5","0.0666989483855874"
"igua","6","0.0147032039702703"
"madres","5","0.0396032812331579"
"maestre","23","0.00169647661714971"
"miembros","14","0.123530181023784"
"nieves","7","0.000468503673282131"
"operacional","25","0.000673740199687035"
"oñate","7","0.00736041016088221"
"profesional","23","0.000337067681296748"
"área","14","0.0218416311655536"
"alfredo","7","0.00212949239105412"
"artículos","25","0.000119632954466122"
"auto","12","0.0897899108821463"
"caso","12","0.372325585865613"
"centralidad","24","0.0545867075548902"
"ciudad","9","0.006083825791443"
"civil","24","0.00339906969869987"
"compañeros","24","0.0335866056010419"
"conductas","21","0.0862049166670415"
"constituyeron","25","0.00516988357598911"
"corte","24","0.00120547853186076"
"césar","4","0.0059119510288994"
"dejar","12","0.0270335670029799"
"edgar","5","0.0354283906078935"
"encuentran","12","0.0936181288587258"
"enrique","7","0.0245275681134614"
"familia","5","0.268920208406412"
"instancia","12","0.0123296137278127"
"jurídico","24","0.00297483827419895"
"legal","24","0.00458038758889679"
"londoño","23","0.00209104219269079"
"marco","24","0.255062535619298"
"mecanizado","14","0.00576486695889824"
"mindiola","7","0.0043662614226015"
"nacional","14","0.0206883960137309"
"papá","5","0.182663135174725"
"presentar","25","0.020731446352987"
"procesales","3","0.000929149370421855"
"pueblo","6","0.285117776006288"
