"word","cluster","eigen"
"batallón","5","1"
"brigada","10","0.674198929997808"
"especial","9","0.244932505863308"
"operacionales","23","0.0994839898161787"
"operaciones","10","0.680441512400545"
"comandante","10","0.827205098169161"
"inteligencia","10","0.464586774387153"
"versión","21","0.0698659541035603"
"derechos","14","0.0128240421845441"
"misión","9","0.173589964355279"
"oficial","10","0.303412579616343"
"militar","9","0.227626474938"
"bajas","23","0.273543149646046"
"civil","2","0.0756612905758277"
"profesional","5","0.014393121830054"
"justicia","9","0.0489907648150497"
"área","10","0.287686264184514"
"común","11","0.000358332078108089"
"especiales","11","0.071463834995773"
"operacional","9","0.150496850048895"
"informe","9","0.147145064604076"
"profesionales","10","0.0232876517901987"
"compañía","10","0.442284203535283"
"jefe","10","0.134033709222455"
"representación","21","0.0123438231818507"
"diligencia","21","0.0657137848282614"
"combate","23","0.486576297168362"
"control","9","0.136199975558063"
"pronto","23","0.68214416308534"
"programas","10","0.151448174484742"
"coronel","10","0.487837635376879"
"fuerza","11","0.0267469520170541"
"ejército","10","0.405280852630585"
"reconocimiento","9","0.0563421459208373"
"versiones","21","0.0390819056190514"
"rita","25","8.87257822958983e-06"
"escuela","5","0.0425356225654675"
"anexo","10","0.0241654860598047"
"armado","14","0.0088872885288038"
"representantes","21","0.00830221264700924"
"misiones","10","0.0151392194204158"
"artículo","14","0.0174535157504379"
"información","23","0.704042398839252"
"regulares","10","0.0348705513349983"
"representante","21","0.0151425427152025"
"fuerzas","11","0.0410625571774025"
"desarrollo","9","0.0638131912590325"
"orden","9","0.542261793740762"
"ley","9","0.0153878924000975"
"conocimiento","23","0.541779019407978"
"días","21","0.398599495316607"
"judicial","21","0.0270900451024387"
"capera","25","0.0316648276335744"
"cédula","5","0.0138148892022916"
"cooperantes","6","0.00127875983565724"
"hoja","1","0.0021590924514239"
"ejecuciones","20","0.00684827442439418"
"escalante","25","0.0182368611055043"
"acto","14","0.00138400659245083"
"armados","11","0.00232887140746598"
"carrera","9","0.00510775258513971"
"comando","10","0.14424071447418"
"tácticas","10","0.0368970270917484"
"gastos","18","0.000943896548039577"
"comandantes","10","0.241422754834964"
"carlos","25","0.0017758879155956"
"folio","1","0.00215813077298855"
"ilegítimamente","23","0.00284032138072309"
"casanare","11","0.0239076759061934"
"baja","23","0.244507174352994"
"falsos","1","0.000265828561228892"
"exactamente","10","0.136506475860379"
"táctica","9","0.0817615652539844"
"caso","21","0.560365725673858"
"derecho","9","0.0101038209368234"
"ilegítimas","23","0.00861336930085033"
"abrigada","10","0.082216196622901"
"punto","21","0.111647652830235"
"b","10","0.150607096689285"
"reparación","14","0.00885223057580334"
"guerra","24","0.00506404685672195"
"salí","5","0.0601663015727516"
"campesinos","10","0.0257291985471078"
"condicionalidad","14","0.00032560372559857"
"general","10","0.362991813515122"
"repito","21","0.00919329179856048"
"nacional","11","0.0274522456674351"
"humanitario","9","1.00635315541715e-05"
"día","21","0.537995680479209"
"magistrados","21","0.0091221968594727"
"libertad","17","0.000635120075961971"
"recuerdo","10","0.670077436215015"
"jurídicas","23","0.000348710166454129"
"pelotón","10","0.655960938197209"
"familiares","23","0.0302215045933339"
"definición","23","0.00813058090503376"
"dónde","23","0.34558034932585"
"oficiales","10","0.0765353189255313"
"consejo","5","0.00821477545830971"
"batalla","9","0.0321173194038921"
"judicatura","25","0.00217693049384758"
"c","10","0.0921040638847334"
"militares","11","0.0729504035444356"
"suárez","25","0.0174458147677837"
"confesión","21","0.00147450046381045"
"operación","9","0.610468785910017"
"programa","21","0.120426565686696"
"legítimamente","23","0.00284032138072308"
"armas","23","0.0749962591975771"
"infantería","5","0.0272810641097666"
"cabo","10","0.223833312517191"
"integral","14","0.00976783768113867"
"hora","21","0.0461941796412855"
"audiencia","21","0.024290614258221"
"disciplinaria","9","0.000874610654291406"
"ambiente","9","0.010106830570113"
"entrenamiento","9","0.0078101167190216"
"acosta","25","0.0103144096700432"
"generales","14","0.00299243898077681"
"acuerdo","10","0.615567372829098"
"rodríguez","25","0.0865859144958949"
"brasil","10","0.0420966164909913"
"regular","24","0.0103082366617404"
"casco","23","0.00021682186176681"
"hacía","10","0.464196363459475"
"capitán","10","0.330348876385595"
"campaña","24","0.0008203883384662"
"ciclo","10","0.00980933673451457"
"iba","23","0.533445707699979"
"amor","13","0.0103048499093222"
"digo","10","0.485008549789877"
"pago","23","0.0323808878457584"
"decisiones","14","0.000612918200883606"
"edad","8","0.0257485346816546"
