"word","cluster","eigen"
"batallón","24","1"
"inteligencia","16","0.494702359225485"
"comandante","16","0.764525182721507"
"operaciones","16","0.666329809352928"
"brigada","16","0.475269219560201"
"operacionales","6","0.101153385798951"
"especial","16","0.218420032556115"
"oficial","16","0.316788933851605"
"derechos","7","0.0126174684535335"
"versión","5","0.0478879898889756"
"misión","1","0.170586567543251"
"común","18","0.011881460683837"
"civil","22","0.120605061412466"
"área","7","0.369142123389322"
"compañía","16","0.36536709834433"
"informe","25","0.156706380082967"
"profesional","24","0.0309787080492401"
"control","16","0.135631559192942"
"jefe","16","0.161860573892459"
"militar","8","0.200172808196603"
"profesionales","16","0.040617397997871"
"bajas","6","0.206463014658883"
"combate","6","0.374706297120967"
"operacional","16","0.145724626162216"
"anexo","16","0.0258921124537374"
"capera","19","0.0511402011076707"
"información","2","0.701872380012507"
"coronel","22","0.448945715364336"
"desarrollo","6","0.0681940968562585"
"justicia","8","0.0206314540852515"
"programas","5","0.153270945582922"
"pronto","22","0.604198186298866"
"representación","1","0.00620684420860719"
"comando","16","0.149384690142353"
"fuerza","16","0.0576489041940376"
"cooperantes","2","0.00203546757429734"
"días","5","0.377327399130443"
"regulares","16","0.0428375207801869"
"escuela","24","0.0357526576251794"
"especiales","16","0.0526670211325509"
"misiones","16","0.0178265646941233"
"comandantes","16","0.178241061779532"
"tácticas","16","0.0408507956472179"
"diligencia","5","0.0348511914354486"
"judicial","1","0.0100011390120518"
"ley","23","0.0125046289477246"
"táctica","1","0.0958875912864499"
"armados","18","0.00630754079044894"
"orden","1","0.48891148407779"
"artículo","23","0.00316807084976825"
"ejército","16","0.298185934699621"
"fuerzas","16","0.0573253802516945"
"rodríguez","19","0.117198324197698"
"exactamente","22","0.173587569319965"
"día","5","0.463675967138366"
"hoja","22","0.00149145471572267"
"abrigada","16","0.10658713123902"
"forero","4","0.0148682281691264"
"pelotón","16","0.69636029573646"
"representante","1","0.015745208790107"
"berlín","16","0.110143446993239"
"b","16","0.13512502480107"
"departamento","7","0.0148577578739606"
"acto","23","0.0116837595470807"
"versiones","5","0.0309106415237447"
"folio","22","0.00149087889599589"
"punto","1","0.192575939653357"
"gastos","9","0.000818149027415346"
"aguilera","22","0.00582636992611752"
"campaña","5","0.00106140035465313"
"batalla","1","0.0278839630698892"
"c","16","0.0922232487486241"
"infantería","24","0.0275889659755423"
"decisiones","8","0.0161674329929006"
"ambiente","1","0.00802439500760773"
"caso","22","0.412713756393646"
"ciclo","2","0.0384273674230187"
"armado","23","0.0163502377169183"
"campesinos","16","0.0245589945638482"
"repito","1","0.00822157285065821"
"carrera","8","0.00454690491597108"
"entrenamiento","16","0.0586840929742248"
"disciplinaria","8","0.00101474386529154"
"conocimiento","22","0.444921201161076"
"militares","16","0.0284679946635039"
"salí","24","0.0571934708092689"
"operación","1","0.570121368263529"
"derecho","7","0.00673564394758488"
"reconocimiento","23","0.0305374295749663"
"armas","22","0.112446560810775"
"gasto","25","0.0034202707596963"
"motorizado","11","0.0429921101796867"
"recuerdo","22","0.662016517855926"
"confesión","5","0.000940946305811852"
"palomino","22","0.00748029304886618"
"oficiales","16","0.068768773074682"
"hora","5","0.0649033360767541"
"nacional","16","0.0116715703227169"
"programa","5","0.149586769704016"
"bienestar","24","0.0208614006335791"
"generales","1","0.00259582602872852"
"legítimamente","6","0.00159329547304164"
"orientadores","2","0.00410794877785847"
"reparación","8","0.00446583065089729"
"humanitario","7","0.000135450484671143"
"iba","22","0.485035874770811"
"hacía","16","0.443912680920872"
"arma","22","0.0915802632566465"
"acuerdo","22","0.545024836802085"
"muerte","6","0.0513044965965799"
"capitán","22","0.267807094879927"
"ejecuciones","23","8.03491717111208e-05"
"compañías","16","0.129526002008159"
"integrantes","16","0.0956444121137859"
"comunicación","24","0.0464412866476733"
"moral","24","0.00159114043257353"
"recuerda","16","0.49120010988699"
"actos","15","1.13592478143665e-08"
"cédula","24","0.0100154315207037"
"regular","23","0.0205125525404434"
"guerra","24","0.00542285486770851"
"baja","6","0.211167898873143"
"libertad","5","0.000477405633590565"
"cuántas","6","0.0693152520939937"
"pago","2","0.0329112026033736"
"carlos","19","0.0123798351227082"
"león","4","0.0153248428081136"
"murieron","22","0.0103504069507569"
"ilegítimamente","6","0.00159329547304164"
"azteca","16","0.0380480510750906"
"dónde","22","0.303361179868011"
"gigante","7","0.00851886094405522"
"digo","22","0.432166644456436"
"personas","22","0.526767765964042"
"centro","8","0.0170337648166587"
"orientador","2","0.00496450294733277"
