"word","cluster","eigen"
"norte","7","0.123167692771025"
"crímenes","6","0.060585510122878"
"audiencia","20","0.136362188613443"
"bajas","16","0.00460573340483746"
"queridos","5","0.00330476278717827"
"especial","17","0.100061307113398"
"ejército","7","0.0477396963763423"
"falsos","16","0.0123266425313834"
"humanidad","6","0.0208054558791345"
"magistrados","13","0.202642352656193"
"desapariciones","16","0.0043955426948037"
"asesinatos","18","0.0449427224166861"
"batallón","7","0.0105696508241891"
"fuerza","7","0.00703060650943632"
"desaparición","6","0.0266392227144192"
"reconocimiento","20","0.229692476999298"
"derechos","5","0.0980261876806016"
"máximos","6","0.0213262940471431"
"ustedes","13","0.848846943537814"
"catatumbo","18","0.144175407274122"
"operacionales","16","0.0107054052721471"
"reconocer","6","0.0733716500902985"
"perdón","13","0.140958240758409"
"persona","14","0.0202068385247993"
"forzadas","16","0.00171502080472903"
"homicidio","14","0.00274708863894096"
"familiares","13","0.356403075547828"
"guerra","6","0.00895291835202429"
"justicia","17","0.0750139831649818"
"mis","2","0.174800374291968"
"pública","6","0.0562812133004708"
"brigada","7","0.0116113351205717"
"hijos","2","0.242649057409306"
"macrocriminalidad","9","0.000657965330118748"
"máximo","20","0.00115456723534629"
"amado","15","4.69322480271809e-05"
"estatuto","17","0.000371522645360139"
"comparecientes","13","0.325503326455307"
"constituyen","6","0.00608990685334335"
"dios","13","0.0536116846554231"
"muñoz","23","0.000377969540463816"
"presentes","13","0.260896787354743"
"asesinato","6","0.123624396370945"
"armado","18","0.010051704325945"
"civil","6","2.87018620641581e-07"
"combate","16","0.0328280730435747"
"jacome","23","0.00026781175934887"
"naciones","5","0.000922958962298249"
"antonio","23","0.00660092640588715"
"ciudad","2","0.0216373343839273"
"comandante","7","0.0283790085256929"
"guillermo","23","0.00405487977333124"
"javier","4","0.00542953737715009"
"oficiales","22","4.89901861983497e-07"
"unidad","14","0.105690107539972"
"acepto","6","0.0208205802906431"
"alexander","23","0.000500531342971008"
"auto","20","0.127780196603095"
"carlos","11","0.00811419264308142"
"causado","13","0.0379246841565379"
"criminal","9","0.00216697644465519"
"fajardo","15","0.0005506549656905"
"francisco","7","0.00864892104863602"
"frente","20","0.216460727068021"
"imputado","20","0.000108769718091659"
"inocentes","18","0.143077403688175"
"paula","7","0.00559438268902612"
"bogotá","2","0.101033703261269"
"comparecer","20","0.0129614738673681"
"coronel","15","0.00397734254781005"
"fuerzas","13","0.0129956777986916"
"madres","2","0.153729976426287"
"participó","9","0.0123981851211721"
"proceso","20","0.151890501208824"
"responsabilidad","6","0.125620251260482"
"ah","22","0.00237320261797946"
"carretero","23","4.80101785363162e-05"
"coautor","6","0.0188476759751798"
"colombiana","20","0.0115549968296333"
"conductas","6","0.00405754533908693"
"dolor","13","0.239141925055996"
"ejecuciones","16","3.55017386102046e-05"
"falsas","16","0.000494139235077132"
"general","7","0.0411852529347441"
"guerrero","23","0.019371843406236"
"gutiérrez","23","0.0191007017733538"
"pedir","13","0.0457504020433014"
"álvaro","15","0.00248937507523425"
"altos","16","0.00121517380086666"
"castro","15","1.80193370991777e-05"
"central","7","0.00129964593028325"
"contreras","15","0.000431626029674745"
"decirles","13","0.11243933299888"
"doña","21","0.00211257959734371"
"emilio","1","0.00436067868313888"
"entero","20","0.0315172521937337"
"escrito","20","0.0238895059117874"
"familias","20","0.189693868535865"
"gabriel","15","0.000490094283574913"
"hermanos","2","0.0844637348925645"
"herrera","15","0.00181523973021757"
"ley","17","0.0994479366986065"
"limpiar","13","0.0666458744232977"
"militar","14","0.0439843293695299"
"oficial","7","0.000519464509241768"
"organizaciones","20","0.0950594399437522"
"área","7","0.00145659242722199"
"agentes","16","0.00309267415627888"
"alejandro","17","2.33970952631682e-05"
"ariel","8","7.75353044643809e-05"
"asesinadas","18","0.126698896764864"
"asumo","6","0.0118344596121396"
"baja","16","0.0147391078423045"
"castillo","8","0.00206852101098443"
"conocimiento","16","0.000518616170814228"
"coronado","7","0.00432258708444033"
"darío","15","6.64369985987657e-06"
"jesús","15","0.000726727437566174"
"llegado","20","0.0238895059117874"
"representantes","13","0.162066659113684"
"sé","13","0.127535166652978"
"alejandra","23","0.000184665101171671"
"armados","21","0.000281318507752451"
"catalina","23","4.29914923266463e-07"
"comando","7","0.00888163635476266"
"comunidad","17","0.000865536064937054"
"forma","14","0.0073211624218677"
"gente","18","0.129825985730706"
"humanos","5","0.0126519231236902"
"integral","17","0.0118031576238124"
"intervención","20","0.0959106651021349"
"libre","6","0.0119413907304149"
"madre","2","0.0482936529509738"
"mario","7","0.00432626974238944"
"martín","15","0.00540250230048286"
"mauricio","23","0.00196566294402613"
"mundo","20","0.0441599372803472"
"profesional","3","0.00194382979950098"
"reconozca","6","0.0171366122431315"
"versiones","13","0.0309396827851731"
"abril","2","0.0198087404769731"
"acreditadas","20","0.0942082147853693"
"acuerdo","17","0.0219368133233172"
"amparo","23","0.00241663972612812"
"campesinos","18","0.0838603906807195"
"civiles","18","0.0626927344386676"
"colombia","20","0.146842076460463"
"consuelo","23","0.00203265343466689"
"cédula","7","0.00053031258758995"
"código","17","0.00245865859202603"
"diego","15","0.000755279864733872"
"digan","13","0.0799683551767146"
"días","23","0.192892061019304"
"efectos","6","0.0224897057370455"
"esposas","2","0.0329530269346997"
"forzada","6","0.0369800669098901"
"garay","1","4.1199509459416e-05"
"gustavo","23","0.000165678287234351"
"hermano","2","0.0565894883173215"
"hijo","2","0.112044237351516"
"hombres","18","0.0156446375533496"
"honorables","13","0.0190905742836472"
"internacionales","20","0.00903557253814958"
"maría","23","0.0213846877199382"
"militares","13","0.137946333324532"
"mostrar","16","0.00919593215481707"
"presión","16","0.0127843299865047"
"procede","20","0.0216389182077334"
"quiero","13","0.344672467216821"
"reconozco","6","0.0953857442153659"
"abundancia","18","0.00116254782619393"
"albeiro","23","0.0018726589897116"
"alberto","15","0.00419834778257545"
"andrés","23","0.000222812528015744"
"aportar","6","0.00903092719939915"
"arias","8","7.89364561999079e-05"
"arribita","22","1.2171715377509e-05"
"artículo","17","0.0134417833573441"
"asumir","6","0.0118344596121396"
"ballena","7","3.87402834358361e-05"
"barrientos","4","0.000520792678634591"
"blanca","21","0.000200804530362369"
"brigadier","7","0.00387998915446613"
"campesino","4","0.000122994029792189"
"caso","17","0.0274863765864408"
"cañito","3","0.0100267674315831"
"colombiano","21","0.0279527772684765"
"cometidos","6","0.022175283956398"
"daladier","23","2.39816379524289e-06"
"daño","13","0.163420465526823"
"defensoría","21","0.00034544625744705"
"dejaron","13","0.0806844447711957"
"derecha","3","0.000730539721552694"
"eduardo","23","4.99316496100865e-05"
"extender","22","1.07791294187093e-06"
"familia","2","0.152003818503992"
"final","17","0.0253482977079407"
"grande","13","0.117893039333253"
"grupos","21","0.00270481713225896"
"haga","17","0.00706693343791269"
"horas","2","0.00421359547557871"
"infantería","7","0.00233144668690899"
"ingreso","13","0.0192615239245017"
"inocente","14","0.0143599410249116"
"internacional","17","0.0091874797427057"
"judicial","20","0.131619912514403"
"jóvenes","18","0.0273012140231806"
"lista","18","0.0382828261878077"
"llevo","22","0.00778808871647246"
"navarro","1","0.000437323958990985"
"noviembre","9","0.00226189403982789"
"oportunidad","20","0.0950594399437522"
"personas","18","0.344881622621942"
"rafael","23","0.00088489820854051"
"respetuoso","20","0.0108665622148759"
"señoras","13","0.129936967622017"
"señores","13","0.379253050469608"
"tenían","18","0.122510741482154"
"abajo","22","2.68442067076592e-05"
"adinael","8","7.43646262008204e-06"
"alfonso","23","0.00399822038463045"
"armando","15","7.17965329650457e-05"
"asesinados","16","0.00385546810884979"
"ataque","6","0.00351530701989751"
"bendiga","13","0.0050506611030236"
"cabo","23","0.000239692101863311"
"carmen","1","0.0451236178165111"
"casa","14","0.00507780534418031"
"cito","20","0.0220299582379595"
"colegas","2","0.0164676312058607"
"comandantes","7","0.0014364671380193"
"cometer","6","0.00570765275053726"
"competencia","7","0.00140073669246952"
"constante","16","0.00278045207707041"
"coraje","6","0.00783359010647655"
"corazón","13","0.0682558218687844"
