"word","cluster","eigen"
"batallón","19","0.18383255561304"
"asesinatos","19","0.0224799239494025"
"combate","19","0.108279140003403"
"crímenes","11","0.0227016258240882"
"artillería","19","0.01695535282607"
"asesinato","11","0.0624165206376078"
"días","20","0.264607147761683"
"audiencia","1","0.40190879590464"
"desaparición","11","0.0271455051280968"
"gutiérrez","19","0.0349452782200642"
"santa","18","0.00531594332226739"
"caribe","14","0.0252408467133452"
"comparecientes","1","0.474777838753232"
"crimen","11","0.0037876718368003"
"efraín","3","0.00204954497233943"
"manuel","3","0.00197321030069179"
"marta","18","0.00641407519520768"
"forzada","11","0.00938807314992544"
"magistrados","1","0.281731030424341"
"saludo","1","0.163460748176995"
"grupo","19","0.0709143159325872"
"homicidio","11","0.00260853991814253"
"integrantes","19","0.114347604346668"
"miembros","19","0.055950781494581"
"pública","19","0.0418427753465732"
"conclusiones","1","0.12842483956645"
"definición","23","0.00312941683508975"
"delitos","11","0.00494418507351568"
"grupos","22","0.0846794317095129"
"justicia","1","0.257536167290412"
"albeiro","20","0.000276234276250067"
"desaparecidas","9","0.0238738569407254"
"cancamo","18","0.0977956744364833"
"desapariciones","12","0.0624691165495926"
"paramilitares","19","0.102676128909158"
"búsqueda","9","0.0553506170547135"
"carlos","20","0.0359972061738413"
"coautor","11","0.014446405360643"
"código","11","0.000652354935594704"
"espitia","3","0.00120219858002558"
"familiares","15","0.141337913505549"
"guerra","11","0.0711638503248116"
"personas","16","0.388833515334275"
"ustedes","16","0.398781967702155"
"arias","20","0.045907845162612"
"leonardo","7","0.000346723773518049"
"país","1","0.106477980040455"
"políticos","5","0.00290562267211305"
"reconocimiento","1","0.410237551118878"
"bajas","19","0.111365975440115"
"comité","20","0.00076661458158279"
"figueroa","19","0.00087638786549751"
"quiero","16","0.377273377521323"
"responsabilidad","1","0.266173502597601"
"acusación","19","0.00511303992281963"
"agentes","19","0.00598566038688047"
"andrés","20","0.0179980105406942"
"artículos","11","0.000690118687155959"
"cáceres","20","0.00193476553481988"
"jesús","20","0.0233825387660817"
"juan","19","0.0163056009189782"
"muertes","19","0.00336489879272244"
"número","19","0.0529573548003196"
"representantes","1","0.120400806555073"
"alex","3","0.00651088439456685"
"caballería","19","0.0107291396945435"
"colombiano","11","0.00125522177628097"
"comandante","19","0.0413772962801388"
"contemplados","11","0.00149406988234713"
"coronel","19","0.0448951838998746"
"derechos","11","0.0975744203606263"
"gustavo","7","0.00145972614073787"
"luis","20","0.00357184697661375"
"observaciones","1","0.186247090252927"
"proceso","1","0.215457060255985"
"señores","1","0.203429696424994"
"abogados","8","0.0799601669491419"
"autoridades","18","0.106158877600083"
"burgos","7","0.00205944892595663"
"caso","1","0.214909655501935"
"comunidades","1","0.0872886060328475"
"daños","23","0.0570997618429743"
"día","16","0.337534365851895"
"ejército","23","0.145628373502765"
"nación","1","0.00371340572581734"
"paz","1","0.29106103766387"
"pueblos","18","0.110567596414351"
"reconozca","11","0.0216785646897541"
"adolfo","20","0.00535803232465211"
"alberto","20","0.00650470615496016"
"aporte","1","0.0143476500946878"
"bloque","23","0.0680039000455731"
"comparecer","19","0.00224895118890062"
"conductas","1","0.0789566527022847"
"constituyeron","11","0.000648281960825761"
"corazón","16","0.149481682938408"
"césar","23","0.0234646750598288"
"diligencia","1","0.133516182492123"
"encuentros","1","0.0576705771075093"
"especial","1","0.218300010277582"
"gómez","20","0.0327473454046833"
"hermano","16","0.271321352166954"
"hernán","19","0.0165336887563924"
"instancia","1","0.022049307692398"
"marco","1","0.20893107291776"
"mejía","19","0.0223239486718797"
"modalidades","19","0.00585072139470175"
"norte","23","0.0166084408098968"
"representación","1","0.093053153448944"
"víctimas","1","1"
"álvaro","20","0.00713056666241505"
"auto","1","0.162923898848913"
"cambia","16","0.0130311576489749"
"ciudad","19","0.00477943969596501"
"compareciente","7","0.00378912243941837"
"corte","11","0.00545619020603498"
"criminal","19","0.0947762370635553"
"daño","18","0.11336475475404"
"derecho","16","0.055970855168829"
"determinación","1","0.0337824220373333"
"encuentro","1","0.128454550922994"
"ever","20","0.00185259038122706"
"guillermo","20","0.00176519243580227"
"hijo","16","0.0980418029978845"
"importante","1","0.168786891997355"
"laines","20","0.0155369085336789"
"mario","20","0.00868040601411645"
"modalidad","19","0.0625319870023539"
"penal","11","0.00345190369423838"
"presentes","1","0.179612033903226"
"sistema","11","0.037876869404227"
"sociedad","13","0.0628121652342422"
"acosta","20","0.00452231412303471"
"armados","2","0.0136369206046675"
"armas","19","0.0706952021986262"
"asesinaron","19","0.0030072234817106"
"blindada","19","0.00531203573085939"
"colectivas","13","0.0540853530435424"
"constituyen","11","0.000648281960825763"
"cordial","1","0.0815608622740212"
"david","20","0.0148986564031483"
"dios","16","0.151816257987071"
"dolor","16","0.137551624302159"
"edgar","16","0.0394605182379935"
"energético","19","0.0127269031782187"
"estatuto","11","0.000433460358465855"
"falsos","4","0.033285622846886"
"familia","16","0.135545950406299"
"flores","20","0.0494095654288359"
"frente","16","0.12256852606657"
"hernández","20","0.00208441449831303"
"hijos","16","0.0254148151300913"
"hugo","11","0.0206110807449702"
"humanos","18","0.0641216198522952"
"indígenas","18","0.149687033956473"
"intervinientes","18","0.000322201197721792"
"jep","1","0.129480400087987"
"llamados","1","0.020396817738617"
"maecha","19","0.000130069436565197"
"mendoza","20","0.0624576829577473"
"presente","1","0.105458137166127"
"público","1","0.134452961423437"
"registro","22","0.0543621834450578"
"actividades","15","0.00041381891550748"
"acusaron","15","0.000437764568709535"
"agente","19","0.009909195161081"
"aportes","1","0.0270057913050676"
"armado","14","0.0689849100389431"
"baja","19","0.0142733542343467"
"casos","19","0.0466716683991802"
"cecilia","15","5.22949872548956e-05"
"cidh","11","0.00525963470732958"
"conflicto","23","0.046237388793362"
"contreras","20","0.0142632182827661"
"creativos","1","0.00452558792951698"
"efectivos","19","0.00476563279911744"
"enrique","20","0.027329126975068"
"ensañaron","16","0.00758869544127169"
"habitan","18","0.0112586927061297"
"iba","16","0.0518636202008328"
"jorge","19","0.00223037591307186"
"martínez","20","0.0177500054345347"
"mis","16","0.183340129532811"
"nora","11","6.02375717309641e-05"
"nuevamente","1","0.0537476582342618"
"ordinaria","1","0.0276773786882717"
"organización","4","0.0127322493989392"
"participación","1","0.112895475379967"
"perdón","16","0.132285517386236"
"pido","16","0.120915172965113"
"popa","19","0.088666798809098"
"principio","11","0.0589920548322109"
"pueblo","18","0.211248319953267"
"repetición","1","0.0675896241367485"
"restaurativo","1","0.0729877170861897"
"acuerdo","1","0.100935559610221"
"alianza","19","0.0173943685933464"
"apoderados","1","0.0901997250469221"
