"word","cluster","eigen"
"justicia","6","0.042702330303917"
"batallón","8","1"
"combate","9","0.54714225488379"
"diligencia","5","0.0956410512056129"
"muertes","9","0.107136493875239"
"brigada","10","0.715190840204817"
"compañía","7","0.56914369774015"
"comandante","10","0.906501740787455"
"área","7","0.352521535690618"
"inteligencia","10","0.569388072182431"
"información","10","0.75592891553581"
"consejo","4","0.000873394303900701"
"derecho","6","0.00189434042857068"
"capitán","7","0.421205126247789"
"pronto","7","0.694768608444151"
"municipio","8","0.0366215022068621"
"bajas","9","0.341847215034964"
"operaciones","10","0.751552405599243"
"especial","6","0.353528487640259"
"profesional","4","0.0380050472380744"
"recuerdo","7","0.652559806132723"
"operación","7","0.626926629297353"
"recuerda","7","0.496971338485448"
"grupos","10","0.182917338336872"
"ciudadanía","4","0.000927620140878643"
"pelotón","7","0.646629414381033"
"juez","6","0.00820907584373696"
"miembros","2","0.000689358626772184"
"preguntas","5","0.143619682229262"
"soldado","7","0.503835853378199"
"acuerdo","7","0.650917148852136"
"cédula","4","0.00350073680247169"
"días","5","0.447212414410496"
"público","5","0.0434428162098139"
"caso","5","0.546056843864401"
"día","5","0.546087187780953"
"batallones","10","0.145800747143625"
"cabo","7","0.224996171276942"
"humanos","6","0.0037251307220608"
"conflicto","16","0.0155230889894655"
"coronel","7","0.562055849711413"
"resultados","9","0.559571355902188"
"búsqueda","16","0.0217476280933376"
"oficiales","8","0.0442916906014214"
"reparación","6","0.00831864462660196"
"misión","10","0.215881717582213"
"hacía","10","0.455901859975258"
"integral","6","0.000980269862026428"
"contribuir","6","0.0136436376912568"
"participación","5","0.0215866066863999"
"sargento","7","0.472983391705719"
"cónyuge","16","3.57123535504355e-05"
"persona","7","0.652569353776317"
"aceptación","2","0.00247420067849912"
"civil","2","0.094192634368619"
"grupo","7","0.489812169765825"
"cuarto","3","0.0121919595583036"
"iba","7","0.575074407891467"
"dónde","7","0.357072122125858"
"personas","7","0.703810199455893"
"compañero","16","0.000373470722817564"
"confesión","5","0.00165477213321535"
"número","4","0.116831144441743"
"disposición","16","0.000428064039790205"
"informes","16","0.0196830619335274"
"puestos","16","0.000823434203533093"
"contenido","16","0.000225269451280596"
"defensor","16","0.00100287974070993"
"conocido","16","0.00971796057046353"
"división","10","0.0922359387285337"
"claro","7","0.474596829574285"
"digo","7","0.506619995440393"
"compareciente","5","0.0460246765809237"
"oficial","7","0.322980814306648"
"víctimas","5","0.304375488746108"
"establecido","6","0.000232525178799263"
"grado","2","0.0753763259647706"
"proceso","6","0.220694175607664"
"completo","16","0.00107686636763811"
"control","10","0.147914873252764"
"detallado","2","5.26269125562599e-05"
"armado","5","0.00728339386241586"
"anticipada","12","5.55318104898336e-09"
"conocimiento","7","0.53822830334038"
"operacionales","9","0.124843357207823"
"condicionada","9","0.00285243882192024"
"sé","7","0.792815259274465"
"bienestar","10","0.000513396563823497"
"conductas","2","0.00320855377949845"
"orden","7","0.694131826101388"
"determinación","16","0.00837351877995299"
"militar","6","0.346620044934229"
"normatividad","18","0.0139164483195812"
"presentación","5","0.0303904939187098"
"soldados","7","0.649292077932607"
"afinidad","3","3.21980472095804e-05"
"cualquiera","6","3.61886186206353e-05"
"libre","2","0.0024455187562314"
"mí","7","0.5158725963709"
"decisiones","6","0.0124200081869258"
"reconocimiento","16","0.0383070080524338"
"autoría","3","0.000984234733412389"
"delta","10","0.0337481485619193"
"b","10","0.145344652942235"
"casanare","8","0.0511281274657849"
"requerimientos","6","0.00654744226261127"
"pregunta","5","0.383765837751128"
"iban","7","0.248105555874881"
"presentes","5","0.0160614224363254"
"audiencia","5","0.0485824762677681"
"artículo","6","0.024803996274545"
"integrantes","2","0.0486007494191616"
"mando","7","0.292502792436315"
"presión","9","0.0626731164708708"
"juzgado","6","0.00821282644669623"
"cuál","7","0.415989322142273"
"infórmenos","4","0.00454052769600616"
"marco","5","0.0325012122898576"
"efectos","18","6.81090154263775e-06"
"pondrá","2","1.47691589120195e-06"
"continuamos","5","0.0151971775813589"
"resultado","9","0.33453955173123"
"duradera","6","0.000963878718045748"
"general","10","0.366678859563915"
"jefe","10","0.150964508871649"
"adelantarse","2","2.25467588163936e-05"
"informaciones","10","0.130657499653434"
"profesionales","7","0.043157776190579"
"representación","5","0.0303723195887923"
"beneficios","6","0.00047660462200593"
"existieron","2","0.000749281849772419"
"acuden","18","0.00098399914105299"
"consanguinidad","3","0.000261230068240527"
"amnistia","2","6.85983087482796e-05"
"baja","7","0.267328396915667"
"berlín","7","0.0269625592525247"
"investigación","6","0.0587456505405328"
"desarrollo","6","0.0568685353270149"
"representante","5","0.0314877951029364"
"corrió","16","0.000420626744026855"
"ejército","10","0.408498170896364"
"escuadra","7","0.0596217460687719"
"ley","16","0.0334985783566937"
"unidad","7","0.558673523099341"
"cumplimiento","6","0.0193010097924862"
"especiales","6","0.108727342790644"
"escuela","6","0.0118133755976571"
"garantías","6","0.000473744218052628"
"circunstancias","2","0.00286071559299968"
"cometidas","6","2.54440174017447e-05"
"arma","7","0.0723265393481541"
"elementos","6","1.1814948493191e-05"
"instrucción","10","0.110922746453819"
"mencionado","9","0.00300314442674067"
"ustedes","7","0.409083257867571"
"detallada","6","0.000276709787359252"
"escuchar","5","0.00107629075150792"
"nación","5","0.000611637313515806"
"representantes","5","0.00841641872291703"
"disponga","6","1.7749593898234e-06"
"comisión","6","0.00091393293203154"
"registro","5","0.0220945894210954"
"repetición","6","0.00769222377802414"
"atribuir","6","1.37520720351302e-05"
"c","10","0.0698609908263961"
"encuentran","5","0.00705601377291857"
"abrigada","10","0.0882403855578002"
"reguladas","16","0.000975165133787996"
"responsabilidades","6","0.00020509421855874"
"satisfacción","6","0.00650888257827437"
"apellido","7","0.100612129393833"
"conjunta","18","0.000647747079278423"
"acusación","7","0.011938844971829"
"indirecta","2","0.00362061832569103"
"intervención","11","0.00666194376610247"
"medidas","6","0.00653000838558065"
"región","7","0.00874702866132406"
"autoidentifica","7","0.0104672788638841"
"bles","2","0.0122508465633511"
"moto","7","0.0747425038080448"
"inmaterial","6","0.000303595559014128"
"pasó","7","0.269440796551624"
"órgano","4","0.00274731953481511"
"advertirá","16","0.000348025310341976"
"anexo","10","0.0430620654968973"
"compañías","10","0.101023034189819"
"satisfacer","6","0.00720296304360118"
"terminada","5","0.000405065279909649"
"esclarecimiento","6","0.00214471296411237"
"exactamente","7","0.108017468889568"
"guía","7","0.132174584352583"
"oportunidad","16","0.0473155198052513"
"pérez","14","0.0576138260076457"
"aprobó","4","0.000352725187052558"
"funciones","10","0.0771154714600566"
"armas","7","0.0922874887458772"
"comando","10","0.1834413474011"
"gustavo","3","6.84741811070818e-05"
"materialización","6","2.65141636817855e-05"
"allí","7","0.146830336304127"
"bogotá","4","0.00248462349963283"
"documento","10","0.133776193835189"
"hacían","10","0.232004286069225"
"perdón","5","0.177856067927049"
"derechos","6","0.0211841737547384"
"permitan","6","0.00139304907685514"
"asimismo","2","1.71367784567109e-05"
"comandantes","10","0.259713790516937"
"determina","2","6.90900781942718e-05"
"escalante","17","0.0198610293863217"
"hubiera","7","0.125405028071441"
"aporte","6","0.0161615755251694"
"estuve","7","0.252285191650943"
"mal","7","0.171367003205087"
"obligación","6","0.000287487065889642"
"permiso","9","0.245606296161595"
"aportar","6","0.000336483228747583"
"gaula","10","0.149803360334425"
"renovamos","5","0.00352730241016777"
"ah","7","0.208319167349578"
"atender","6","0.00651441019301398"
"casa","7","0.0685457268933303"
"causa","2","0.00337986867656434"
"fuerza","18","0.0303110680900609"
"informe","10","0.257142714182087"
"acreditadas","5","0.00650449971784023"
"mañana","5","0.12768938153061"
"portador","4","0.000812167300510716"
"alguien","7","0.179529002408955"
"inmediata","6","0.000200385421041372"
"cambio","6","0.021393323866661"
"cargo","10","0.0758724879939901"
"dolosa","6","4.40139693107268e-06"
"corte","6","0.0148294103078223"
"desaparecidas","7","0.0150404136109415"
"gente","7","0.177515101314307"
"regulares","7","0.0416494480546085"
"aceptar","6","0.000345611756191232"
"autorización","12","1.21488858602739e-05"
"compromisos","6","0.000744295810260215"
"condiciones","6","0.000507357965183207"
"disparó","7","0.0416548126990328"
"rendir","5","0.0040907307946736"
"territorial","15","0.0118724235932895"
"centro","6","0.0240123375468819"
"deber","6","0.000178008438240339"
"democrática","14","8.34494234951662e-05"
"incurrir","6","5.34493285439869e-05"
"sistema","6","0.00169179132066651"
"abogados","5","0.00650449971784023"
"agrupación","6","0.00232350171630665"
"cti","13","0.00177774842682069"
"directa","16","0.0217659472099123"
"evaluadas","6","0.0084674467518221"
"fuente","10","0.0161541898070228"
"ituango","8","0.000644967595268161"
"saludo","5","0.0162730852661625"
"abogado","4","0.0110642210225374"
"alejandro","4","8.38285440249332e-05"
"comparecientes","5","0.00652595273734135"
"estable","12","0.000140913109004455"
"guías","10","0.0512550461038238"
"henry","10","0.00142269661871354"
"incumpla","6","0.0161650320392767"
"infantería","8","0.0434765833235452"
"beneficiario","12","2.53715486822162e-12"
"acopio","6","0.00381886674696336"
"acto","6","0.00767556118413404"
"base","10","0.0535848389533671"
"ejecutivo","10","0.0786360120342686"
"ofrecer","5","0.00651715025520173"
"brasil","7","0.0327935804065006"
"dispuesto","6","3.7185246221565e-05"
"paz","6","0.0326843147623829"
"asesoría","6","3.61535556402723e-05"
"colombiana","6","0.000591976886669577"
"final","6","0.000571451128279422"
"proteger","5","0.00867986101979409"
"étnico","17","0.000194138232282826"
"camilo","5","0.00956485420585658"
"casos","9","0.125722099744601"
"dispuestas","6","0.00113742767644524"
"importante","9","0.0136536050180285"
"negro","1","0.000414356288363683"
"autónomo","5","0.000139064570793663"
"curso","6","0.0747611888023593"
"darle","5","0.00741053877342958"
"jurídica","16","0.0015603843247226"
"otorguen","12","0.0039050471105316"
"participaron","2","0.00398239064018216"
"amable","5","0.00955692271848521"
"declaración","6","0.00853649348624071"
"entender","6","0.00695720519940846"
"firma","10","0.0744949602238343"
"miembro","17","0.000190787280748355"
"pido","5","0.0103052812735872"
"forma","7","0.215480591619419"
"misiones","10","0.0402738355240921"
"muerte","9","0.146394077131674"
"obligado","16","0.000819383371142544"
"apoderados","5","0.00650449971784024"
"copia","6","0.00381886674696335"
"código","6","0.00481921790252893"
"logro","12","0.00650751102890714"
"campesinos","7","0.040746463772985"
"capera","17","0.0107565208074785"
"circuito","6","0.000175507980374082"
"continuación","5","0.00393236769007741"
"operacional","9","0.143287457828095"
"adoptar","12","8.64621103846906e-05"
"apoyo","9","0.0330624072319588"
"comprometida","6","0.0141278222326528"
"daban","9","0.0669556331074676"
"extracto","8","0.00216751648052776"
"pelotones","10","0.165369193711333"
"propósito","5","0.0314097301620605"
"quiero","5","0.216211964526737"
"auxiliar","1","0.000698782735054827"
"busca","15","5.42681186368537e-06"
"suspende","5","0.00352730241016776"
"abstenerse","6","0.000312220987026382"
"aducir","2","0.00582426279644843"
"armados","16","0.00170929708879131"
"carecen","16","0.000349381639305825"
"formación","6","0.00748687125100233"
"negar","16","0.000826086479165788"
"nivel","10","0.129918000877659"
"señores","5","0.0160614224363254"
"cometer","6","0.00046327527572136"
"establecidos","6","0.000583510364121209"
"hora","5","0.0522859643921192"
"medalla","5","0.000928372343459703"
"notificará","16","0.00119355670258438"
"agentes","18","0.00795301703678851"
"declarar","16","0.0158576425520355"
"magdalena","10","0.0779667081470057"
"movilidad","4","0.00392093210977676"
"respuesta","5","0.0554763317670515"
"adscrito","4","3.99223085565283e-07"
"anza","8","0.0213699852922976"
"derivadas","6","0.000642538226696067"
"horas","5","0.0170156935232457"
"receso","5","0.0199279964931319"
"auto","5","0.00422185283878386"
"capturas","9","0.0332452288411742"
"especializado","6","0.00080181058147695"
"fuerzas","10","0.0320509414769132"
"alias","7","0.013945397492404"
"colombia","2","0.00066682283899797"
"comunicación","10","0.0583427492646701"
"contribución","6","4.58324844992736e-05"
"coral","17","0.0297094436837745"
"edgar","5","0.00288865654748007"
"enemigo","10","0.0728106409259549"
"felicitaciones","8","0.0354955334184462"
"reanudamos","5","0.00352730241016777"
"óscar","8","1.67318121021962e-05"
"convocado","4","0.00249782053377029"
"das","10","0.030191617042467"
"gonzález","7","0.0107669647764243"
"presidir","5","0.00221059787485967"
"seguridad","7","0.182648671167368"
"absoluta","6","0.00236068696252822"
"aplicando","15","5.42929129217742e-06"
"azteca","7","0.0459291718875398"
"correspondan","6","0.000412462295391914"
"huila","9","0.0263851128006781"
"legislativo","6","0.0017400688729053"
"noche","5","0.0701801071079963"
"omega","1","0.000414356288363682"
"común","10","0.0167927038059411"
"entenderse","6","0.000165114335600748"
"instalar","5","0.0143979469274324"
"realmente","10","0.12746302493245"
"época","7","0.241169910363101"
"acosta","10","0.0120415282476001"
"breve","6","0.000630032892527888"
"delincuente","8","0.000457093759140209"
"itango","8","0.000644967595268163"
"obtención","9","0.00266790070737222"
"programa","10","0.139946646781491"
"sabía","7","0.21331276965356"
"situación","7","0.409313742694842"
"comprometió","6","0.000164382709001431"
"obligaciones","11","0.0240742054019674"
"tenían","7","0.389443010295377"
"análisis","10","0.028322004535171"
"calidad","5","0.00650449971784024"
"disciplinaria","6","0.00205720426951458"
"expectativas","10","0.000684928147965919"
"fabián","1","3.1955522716732e-07"
"hablando","9","0.123328076245299"
"personal","7","0.260668434479603"
"rendirla","16","0.000840611961372307"
"almario","7","0.0107669647764243"
"canadá","7","0.0460537807238394"
"gravedad","6","0.00134991110293394"
"integrante","10","0.0121678147281482"
"presente","5","0.0323510956604213"
"suárez","9","0.0136448737001931"
"agregado","8","0.0366536030286605"
"andrés","5","0.000245156325512428"
"cadetes","6","0.000252451662774314"
"fuentes","10","0.0161541898070228"
"garcía","5","0.0114667541921109"
"buscar","6","0.015574505263686"
"delitos","6","0.0139865593088483"
"completa","6","1.62048490170936e-06"
"consanguineidad","3","0.000261230068240533"
"david","8","0.00181575625204571"
"fragmentaria","7","0.0148335869147023"
"hacerle","5","0.00306915049692378"
"llegar","10","0.108486777719705"
"presencia","16","0.0464873020925272"
"condicionalidad","6","1.37310324542268e-05"
"consagrados","6","4.73091531936479e-05"
"distinguidos","5","0.000928372343459703"
"fundamental","6","3.11333862964767e-05"
"gobierno","4","0.0164980977294543"
"identificado","4","0.00251650306716974"
"indicado","16","0.00141041455541151"
"informantes","10","0.0654990397569439"
"llamado","6","0.00432911299164471"
"marcos","8","0.000713679761766422"
"nombres","7","0.0770950975490233"
"programas","10","0.15001341094849"
"víctima","7","0.129423554931237"
"órdenes","10","0.133045780746163"
"catapulta","7","0.0259810535248006"
"celular","10","0.00231721736793944"
"imagino","8","0.0576843645905722"
"intervinientes","5","0.00204478166086851"
"lópez","8","0.0441868779949053"
"cuándo","8","0.0300995851962834"
"departamento","8","0.0260677964051418"
"documentos","10","0.11434215491794"
"individual","15","0.000253829435452658"
"informante","8","0.0514695725917245"
"llegué","7","0.149290916996727"
"octavo","6","3.66225549906426e-06"
"penal","6","0.0375204086717811"
"plena","6","0.0129112659663616"
"rodríguez","5","0.135173539334219"
"santa","8","0.0301810032363773"
"sección","7","0.362556594822176"
"analista","10","0.028322004535171"
"impuestas","6","3.61535556402714e-05"
"ordinaria","6","0.015100144867003"
"podía","7","0.126630076032006"
"previa","9","0.00223716725594792"
"subteniente","7","0.038883276509008"
"versión","5","0.165058719597674"
"cauca","8","0.000644967595268161"
"continuar","5","0.0070015181870012"
"estipulado","2","3.47476899808032e-05"
"familiares","5","0.00650449971784024"
"hablar","7","0.11984071420751"
"jesús","9","0.000291723973704954"
"levantamiento","13","0.0831890337080136"
"partida","3","1.3758333507255e-05"
"perfecto","5","0.00306915049692378"
"punto","7","0.211390442246759"
"radio","10","0.108433269197178"
"servicio","8","0.0321516329565797"
"actividades","10","0.0338966598537967"
"armonización","15","5.42433130236671e-06"
"casado","7","0.00888968569593322"
"ciudad","4","0.00257149053238335"
"conmigo","7","0.0246423269322495"
"conozco","7","0.0169424504302044"
"cuánto","7","0.0644202216318138"
"definidos","5","0.0125394885891612"
"inciso","6","0.000805974599383306"
"magistrados","5","0.0160614224363254"
"sector","7","0.229996169750941"
"constitucional","6","0.00149789740611644"
"defensa","5","0.00650747152567276"
"despacho","4","0.0117583867598818"
"funcionarios","11","0.000157444048262244"
"fundación","4","0.000236550267416459"
"guerrilla","8","0.0891248657736832"
"intendencia","1","4.21647619029376e-05"
"adicionalmente","6","0.000317688058176493"
"ausencia","2","0.00244439411988409"
"cuántas","8","0.021379748916316"
"guerrero","5","0.000371150810957957"
"jueces","10","0.000794868602944722"
"llega","7","0.153387355647522"
"nacional","2","0.0312037107128157"
"plana","8","0.0430704311204043"
"trasladado","8","0.0500010525122931"
"amado","9","6.2341370274756e-06"
"comillas","16","0.00227679965316529"
"cooperantes","10","0.0179372214825551"
"política","14","0.00390498272945707"
"rita","8","0.00064496759526816"
"ahorita","7","0.0169424504302044"
"desaparición","7","0.0139453974924041"
"dinero","3","0.030113345632934"
"judicial","11","0.00736753189619651"
"llevaron","7","0.0169424504302044"
"ocurre","8","0.000556140903359453"
"pago","9","0.037248692599615"
"administrativa","9","0.0244320361586547"
"argos","7","0.0104672788638841"
"disparos","7","0.0406782330430067"
"fueran","7","0.0150404136109415"
"objetivo","6","0.0209927934558119"
"pasar","10","0.0944113537694132"
"teniente","7","0.491820660811146"
"camioneta","7","0.0122893316386174"
"carepa","10","0.0152906005908281"
"constitutivos","9","0.00087672561303831"
"construcción","15","0.000253945512337277"
"daba","10","0.163054099978838"
"encargado","10","0.094981283471198"
"felicitación","8","0.00216751648052777"
"hojas","9","0.000876725613038312"
"indígena","8","0.00045709375914021"
"llegaron","7","0.0533528493334435"
"muertos","9","0.0397111174393287"
"procuradora","5","0.011221606705674"
"énfasis","5","0.000170566445810601"
"actual","7","0.00874702866132406"
"agosto","5","0.00204384785760383"
"antecedentes","7","0.0150404136109415"
"autodefensas","8","0.00109260733196653"
"capacitación","6","7.96059887423215e-05"
"captura","7","0.0139453974924041"
"causales","6","2.23283689788767e-05"
"damos","5","0.00204384785760382"
"explicación","11","0.000514465415363786"
"frente","10","0.0942884516078392"
"masacre","5","0.00650449971784023"
"militares","10","0.0371955615351418"
"particular","8","0.035296194124099"
"campaña","10","0.0160606638540467"
"conformidad","6","3.7185246221565e-05"
"hernán","15","0.000256794841871732"
"llama","10","0.10119646090913"
"salir","9","0.104687355903528"
"carlos","5","0.00682414066066984"
"combates","9","0.0450204388775796"
"declaraciones","6","0.000801810581476949"
"escuchaba","10","0.0420268791966547"
"fidel","5","0.00288865654748007"
"fiscal","6","7.96059887423186e-05"
"fusil","7","0.0123125818585372"
"población","2","0.0215469536946872"
"procuraduría","5","0.0160818373102195"
"acuerda","7","0.0139100898974745"
"afirmativo","4","5.05507573557059e-06"
"colegas","5","0.00650449971784023"
"consagrado","6","0.00481921790252893"
"encontraba","8","0.0646680233595097"
"escenarios","6","0.000698463325760941"
"generales","5","0.00306915049692379"
"gerardo","1","3.19409293887252e-07"
"informar","6","0.000634944329706226"
"infracciones","6","1.70195605153605e-06"
"interno","16","0.000471274366554325"
"menor","7","0.011938844971829"
"policía","10","0.0874877769789519"
"dirección","10","0.00872959990398578"
"escuchó","8","0.0407605285265552"
"febrero","5","0.00233797761593205"
"mire","7","0.125666461872929"
"pienso","7","0.0148471949440016"
"queda","8","0.0383124357225021"
"relación","2","0.158159616412209"
"sacaron","7","0.0169424504302044"
"traslado","9","0.0333944604358578"
"antioquia","8","0.000456884919894683"
"bravo","7","0.0121625924499109"
"condicionalidades","6","0.000412462295391912"
"cuerpo","13","0.00177774842682069"
"escrito","16","0.00101113196233563"
"permisos","9","0.0172066345822898"
"podían","7","0.0083223914022003"
"sitio","7","0.194142313281465"
"agregados","10","0.0152836177363629"
"azul","8","0.000782600963542478"
"carpeta","10","0.00244349016888598"
"carro","7","0.0319828640411459"
"competencia","8","0.0333280169379184"
"corregimiento","8","0.000556140903359452"
"far","6","1.21433352163807e-05"
"muchacho","7","0.0308876438896053"
"quiénes","7","0.108962029135128"
"vi","7","0.0567851651012244"
"actores","5","0.000155646019717831"
"ciclo","10","0.0161541898070228"
"contacto","2","0.0870242382111764"
"hayan","7","0.0254674651381291"
"ingresé","6","0.00740726526226001"
"intereclesial","6","0.000698463325760942"
"magistratura","5","0.00990467831128339"
"muerta","7","0.013945397492404"
"íbamos","7","0.0256867444860515"
"abajo","10","0.0193719288680701"
"asistentes","5","0.011600770576089"
"boletín","10","0.0161541898070228"
"bonilla","7","0.0107669647764243"
"conocía","8","0.0259284760424535"
"cuadros","7","0.0138753621558252"
"dando","9","0.0119580316456208"
"desapariciones","9","0.000620490360315028"
"entrenamiento","8","0.0379437924465549"
"asignado","8","0.0213699852922976"
"bandas","8","0.000687079923405454"
"civiles","7","0.0150404136109415"
"correcto","8","0.0679449202212201"
"céspedes","1","6.82889049711803e-09"
"desconozco","7","0.0169424504302044"
"exigencia","9","0.0119580316456208"
"hombres","8","0.0351884463671873"
"jiménez","7","0.0101076481242522"
"junio","8","0.0224385070490847"
"llegamos","5","0.0345396083201985"
"movimiento","7","0.0148335869147023"
"muertas","7","0.0150404136109415"
"normal","8","0.0545603752352574"
"paramilitares","10","0.0237700135149273"
"plata","8","0.0383124357225021"
"armamento","7","0.0150404136109415"
"conforme","6","0.000533286674829152"
"cursos","6","7.96059887423186e-05"
"cuáles","10","0.0193977737013916"
"datos","10","0.0161541898070228"
"determinante","6","0.00059023160871424"
"exigía","9","0.0119580316456208"
"ilegítimamente","9","0.0334153180388656"
"indirectamente","2","8.51036294088658e-05"
"investigaciones","6","0.0230843440443161"
"llevaba","8","0.0456173485765359"
"miedo","7","0.0148471949440016"
"mirar","7","0.0148471949440016"
"montoya","10","0.0165730902769362"
"palomino","7","0.0101076481242522"
"problema","7","0.0169424504302044"
"sociedad","5","0.00760253639071394"
"presentadas","9","0.0290356007188588"
"voluntaria","5","0.0189548693819484"
"judicatura","4","1.86729548201873e-05"
"humanitario","6","4.048202709715e-05"
"vereda","8","0.0260243933607156"
"superior","4","0.0744044081908684"
"tarjeta","4","0.00284642042510182"
"salí","6","0.0513022962938811"
"pública","2","0.00105455326552546"
"unidades","10","0.377502433806875"
"legítimamente","9","0.00761070987114538"
"internacional","6","7.96423595180981e-05"
"contraguerrillas","10","0.0681881243466415"
"tarde","5","0.0194854023728128"
"permanente","6","0.000851762072430868"
"previamente","16","0.000442058269335759"
"vigente","5","0.00650946877749125"
"pariente","16","0.00161877204110827"
"responsabilidad","2","0.114384454946964"
"exhaustivo","2","2.44890723930339e-05"
"voluntario","16","0.000841632817110615"
"transitoria","12","1.18725591653545e-10"
"grabada","6","0.000562037485431499"
"libertad","5","0.0287913893040486"
"plan","10","0.0240241889173667"
"táctica","10","0.119184251204863"
"trasladada","18","0.000297539844776243"
"identificada","4","1.98232287674084e-05"
"practicará","16","0.0016994107884125"
"tácticas","10","0.0582643467662611"
"señala","16","0.00152349399757312"
"procederemos","18","2.1173596037713e-05"
"reconozca","2","5.13385575158549e-07"
"toma","6","0.0240881601549016"
"estudios","7","0.00888968569593322"
"participó","2","0.0350452106927182"
"tratamientos","6","5.08987709073897e-05"
"comparece","5","0.0116692267221407"
"renuncias","6","0.00233362562327874"
"servicios","8","0.0364560238697743"
"relatar","6","0.000276166049081605"
"exhaustiva","6","7.58299493213976e-05"
"suficientes","6","0.00279653170635639"
"necesarias","6","1.98246148927748e-05"
"versiones","5","0.00100388555292321"
"torres","10","0.0545329966879104"
"voluntarias","16","0.0121338879482546"
"permito","5","0.013545778783886"
"recompensa","10","0.0161541898070228"
"tuve","7","0.142242766742728"
"virtud","4","0.0117285853492434"
"verificado","5","0.0116692267221407"
"ilegales","10","0.00390894082996518"
"manejaba","10","0.052909728888516"
"prestar","6","0.00740726526226001"
"ramón","14","0.00123120661441637"
"vertical","4","7.53773205952915e-06"
"soto","3","0.00320275889932656"
"restaurativa","6","0.00124015318353738"
"sugerir","6","0.0140878592107968"
"contraguerrilla","8","0.0529045066102787"
"william","17","0.000654296597327682"
"suboficiales","8","0.0148218749325485"
"estatutaria","6","0.000530061035577225"
"panza","8","0.0407419141603678"
"vacaciones","9","0.0555474398155219"
"venía","8","0.0544666255295248"
"garantizar","6","0.000623698150661101"
"órganos","6","0.000160161202546676"
"rápido","18","0.000647747079278422"
"rillas","8","0.0213699852922976"
"presentar","9","0.0143603226470334"
"residencia","6","0.00168473265411768"
"falsa","6","8.67408035337549e-07"
"país","12","2.59740183536829e-07"
"recibió","10","0.0693599346907415"
"sentencia","6","0.0003169042801716"
"tratamiento","6","0.000948701726181807"
"implica","6","1.11897558537371e-05"
"justo","8","0.0213699852922976"
"perderá","6","0.00756574081353445"
"violaciones","6","7.96059887423158e-05"
"urabá","15","0.00900074217889657"
"parágrafo","6","0.000540246069339723"
"tarea","1","0.0193896384436463"
"pérdida","6","0.00250114016518576"
"ocasión","16","0.000465137971748742"
"arteaga","4","1.79141475288114e-06"
"terreno","10","0.0199805523590717"
"cuarta","8","0.0366536030286605"
"oro","18","0.000647747079278425"
"salgo","8","0.0213699852922976"
"oficina","10","0.0682729526136212"
"prácticamente","8","0.0407419141603677"
"secretario","6","0.000457175016383896"
"procedimiento","6","0.0294821397352566"
"verificar","10","0.0161541898070228"
"único","16","0.0662355597104549"
"pertenece","17","0.00873367702536931"
"ramon","14","0.00123120661441637"
"presentada","9","0.0148208612148445"
