"word","cluster","eigen"
"batallón","15","1"
"área","16","0.475595370762146"
"compañía","16","0.509128250320948"
"información","2","0.799958216840439"
"comandante","4","0.859655113016602"
"inteligencia","2","0.68232403729057"
"justicia","20","0.0575866451926662"
"brigada","16","0.607809574402219"
"diligencia","12","0.0793753430111576"
"muertes","16","0.117500819657142"
"combate","16","0.492268131592751"
"municipio","15","0.131924006552323"
"operaciones","2","0.765572865345684"
"pelotón","11","0.703721375184783"
"derecho","13","0.00255816252751954"
"operación","16","0.600074194182081"
"pronto","16","0.634507253026709"
"recuerda","16","0.494056949750996"
"resultados","16","0.546760702381974"
"misión","16","0.350349721320443"
"bajas","16","0.340349591944838"
"batallones","16","0.198945831096242"
"días","12","0.452282330957249"
"cabo","11","0.255006785724736"
"decisiones","13","0.0504483689119331"
"recuerdo","11","0.67972455448596"
"especial","16","0.344505004200903"
"acuerdo","11","0.570198848867352"
"grupos","2","0.111865674362004"
"soldado","11","0.495891839245671"
"bienestar","16","0.00154030587879781"
"integrantes","2","0.147345365134527"
"capitán","11","0.334326178381168"
"berlín","16","0.137803132266015"
"oficial","16","0.400430886288254"
"orden","11","0.610615077424756"
"dónde","11","0.375500857029182"
"proceso","13","0.304709354807472"
"búsqueda","20","0.0234894769583068"
"humanos","13","0.0152949303516665"
"columna","1","0.000501479797359455"
"conflicto","20","0.00241149036398259"
"control","16","0.267752671233469"
"hacía","16","0.489746553741131"
"participación","2","0.0329213713391447"
"preguntas","12","0.197017964768671"
"contribuir","20","0.0123396185909365"
"aceptación","2","0.00263999374061821"
"cuarto","20","0.0172636266721"
"civil","11","0.174748189832715"
"cónyuge","20","0.000357809701610688"
"grupo","16","0.385298590783563"
"persona","11","0.618237608760408"
"compañero","13","0.0140898338563123"
"miembros","20","0.0403134942690349"
"claro","16","0.462918738401074"
"oficiales","16","0.163800052875764"
"coronel","16","0.556931165298993"
"disposición","20","0.026460404220327"
"confesión","12","0.000675828500365641"
"día","11","0.565034469797364"
"conjunta","4","0.00138029337000168"
"contenido","12","0.00615982849915173"
"defensor","2","0.00203787796531486"
"puestos","20","0.000806429088112339"
"informes","2","0.0732545722805522"
"presentación","12","0.0534566891600794"
"conocido","12","0.0133865746338504"
"iba","11","0.534482551634607"
"víctimas","12","0.242663052851221"
"cédula","13","0.0121587931422672"
"efectos","20","2.01558244561915e-06"
"reparación","20","0.00544336443465867"
"caso","12","0.447104939600458"
"compareciente","12","0.0289398106959709"
"división","16","0.132319681750418"
"completo","19","0.00948445208728105"
"detallado","19","0.000291124242414704"
"establecido","20","0.00143171082588116"
"grado","13","0.0705683296105538"
"desarrollo","16","0.192426562597287"
"juez","13","0.00583445134618361"
"militar","13","0.38452142677263"
"acuden","12","0.000410204087552992"
"libre","19","0.00175791535770692"
"mencionado","15","0.0481769929805432"
"renovamos","12","0.00285518649749822"
"informaciones","2","0.269831343078542"
"infórmenos","12","0.00332279171105534"
"jefe","16","0.273534033004992"
"cuál","16","0.358024161740236"
"operacionales","16","0.218214836517549"
"personas","11","0.633574269778476"
"presión","16","0.0617407780022808"
"soldados","11","0.591115631553085"
"reconocimiento","20","0.0572762214686393"
"consejo","13","0.000413659722701622"
"mando","16","0.322570374804845"
"normatividad","20","0.00725058657658062"
"público","12","0.037843402148194"
"general","16","0.414905747432745"
"moto","11","0.136731313429149"
"sargento","11","0.457806914463182"
"agrupación","4","0.012142916653481"
"fuerza","4","0.108577878055708"
"compañías","16","0.116288849288404"
"conocimiento","16","0.465102794537533"
"profesionales","16","0.060532214158449"
"conductas","20","0.00123291793643187"
