"word","cluster","eigen"
"batallón","4","0.0441409532729871"
"municipio","7","0.0895660966684453"
"antioquia","7","0.256789815027861"
"asesinatos","6","0.158830647083879"
"jorge","4","0.00540929055181054"
"desaparecidas","18","0.0449594315141004"
"colega","5","0.00147532554816382"
"combate","6","0.0388594600351057"
"búsqueda","18","0.00361226499356636"
"eduardo","4","0.00433293031175596"
"justicia","17","0.517257012694069"
"querido","19","0.0736001410964616"
"representantes","1","0.100295550747677"
"bajes","4","0.000383063680488679"
"caso","6","0.409491591425996"
"cuarta","4","0.045519435397492"
"días","1","0.401510753502007"
"extrajudiciales","6","0.112523837612542"
"hijos","10","0.233831793432378"
"jesús","15","0.00954925517437791"
"ustedes","17","0.970626364143609"
"catalina","1","0.100305872090174"
"compartir","19","0.110992599451312"
"corporación","3","1.98506112512631e-07"
"definición","17","0.00144245140452354"
"derecho","1","0.104618466115339"
"díaz","5","0.0015920257375331"
"miembros","4","0.0431417053626922"
"nacional","4","0.101257661271474"
"personas","18","0.559556766733041"
"procurador","1","0.171681495564179"
"testimonio","19","0.288559166481782"
"audiencia","19","0.463414983263368"
"completa","17","0.000554842192249989"
"departamento","1","0.105167542151925"
"energético","4","0.0046711918264697"
"especial","17","0.223442478755649"
"observaciones","11","0.0466650519546929"
"agentes","6","0.0116201694793249"
"ana","7","0.0010740413569984"
"artillería","4","0.00786306235117747"
"colombia","1","0.130721587321428"
"defensoras","14","3.82198980019902e-06"
"desapariciones","6","0.0377214971618482"
"dolor","18","0.325792094402059"
"doña","19","0.307575880993752"
"garcía","15","0.00129244771943478"
"marco","11","0.0246230300028942"
"presentación","19","0.116828699751157"
"agrupación","13","5.57281961595926e-05"
"asesinado","7","0.0440458074099866"
"bajas","6","0.0862069050116055"
"brigada","4","0.170607962849561"
"camino","17","0.0412941407060477"
"coronel","4","0.00460807386805071"
"derechos","1","0.0905033379398471"
"gómez","15","0.0260639590609993"
"infantería","4","0.00850230294870829"
"muertes","6","0.00463324520600261"
"quiero","17","0.409771687131837"
"álvaro","15","0.000166158062085951"
"abogados","1","0.0798329257847512"
"ambulante","18","0.0490642967757899"
"antioqueño","2","0.123464065934765"
"berrío","4","0.00110865935008483"
"caballería","4","0.00464122621934205"
"don","19","0.06457224360583"
"día","18","0.472026665194389"
"ejército","7","0.336970304222884"
"esclarezca","8","0.00906562683360247"
