"word","cluster","eigen"
"muertes","3","0.109476781642359"
"coronel","11","0.557408995477427"
"combate","3","0.313179839981819"
"diligencia","14","0.0425887677836733"
"justicia","19","0.0178279595835814"
"delta","12","0.399054999474099"
"batallón","12","0.840180595502476"
"brigada","12","1"
"información","11","0.67496447927116"
"comandante","12","0.914521984827031"
"conflicto","4","8.5551578953244e-05"
"área","12","0.158114429155749"
"derecho","19","0.00245341329979995"
"armado","16","0.000780883509186295"
"bajas","18","0.063301343123531"
"inteligencia","11","0.2442123087635"
"humanos","4","0.0230969550845299"
"operaciones","11","0.766445597224442"
"recuerdo","11","0.493489241171675"
"manuel","12","0.0128224410069073"
"causa","10","0.0135535105122177"
"indirecta","10","0.0135984624426505"
"directa","4","8.56584743035364e-05"
"día","14","0.0958848335195619"
"persona","11","0.399112821280861"
"iba","11","0.209191309905038"
"abogado","13","0.00178832645874308"
"albeiro","13","5.90695067692218e-06"
"escuela","9","0.00603021813335741"
"cabo","11","0.043575089191841"
"municipio","7","0.00235028390076166"
"operación","11","0.565353865668946"
"resultados","12","0.373060687526914"
"escobar","15","0.048207267076514"
"especial","12","0.355373379683951"
"misión","11","0.260129258777203"
"beneficios","19","0.00159097740570537"
"caso","3","0.35955134383451"
"cualquiera","19","0.000146411121808163"
"garantías","6","0.00284024917543957"
"grupo","12","0.46149162639245"
"gustavo","14","0.00201676922327095"
"búsqueda","11","0.0386009531945509"
"casanare","12","0.101416928227957"
"especiales","6","0.106645440736492"
"jairo","17","0.00300089725061719"
"militar","9","0.120981576651538"
"rivera","11","0.0214905833239759"
"soldado","11","0.268451461103966"
"acuerdo","11","0.408984115946086"
"b","11","0.0525673591160778"
"batallones","12","0.0571896068312114"
"contribuir","19","0.00339602085373525"
"escalante","12","0.102935193753337"
"oficiales","11","0.0267318173511636"
"pérez","12","0.048207267076514"
"conocimiento","3","0.423137478847249"
"digo","11","0.325322482150644"
"integral","8","8.76922277554908e-05"
"rendir","16","0.00208453856241547"
"reunión","12","0.034271086599721"
"capturas","3","0.0277917449404171"
"control","12","0.158114429155749"
"grande","7","0.000135298291301282"
"grupos","12","0.172580067207308"
"guillermo","12","0.0338210228396123"
"mando","12","0.185652505520009"
"orden","11","0.567486439997869"
"personas","11","0.22480631081574"
"preguntas","19","0.019462489279958"
"terminada","14","0.000147530345856891"
"traslado","4","0.0197524506537864"
"aceptación","15","0.000115340743330111"
"audiencia","19","0.00140243271991077"
"autoría","14","0.000276969528105602"
"compañero","15","1.25424883398284e-09"
"completo","10","7.52552002277972e-05"
"cuarto","19","4.68122581676579e-08"
"cumplimiento","2","0.0414559063870511"
"curso","9","0.0563583573839143"
"cónyuge","19","4.69658671281653e-08"
"días","14","0.106724862852234"
"escuchar","14","0.00237103371820092"
"espitia","11","0.0438327223627788"
"establecido","6","0.000133446525212684"
"función","11","0.0438327223627789"
"gaula","12","0.397331824206877"
"grado","15","3.8097747911923e-07"
"plata","11","0.0214905833239759"
"puestos","16","0.00135077002158724"
"soldados","11","0.46742439461176"
"sé","11","0.661289903657369"
"afinidad","14","1.58397784165788e-05"
"artículo","4","0.00126762358679753"
"breve","4","0.00117027586425378"
"civil","15","6.63979617173774e-06"
"claro","11","0.0984084762727833"
"compareciente","14","0.00482716480671819"
"confesión","14","0.0024995670297497"
"conocido","16","0.0152555612708751"
"contenido","16","0.000949709557524753"
"das","11","0.0386009531945509"
"detallado","10","0.000105984453912241"
"documentos","11","0.00485537119872483"
"hacía","12","0.27281487939928"
"ofrecer","19","0.001863729830834"
"participación","15","0.00201017321795753"
"pronto","11","0.260069390086001"
"satisfacer","19","0.00185253909497703"
"época","12","0.126743275344037"
"abogados","19","0.0017765513233289"
"acopio","14","0.00219779402361058"
"adoptar","10","6.01544689861948e-06"
"aducir","10","0.015345679957041"
"alberto","11","0.0338116778585697"
"asimismo","10","1.06523361336823e-05"
"baja","11","0.0938803849104209"
"busca","14","4.63147849667994e-07"
"capitán","12","0.107502142147794"
"carecen","16","7.9295848035996e-05"
"cometidos","4","2.81078294768378e-07"
"conductas","10","0.00198311947708576"
"construcción","14","8.09846185940894e-06"
"cuál","12","0.0925876453043957"
"darle","16","0.0014156704461976"
"decisiones","19","0.00141139461007091"
"declaración","16","0.00138520050467746"
"división","12","0.124824200090254"
"documento","11","0.0720049875309663"
"dónde","11","0.0764198627861655"
"ejército","12","0.260977211144688"
