"word","cluster","eigen"
"combate","1","0.293866928699959"
"muertes","1","0.00567927057759286"
"bajas","1","0.00810107019303049"
"cancamo","2","0.415420408034767"
"observaciones","3","0.266326680983109"
"alvear","4","0.00313417784313348"
"batallón","3","0.0551785371328174"
"día","2","0.685505432467194"
"comparecientes","3","0.24784436660148"
"creencias","5","0.00135121009176905"
"maestre","6","0.0211461845579552"
"personas","7","0.407486327796225"
"arias","8","0.234364397018402"
"autoridades","2","0.619162800747968"
"carro","9","0.00470679628900413"
"comisión","6","0.0574854508193468"
"coordinadora","10","0.00410599550696416"
"ejército","11","0.199216171952237"
"familiar","8","0.174106661361079"
"armado","12","0.00495733106043678"
"armas","3","0.140354865663135"
"audiencia","3","0.322970676549825"
"avance","13","0.0600850387135915"
"burra","14","0.00199909840604157"
"buscamos","5","0.00140553688740881"
"canama","10","0.00402814755051981"
"carrillo","15","0.056411114244307"
"caso","1","0.117211996897542"
"casos","11","0.221654121765688"
"colectivo","4","0.0227619393958949"
"corazón","2","0.0790771678755937"
"corte","6","0.0311458958523049"
"cuerpo","2","0.171967743143779"
"cuidado","5","0.0285056374711984"
"culpa","9","0.0189619481531713"
"derecho","7","0.213146772486845"
"dios","5","0.0882030578552578"
"documentos","13","0.0839968110830309"
"días","13","0.0840281951142897"
"entorno","8","0.00422239657649444"
"escuchar","9","0.156655744302137"
"estuve","16","0.000221003575662936"
"ever","11","0.00474747739045508"
"familia","6","0.36598646131868"
"fueran","15","0.0202489410576207"
"hermano","13","0.598460272012451"
"hijo","9","0.0147647247733988"
"hijos","15","0.144214638548856"
"hugo","6","0.00721243982170101"
"importante","2","0.258934420112967"
"justicia","5","0.0699167180488272"
"mira","9","0.0286338804379285"
"mundo","2","0.0806355296590276"
"papá","17","0.0806130748864112"
"presentación","3","0.0542155034033931"
"procesos","3","0.137693796148966"
"pueblo","2","0.83441549847064"
"quieren","2","0.0164436999864152"
"quiero","9","0.207953308273602"
"reparación","5","0.00981315156935043"
"sé","9","0.0341830672161293"
"tito","15","5.60289399685068e-05"
"trabajando","15","0.00355010887490332"
"abelardo","6","0.000408671041411957"
"abuelos","11","0.00385005059587428"
"acercó","13","0.0117937660371818"
"aclararan","2","0.114893837549954"
"acompañan","13","0.00162392841655233"
"acreditación","12","0.00476568456108883"
"agenda","2","0.0852548764692137"
"agricultor","15","0.000407384510261417"
"ah","2","0.0775778978666322"
"amenazas","14","0.00188319471307376"
"amigo","13","0.0824042666977373"
"analizar","3","0.0341266316914938"
"andaba","18","0.0167678769584573"
"ando","9","0.00203301100314398"
"anexos","11","0.0305203974579828"
"análisis","11","0.055977164983228"
"aplausos","5","0.11881888698501"
"armonía","2","0.0775778978666322"
"asociado","11","0.00428368628520067"
"aspiraciones","7","0.0153034633808333"
"atendiendo","14","0.00199909840604157"
"autoridad","2","0.0775778978666322"
"barranquilla","3","0.137693796148966"
"barrio","16","0.000221003575662935"
"brazo","2","0.00500416511711358"
"buscando","14","0.0019203065463685"
"buscar","14","0.0136766852664618"
"c","5","0.00140553688740881"
"camino","1","0.00230987908940383"
"caminos","2","0.0962140228852824"
"canamas","7","0.0198410151664446"
"cancam","10","0.200297438577642"
"cara","2","0.0363427057505172"
"característica","13","0.0115658397824301"
"casa","14","0.0974436133855673"
"celis","10","0.000565370108324498"
"científico","4","0.0201554148020682"
"colectiva","4","0.0201554148020682"
"comenzar","5","0.0128412164998061"
"comunidad","16","0.258225037749463"
"conclusión","2","0.0270143445683455"
"confinarse","8","0.000581397813463924"
"conflicto","5","0.0121450138680373"
"conocí","17","0.0110999203003509"
"contexto","11","0.0127940519406479"
"contrastación","3","0.00899295093879316"
"control","2","0.0790771678755938"
"coordinación","11","0.00845753861651252"
"cruzadas","17","0.0292496767399032"
"cruzado","15","0.0028991491569039"
"cuidar","2","0.0775778978666322"
"cuál","2","0.114893837549954"
"darle","12","0.119659522111043"
"dasa","15","0.00278709127696689"
"daños","3","0.140354865663135"
"denunci","17","0.00022754271449775"
"derechos","6","0.0124398407556425"
"desampara","5","0.0121450138680374"
"destacar","2","0.0943898452771467"
"digan","5","0.148824179426818"
"diligencia","1","0.0229200934223483"
"diálogo","2","0.0122017476388071"
"dolor","9","0.101129652569295"
"duele","16","0.0554134467504767"
"duro","15","0.104238037303213"
"echar","3","0.00760940969704249"
"económicamente","6","0.0503940651980959"
"edad","15","0.0202412262201823"
"efectivamente","1","0.00226523837937809"
"encapuchado","13","0.0824042666977373"
"encontramos","4","0.00325897303467498"
"enemías","17","0.0113144372963745"
"equilibrio","9","0.00409810438408816"
"errores","2","0.0356536632589856"
"especial","2","0.227199014374333"
"esperando","13","0.0142518194733064"
"estructura","17","0.0015898645497532"
"estábamos","13","0.0333474757515062"
"etcétera","17","0.000227542714497751"
"experta","13","0.0333474757515062"
"extrajudiciales","3","0.137693796148966"
"falta","17","0.00158862967052285"
"familiares","7","0.144095200519995"
"fase","4","0.000457583627245666"
"final","2","0.00439084684793396"
"finalmente","4","6.42240885317222e-05"
"finca","13","0.242185753346713"
"flores","13","0.0117937660371818"
"frente","9","0.111038147135666"
"fuego","15","0.000407384510261417"
"fuerza","15","0.019857461042043"
"función","2","0.0164436999864152"
"garantías","5","0.00962709832241994"
"generación","10","0.00402814755051981"
"gente","8","0.00422239657649444"
"gobierno","2","0.0886150863732918"
"grupo","8","0.0300837206928655"
"guerrilla","11","0.0338248151784739"
"guerrillero","17","0.00158862967052285"
"guías","11","9.17840015816721e-05"
"habla","16","0.0215035961569781"
"hablamos","1","0.00230987908940383"
"hablando","2","0.114893837549954"
"hablar","6","0.000993108218545997"
"hermana","13","0.0856521235308421"
"hijas","15","0.0198574610420431"
"hombre","16","0.0567928144066605"
"humilde","16","0.0578903920119574"
"iba","13","0.103503715286402"
"identificar","3","0.0542155034033931"
"implicaba","11","0.008297187223841"
"indígena","17","0.0115463775000668"
"indígenas","1","0.140849750820378"
"información","3","0.137693796148966"
"jamás","12","9.76933731942782e-05"
"juan","15","0.0359313060332475"
"justo","16","0.0798405854720323"
"leer","3","0.0193259942611352"
"llama","2","0.0111030121832341"
"llevaba","15","5.60289399685151e-05"
"llevaban","7","0.0561083393530642"
"lloraba","15","0.00284312021693539"
"mal","15","0.0202648455523045"
"mamá","6","0.0523802816351878"
"manifestaron","7","0.0561083393530642"
"marco","12","0.0346107427812724"
"mataron","17","0.21242552357449"
"mató","9","0.0286338804379286"
"mayoría","14","0.00188319471307376"
"mentira","3","0.0552632719110317"
"miedo","2","0.0775778978666321"
"miembros","2","0.114893837549954"
"montado","14","0.00199909840604158"
"muchacho","18","0.119467728313045"
"nacional","3","0.140354865663135"
"número","3","0.145291538392731"
"octubre","2","0.0119659367339637"
"ocurridos","8","0.0328941834597395"
"operaciones","11","0.000666580515235191"
"orden","9","0.0297624475372482"
"organizaciones","3","0.137693796148966"
"papa","7","0.00787507843248093"
"parida","14","0.00199909840604157"
"paso","6","0.147694313584363"
"paz","5","0.0102076994513841"
"permite","3","0.0193259942611352"
"persona","16","0.412457321934957"
"plan","7","0.0153034633808333"
"planteado","3","0.137693796148966"
"poquito","9","0.0286338804379286"
"pregunta","9","0.0286338804379286"
"presentes","2","0.0869025117225915"
"principio","3","0.137693796148966"
"procuraduría","3","0.140354865663135"
"pronto","2","0.117114275195085"
"propiamente","3","0.137693796148966"
"psicosocial","4","0.146378525146207"
"quemaron","5","0.0128412164998061"
"quitaron","15","0.0206481359106369"
"reconocimiento","3","0.0653112281766419"
"relatos","3","0.137693796148966"
"representantes","2","0.22294867261818"
"rogando","12","9.58053516245503e-05"
"sangre","15","0.000407384510261417"
"sentido","3","0.140354865663135"
"sol","3","0.137693796148966"
"soldado","16","0.0219191745329017"
"territorio","2","0.563408810246638"
"trabajaba","15","0.0252938069380787"
"ustedes","9","0.137710983962248"
"veo","16","0.0112145568760631"
"versiones","3","0.393739623132615"
"víctimas","3","1"
"étnicas","3","0.137693796148966"
"presentadas","1","0.0412456533005207"
"ilegítimamente","1","0.0415791200830825"
"voluntarias","3","0.217484910499572"
"sistema","5","0.00981315156935043"
"víctor","6","0.00291169842585151"
"enrique","8","0.0322705235076273"
"mujer","10","0.0292543866403529"
"paramilitares","11","0.060258250232745"
"legítimamente","1","0.0172548319147709"
"venía","14","0.0145184348311439"
"preguntas","1","0.0161393648070233"
"proceso","1","0.0164512740786623"
"señalar","11","0.0369395262437789"
"colombiano","4","0.00313417784313349"
"disposición","3","0.0341266316914938"
"internacional","6","0.00428859663436421"
"vida","7","0.111141270041513"
"visitar","5","0.0121450138680374"
"video","16","0.00160503655098469"
"jóvenes","13","0.083996811083031"
"teniente","16","0.156169680540394"
"madrugada","9","0.00203301100314398"
"sacar","15","0.019857461042043"
"rodríguez","6","0.0513871734166418"
"oiga","2","0.0111030121832341"
"trabajador","17","0.0115374092003692"
"seguir","2","0.119422228497683"
"repetición","5","0.00135121009176905"
"viene","15","0.000406909690454643"
"viví","15","0.000488827967727581"
"menor","6","0.00296796989291967"
"recuerdo","11","0.0279609590522803"
"saludo","13","0.0117937660371819"
"tierra","15","0.00295862647159985"
"café","18","0.00230883263176878"
"don","8","0.0322705235076273"
"gobernador","8","0.0322705235076273"
"uriel","8","0.0322705235076273"
"llega","12","0.000696045503892452"
"vuelve","12","0.000695785535035286"
"defenderlos","3","0.0193259942611353"
"práctica","11","0.0311102344841034"
"familias","11","0.112685707439582"
"instalación","2","0.0852548764692136"
"oportunidad","2","0.0869025117225915"
"pedir","2","0.0852548764692136"
"iban","13","0.0906776037699694"
"estarían","3","0.00759774224376434"
"llegaron","14","0.0136817953356702"
"sacaron","14","0.0002644142981392"
"integral","1","0.0167754768479536"
"restaurativas","2","0.0132480740538381"
"visita","10","0.02757971467667"
"victimización","15","0.00776746046529166"
"llegando","14","0.013417381037531"
"preocupado","14","0.013417381037531"
"presentaron","14","0.013417381037531"
"proyecto","14","0.0136766852664618"
"soldados","14","0.013417381037531"
"denominado","1","0.0161393648070234"
"guerrilleros","1","0.0161393648070233"
"informes","1","0.0192953194784354"
"reconocen","1","0.0161393648070233"
"muerte","11","0.0305203974579828"
"ocurrieron","11","0.0305203974579828"
"posterioridad","11","0.0305203974579828"
"temas","11","0.0305203974579828"
"delegada","4","0.00313417784313348"
"equipo","4","0.00313417784313348"
"representante","4","0.00313417784313349"
"muerto","1","0.0404636529753349"
"vivo","5","0.0932592234287277"
"villazón","6","0.00791538994665056"
"violencia","2","0.196191443070678"
"estrategia","2","0.0108884354334996"
"grupos","11","0.00116455059818409"
"minerales","2","0.0108884354334996"
"presentado","6","0.00428859663436422"
"nivel","3","0.0193259942611352"
"sabía","17","0.00165252699004371"
"sujetos","7","0.0293489882406138"
"garantizar","6","0.00171288889713304"
"palabras","1","0.00315595467141211"
"procede","1","0.0031559546714121"
"militar","13","0.0115658397824301"
"permitir","15","0.014352931059397"
"mí","6","0.144783910475243"
"rato","11","0.0274308309703688"
"sabíamos","11","0.0274308309703688"
"resultados","4","0.00044874036869152"
"llamado","17","0.00155792782262725"
"norelis","8","0.000581397813463926"
"presencia","2","0.0312838947705055"
"previsto","2","0.0318884871413062"
"testimonio","2","0.0669375580294911"
"helenos","11","0.000653698184023153"
"martínez","6","0.0503940651980959"
"pasó","13","0.0646458846714023"
"trabajadora","6","0.0503940651980958"
"recomendaciones","4","8.84325855414492e-06"
"tio","2","0.0122017476388071"
"siquiera","11","0.00474925120754291"
"jovencito","13","0.0824042666977374"
"segundos","13","0.0824042666977374"
"señalado","13","0.0824042666977373"
"sucedió","13","0.0824042666977374"
"totalmente","13","0.0824042666977373"
"mantenía","9","0.00203301100314398"
"sueños","16","0.00797114783667821"
"parcela","13","0.0142518194733064"
"te","12","1.34517714137253e-05"
"realmente","15","0.0049475179283081"
"momentos","5","0.00962709832241995"
"matar","15","0.00039919485301618"
"mojado","15","7.7148374384737e-06"
"puerta","6","0.007212439821701"
"vino","6","0.007212439821701"
"recibido","12","0.00476568456108884"
"tomar","18","0.0164499650287165"
"oñate","8","0.00452932499179208"
"universal","9","0.00409810438408816"
"tenían","7","0.0571926887974034"
"puse","17","0.0110999203003508"
"recorrer","6","0.0203365907070468"
"reglamento","5","0.0014055368874088"
"venta","16","0.0567928144066605"
"sometido","7","0.0561083393530642"
"representan","2","0.0119659367339637"
"público","3","0.0193259942611353"
"vi","2","0.0161259091348459"
"trabajaban","15","0.00284312021693539"
"tuvieron","16","0.00301813434988698"
"viendo","9","0.00470679628900413"
"valentía","9","0.0189619481531713"
