"word","cluster","eigen"
"batallón","4","1"
"área","7","0.433985958013765"
"compañía","7","0.490161884995822"
"comandante","12","0.871115231856372"
"justicia","13","0.0154725771951034"
"información","11","0.745837442533647"
"inteligencia","12","0.652873691048157"
"brigada","12","0.585927938627671"
"combate","7","0.467361963254977"
"muertes","7","0.0994465856407778"
"diligencia","1","0.0517968500875142"
"municipio","4","0.0736606623796782"
"operaciones","12","0.783484078650929"
"derecho","13","0.00200903497314181"
"operación","7","0.596960800133104"
"pronto","7","0.619809055452584"
"resultados","12","0.547436979963332"
"pelotón","7","0.714559868697293"
"bienestar","12","0.001531762310806"
"batallones","12","0.161750385709655"
"recuerda","7","0.514675913004093"
"días","7","0.488338454127479"
"misión","7","0.252939616229016"
"especial","13","0.284855108226899"
"bajas","7","0.251793973603188"
"acuerdo","7","0.541541271879683"
"capitán","7","0.288005695426422"
"decisiones","13","0.0554565421007603"
"cabo","7","0.239021341457875"
"control","12","0.204691542146612"
"hacía","7","0.452496477117941"
"humanos","13","0.00701994122371322"
"recuerdo","7","0.6645625860753"
"orden","7","0.611622335643753"
"grupos","11","0.108423215087749"
"proceso","13","0.251826363086429"
"miembros","13","0.0173937085767194"
"berlín","7","0.125833404152767"
"persona","7","0.580229070698257"
"preguntas","1","0.147810642992307"
"búsqueda","11","0.0177630348798894"
"dónde","7","0.367100891601517"
"oficial","7","0.396054565605069"
"conflicto","13","0.00056449612608136"
"jefe","7","0.242424607625567"
"columna","15","0.00011611528191428"
"grupo","7","0.349764865125602"
"soldado","7","0.453156580698893"
"día","7","0.51764587415203"
"contribuir","13","0.0111443993149154"
"cuarto","1","0.0101060249651918"
"integrantes","12","0.113825431843766"
"participación","16","0.0136207190291801"
"cónyuge","11","0.000113468617361762"
"aceptación","16","0.00230621198389876"
"civil","16","0.120758571758"
"claro","7","0.454273697446448"
"compañero","16","0.00155641264874801"
"confesión","1","0.000758875706655413"
"defensor","11","0.00159048877362785"
"desarrollo","12","0.150396341678852"
"personas","7","0.601868228375932"
"puestos","1","0.000643778343834681"
"conocido","1","0.00627930113413479"
"contenido","1","0.00266278999118842"
"disposición","11","0.0184233545098919"
"informes","11","0.0571047261635013"
"presentación","1","0.0224141504449952"
"iba","7","0.485234309349639"
"reparación","13","0.00535598636483315"
"víctimas","1","0.206310607771043"
"cédula","13","0.0113741118240103"
"compareciente","1","0.0163493753248821"
"efectos","1","2.83817816614624e-06"
"establecido","13","0.000767522711528561"
"infantería","12","0.0420637937193478"
"militar","13","0.352461190160336"
"oficiales","12","0.123659528768024"
"cuál","7","0.326657568986455"
"completo","3","0.000486551305937551"
"coronel","7","0.51845097483196"
"detallado","3","3.11988197747812e-05"
"grado","16","0.0586456193983521"
"mencionado","4","0.0194189293798946"
"caso","7","0.443973266526732"
"acuden","1","0.000333877103120627"
"libre","3","0.00179267426156554"
"división","12","0.108764325155899"
"infórmenos","1","0.00309933179612664"
"operacionales","12","0.145416383280849"
"compañías","12","0.13316234952038"
"ejército","12","0.346872687826387"
"sargento","7","0.455081234032811"
"renovamos","1","0.00237654788397644"
"unidad","7","0.547456380416911"
"digo","7","0.426187002493296"
"normatividad","1","0.00929664853224057"
"reconocimiento","11","0.0348491464104252"
"registro","1","0.0924741569746281"
"conocimiento","7","0.401321850402186"
"juez","13","0.00683141755336126"
"centro","13","0.0250208136995641"
"corrió","1","0.0032358783920268"
"público","1","0.0448067970964103"
"artículo","13","0.0206214542996744"
"audiencia","13","0.0362381904028326"
"conductas","13","0.000682997570068369"
"presión","12","0.0652998039867228"
"guías","11","0.0902577472544764"
"mando","12","0.274845547297934"
"conjunta","16","0.00148939410010386"
"consejo","13","0.000547073746088978"
"afinidad","1","1.56023512271413e-05"
"cualquiera","13","1.35443550342783e-05"
"moto","7","0.0984143949916942"
"pondrá","13","2.67795297843873e-07"
"profesionales","13","0.0643768480587586"
"soldados","7","0.547647131674221"
"aprobó","13","0.00521066157955953"
"agrupación","12","0.00167594644906656"
"anexo","7","0.0668264036271746"
"autoría","1","0.000280855088695561"
"escuela","13","0.0826041340104369"
"existieron","3","0.00070413343519557"
"informaciones","12","0.172937545354345"
"resultado","7","0.369343713003306"
"amnistia","13","1.17261727202219e-05"
"camilo","1","0.0084016429514827"
"escuchar","1","0.0351163054763468"
"general","7","0.361455229113713"
"investigación","13","0.128435357348457"
"adelantarse","13","0.000225687272788995"
"iban","7","0.261576231624119"
"sé","7","0.700450036141569"
"azteca","7","0.0516996693180455"
"permiso","7","0.274350886715682"
"anza","4","0.0213701257771729"
"c","11","0.0892517255262623"
"documento","7","0.231449179262811"
"huila","4","0.0357408778506564"
"integral","13","0.00836603348032021"
"fuerza","16","0.0867846166232367"
"requerimientos","13","0.00355685526987688"
"abrigada","12","0.117907119194393"
"bles","3","0.00759103190128511"
"continuamos","1","0.014553568132964"
"armado","16","0.000604972276665789"
"guía","7","0.189303474692671"
"número","13","0.128462388960626"
"armas","9","0.133944572860878"
"exactamente","7","0.199231684616359"
"ley","11","0.0142128409991379"
"ejecutivo","12","0.0978075937070687"
"estuve","7","0.267988137220984"
"presidir","1","0.0010434544092767"
"alguien","7","0.174867669900224"
"comandantes","12","0.253519602225741"
"consanguinidad","1","0.000173706960923404"
"propósito","1","0.0278691006729649"
"terminada","1","0.000149464852613384"
"arma","9","0.128868432253913"
"auxiliar","1","0.0010680112581678"
"catapulta","12","0.0700717968226446"
"magdalena","12","0.245203114899523"
"mañana","1","0.134255008097799"
"mí","7","0.402133200942682"
"b","12","0.129239067073619"
"marco","16","0.0169090870551548"
"pasó","7","0.264693523443888"
"pregunta","7","0.3742055348342"
"profesional","13","0.0294478964627699"
"allí","7","0.145888063241629"
"autoidentifica","12","0.0123149503399026"
"democrática","5","4.80490927741066e-05"
"instalar","1","0.00992353039338563"
"reguladas","11","0.000381686082037887"
"derechos","13","0.0256931080062422"
"misiones","12","0.0417573789931079"
"encuentran","13","0.00072902521910244"
"fabián","1","1.93499082660078e-05"
"marcos","4","0.000754727698259643"
"formación","13","0.0368999290544532"
"armados","11","0.0172167110397836"
"gente","7","0.204875038867059"
"informe","7","0.250149896987382"
"medidas","1","0.00354600738199691"
"permitan","13","0.00267301518969427"
"cti","4","0.0320723796377957"
"operacional","12","0.214269826703012"
"común","11","0.0657165467814551"
"fuente","11","0.0128000321919811"
