"word","cluster","eigen"
"alpa","1","0.335518056223104"
"aplausos","1","0.150505750314038"
"arpa","2","0.89387834936767"
"asesinaron","3","0.00965204967918196"
"asesinó","3","0.0267476880418101"
"batallón","4","0.157880403562746"
"bregando","5","0.117514583613553"
"brig","4","0.370241245371231"
"callar","6","0.0848412094330194"
"cerrar","6","0.132359088438685"
"construyendo","6","0.270041544518262"
"cooperativa","3","0.00343781753721595"
"cuerdas","2","0.359872547074003"
"dejaron","6","0.362080606788895"
"desplas","7","0.0148554263292065"
"digo","2","0.420180522817271"
"dé","8","0.30230152474424"
"día","8","0.296776983458041"
"días","4","0.508641807882257"
"ejército","4","1"
"embarrado","4","0.274866934121454"
"ent","6","0.0995770874233619"
"escuche","8","0.109927003586112"
"especial","5","0.0197980836368885"
"esperanza","6","0.744942037483969"
"espero","5","0.0204352780519156"
"esposo","7","0.361465999278711"
"foto","4","0.268900079185989"
"imagínes","2","0.166598335917096"
"levantada","8","0.0951526550596463"
"levantando","6","0.0518548924365248"
"luz","2","0.33735083562978"
"madrazo","4","0.228376938768938"
"matado","1","0.315276893942928"
"mataron","8","0.835480932035784"
"monsalve","4","0.566082409309316"
"nacional","3","0.0739977981198339"
"puntada","6","0.0298102120694306"
"vereda","7","0.0464583761215245"
"poniéndole","1","0.155409884180345"
"dando","5","0.323400739760717"
"futuro","2","0.420180522817271"
"mirando","2","0.958855338536157"
"mostré","4","0.123508782961206"
"herida","5","0.0441105388990585"
"vivir","6","0.265329633165418"
"desplazaron","3","0.00109926883849271"
"mensaje","8","0.362048255954571"
"ustedes","4","0.590709811893247"
"tejido","6","0.041372593190136"
"ojalá","5","0.0414806034384469"
"vivía","7","0.130436984943135"
"sufrimiento","2","0.161141658761309"
"volvió","8","0.297577312138901"
"perdón","3","0.20467061400025"
