"word","cluster","eigen"
"crímenes","1","0.297159180494253"
"asesinatos","2","0.179453513343474"
"combate","3","0.0290651434940219"
"miembros","4","0.151838883994921"
"bajas","2","0.0254770285922832"
"audiencia","5","0.259979676418445"
"desapariciones","3","0.0762532416393767"
"homicidio","1","0.0285141944878709"
"pública","1","0.0549131639248876"
"guerra","1","0.0911261767762561"
"batallón","4","0.074733969238228"
"justicia","6","0.248715273114984"
"conductas","1","0.0689079029735203"
"quiero","7","0.36662232003455"
"ustedes","7","0.825232589585926"
"asesinato","1","0.0318735679691523"
"auto","5","0.192123751839604"
"constituyen","1","0.0127205463432689"
"francisco","4","0.0330529705436359"
"fuerza","3","0.00767534246198818"
"gutiérrez","8","7.73314975461613e-05"
"imputado","2","0.00549050407402692"
"desaparición","1","0.0715742192444742"
"dios","7","0.068047820752157"
"macrocriminalidad","9","0.0963417151589336"
"antonio","2","0.0108282308853724"
"coautor","1","0.0252412701701391"
"comparecer","1","0.00510477931797091"
"fajardo","8","7.59713289265133e-05"
"ocaña","5","0.140851687078653"
"amado","8","0.000171331301138309"
"chaparro","10","1.33830090718481e-05"
"escrito","1","0.0290395861689082"
"gabriel","8","1.63345146316966e-05"
"jesús","8","0.00182671162680489"
"perdón","7","0.179404512631128"
"sargento","2","0.0010336353970019"
"artículo","3","0.0101344120452022"
"corazón","9","0.13780256262447"
"pérez","2","0.000154002838575224"
"rafael","2","9.17014239030575e-06"
"seres","9","0.174009272343473"
"agentes","2","0.00236836851759507"
"ah","11","1.71711180081089e-05"
"carlos","10","1.25503734324929e-06"
"castro","8","8.31493064637289e-06"
"comandante","4","0.104531202678381"
"comillas","1","0.0290395861689082"
"contreras","2","9.01026890098418e-06"
"coronado","4","0.0101725714235775"
"grupos","3","0.00335462299221429"
"hijos","9","0.264895165292479"
"señores","5","0.339249242465692"
"acuerdo","5","0.0418318611946021"
"coronel","8","0.010171508736052"
"daniel","10","1.09402444886414e-08"
"darío","8","0.000810176887342993"
"días","8","0.0913211020013951"
"forzada","1","0.00482904356618417"
"guillermo","8","0.00871661199629111"
"jaime","2","9.52204560704908e-05"
"libre","1","0.00295947951133668"
"operacionales","2","0.00118199295988103"
"responsabilidad","1","0.180399372162885"
"alexander","8","0.00163682773623453"
"aportar","1","0.045809681318619"
"brigada","4","0.0893563045707146"
"caso","3","0.157852007166275"
"colombia","5","0.0802236977582735"
"comparecientes","5","0.313469174301615"
"daladier","2","7.99367446653028e-08"
"diego","8","0.00106104612868064"
"dolor","7","0.219734178614505"
"efectos","1","0.00295947951133668"
"familia","7","0.169303576463193"
"familiares","2","0.111774644784614"
"gómez","8","0.00863926853779974"
"hermanos","9","0.0345859122239126"
"mando","4","0.0212856221722273"
"mandos","9","0.00254821580512928"
"máximos","3","0.0427857614727203"
"noviembre","9","0.0089016712096483"
"país","1","0.25044577646417"
"reconocimiento","1","0.312384817496481"
"reconozca","1","0.0269936166282633"
"sé","7","0.108763678321652"
"unidad","4","0.13961752304841"
"álvaro","8","9.92624820717484e-06"
"abogado","2","9.09020564564095e-06"
"activar","5","0.00871706689526021"
"alberto","8","0.00332923283436733"
"asesinados","12","0.0136892750984233"
"ataque","1","0.00684796601062284"
"bautista","3","0.00124179089387006"
"campesinos","9","0.208905376858952"
"carmen","4","0.0162467928713558"
"casa","13","0.0193444941071917"
"catatumbo","9","0.193412767159074"
"central","5","0.106054644839575"
"civil","1","0.0156428075660435"
"compromiso","7","0.0767143969631036"
"corte","3","0.000951097248954579"
"cortés","4","0.0101725714235775"
"crimen","1","0.00267381269739305"
"criminal","9","0.0593529338471223"
"daño","7","0.27420339437294"
"derechos","5","0.0971666768991445"
"desaparecidas","7","0.0418699150340498"
"día","13","0.166027157787953"
"ejército","4","0.197084240266755"
"especial","5","0.0671260673379636"
"general","4","0.109428448778189"
"generalizado","1","0.000452825627215959"
"hermano","6","0.0702651328639447"
"hijo","7","0.204565772414583"
"imputados","3","0.00397740459042447"
"joven","8","0.0346908330130788"
"juan","10","0.0001253791788645"
"magistrados","5","0.165452348504419"
"militares","7","0.187519182521244"
"mis","7","0.256837869198914"
"muertes","3","0.000918067408508626"
"mí","7","0.184049048804892"
"paz","5","0.190014281787649"
"penal","3","0.000950463216977202"
"peñuela","6","0.00658885189674709"
"registro","5","0.0929609396565352"
"reparación","5","0.0937712863861674"
"sociedad","5","0.117128894667996"
"abogados","5","0.122101328652972"
"acabar","6","0.00216806767361624"
"acepto","1","0.0167700951497108"
"agosto","3","0.000253362800157738"
"agua","11","0.00560802150017414"
"albeiro","8","0.000833509820278259"
"arenas","1","9.58544543804582e-05"
"armados","4","0.0141150853325675"
"bajaba","11","0.000535291223031148"
"ballena","1","9.58544543804569e-05"
"bar","1","0.000995329257556141"
"bloque","5","0.0929609396565352"
"bogotá","9","0.12347738601719"
"busca","6","0.0231208054957007"
"cabo","8","0.000824682059150558"
"campesino","3","0.00394371394432637"
"capitán","10","1.7329572468103e-05"
"carretero","1","0.00145417009020577"
"castillo","8","0.00856329720887324"
"cometidos","9","0.000238949474036547"
"cometí","1","0.0276241966463117"
"conoce","12","0.0118995538616643"
"consuelo","3","0.000116444329540836"
"código","3","7.83810776533819e-07"
"cúcuta","5","0.0180179945978267"
"dasa","8","0.000812922589216299"
"decirles","7","0.0340815553694709"
"dejar","9","0.0246249034760621"
"distinguen","5","0.0929609396565352"
"división","4","0.0183211361666919"
"dormir","11","2.00618803767908e-06"
"dónde","7","0.0111198034811917"
"encuentros","5","0.0945958850441134"
"esposas","9","0.0153086837719315"
"esposos","9","0.00598720888716869"
"estructura","4","0.0240464436938919"
"falsos","3","0.143893038141764"
"familias","9","0.0466210404052118"
"fernando","8","0.000833509820278261"
"frente","8","0.0886718945965667"
"grande","7","0.104805003277064"
"grupo","3","0.0454719440342588"
"guerrilleros","1","0.00101314934365276"
"hermanas","9","0.0125366137839762"
"huye","1","0.0106144353555861"
"impunidad","6","0.0233223511038791"
"indicadores","2","0.00247824769381303"
"infantería","4","0.0294067721937474"
"internacionales","5","0.0929609396565352"
"intervención","1","0.0292927261841532"
"jep","1","0.0305581011161208"
"jóvenes","9","0.0204099936259339"
"lesa","1","0.0408823201371176"
"lista","1","0.010804473124965"
"llamados","12","0.0118995538616643"
"llevamos","13","0.00145999673003005"
"madres","9","0.134858940005291"
"mano","11","5.63857160881496e-05"
"marco","1","0.0341443654868791"
"maría","8","0.00874477594804672"
"mauricio","2","9.69253208311623e-05"
"mejorar","4","0.00188045523434553"
"memoria","5","0.0929609396565352"
"mensaje","7","0.0767143969631035"
"miembro","1","0.00510477931797091"
"mujeres","7","0.0767143969631036"
"orden","7","0.119618019377561"
"padre","7","0.0553407172894771"
"participación","5","0.0929609396565352"
"paso","1","0.0290395861689082"
"personas","7","0.450403311205195"
"presentados","3","0.0100169359955176"
"proceso","5","0.123322804923744"
"reconocimientos","1","0.0444536562100003"
"reconozco","1","0.0167700951497108"
"región","9","0.062607709051286"
"respeto","7","0.127042495026006"
"responsables","1","0.164727973599903"
"rincón","8","1.7761077257874e-06"
"santander","4","0.1747701016296"
"sienten","7","0.0767143969631037"
"sistema","5","0.110624845839677"
"suacha","9","0.12073835878893"
"víctimas","5","1"
"agarró","13","0.0155685801608155"
"aguacero","11","9.00693288138032e-08"
"aguachica","9","0.0112239512856069"
"agüita","11","5.5071534149561e-05"
"ahorita","7","0.0177319095122915"
"alfonso","6","0.0065319127761236"
"alta","5","0.00167546833320592"
"amarrado","13","0.000531237892663824"
"andrés","8","0.00322489243436377"
"aponte","8","0.000810304441796655"
"apoyo","5","0.0176639061831415"
"armas","5","0.00871706689526022"
"arribita","11","1.03325269710623e-05"
"asegurado","13","0.00144726984086752"
"asiento","5","0.0132319280276613"
"bocado","11","4.38189998112736e-07"
"cabe","7","0.0767143969631036"
"cabeza","6","0.00216806767361624"
"caminamos","11","8.28480965554925e-08"
"camino","6","0.0231208054957007"
"cansado","13","1.510573636961e-06"
"cargos","4","0.000936883008464861"
"carretera","11","9.4212772633251e-06"
"casas","11","8.9121406100469e-07"
"causado","7","0.0166776120728124"
"cañito","11","0.00010045540848943"
"cerquita","11","3.31177798502388e-06"
"ciudad","5","0.0372616601945005"
"colectivas","5","0.00879372236134238"
"comando","4","0.0101725714235775"
"combates","5","0.0937712863861675"
"comer","11","5.24166915076805e-06"
"compartir","13","0.0154340405964719"
"compañeras","9","0.0246249034760621"
"competencia","2","0.000109879176217959"
"comunicación","7","0.0767143969631036"
"conciencia","13","0.00145999673003005"
"concordancia","3","8.43161417498958e-06"
"conflicto","7","0.0709095012029579"
"conocimiento","3","0.00139755873233511"
"constante","9","5.57962758592765e-05"
"continuación","9","0.00551750450180067"
"coraje","7","0.0780636071791262"
"correr","11","1.49681784355669e-07"
"cortecito","11","1.65442680503325e-09"
"cuál","3","0.0127597070184234"
"cómplice","1","0.00847117502042831"
"daban","7","0.0767143969631036"
"daños","5","0.107827813071775"
"decide","1","0.000275115996268131"
"defensa","10","0.0142392204143332"
"demandas","5","0.0937712863861675"
"denunciaron","3","0.000116560774189988"
"desarrollo","5","0.00167546833320592"
"desempeñé","4","0.0180619229612979"
"detallada","1","0.0290395861689082"
"dialogar","3","0.00137600650601952"
"diera","2","0.00423257335367798"
"digan","7","0.0767143969631036"
"dispuestos","1","0.0167700951497108"
"doña","3","0.00125261566816187"
"duele","9","0.0246249034760621"
"duerme","11","9.68894345718079e-07"
"ejerciendo","9","0.000600212046752337"
"encuentro","5","0.0937712863861675"
"entereza","1","0.00293390446980904"
"entregó","8","7.18880867694734e-06"
"espada","3","0.00422711464543409"
"esperándonos","11","5.09721628778574e-06"
"esposo","7","0.0392260804499673"
"estadística","6","0.0103030975244562"
"estando","1","0.0106144353555861"
"experto","9","0.00582007146315052"
"extender","11","1.62956249313738e-05"
"falso","4","0.00171799650640685"
"falta","2","0.000109879176217957"
"finca","13","1.62495521509751e-05"
"forma","7","0.0101107737372819"
"galleta","11","5.02680549969006e-05"
"gente","7","0.0966566069918973"
"gobierno","7","0.00148880864619963"
"guerrero","2","0.0016423240472675"
"guerrilla","1","9.41833149983696e-05"
"hablar","3","0.13725879993863"
"hayan","7","0.00148880864619963"
"herrera","8","0.000953867940474432"
"hora","13","0.00181439147719111"
"humanidad","1","0.119463375305993"
"humano","1","0.0106144353555861"
"identificación","5","0.0557048833688391"
"imagen","7","0.0174319594108002"
"indefensión","1","0.00854501881976286"
"individuales","5","0.0929609396565352"
"información","1","0.0107069620986362"
"informes","7","0.00725686627635024"
"ingreso","5","0.0132319280276613"
"inteligencia","4","0.0171836758798206"
"internacional","3","0.00920062989921474"
"jacome","2","8.59896048301207e-07"
"jaqueline","2","9.52204560704902e-05"
"je","5","0.0153806057853513"
"judicial","1","0.0342451683144073"
"largó","11","6.15531869804263e-07"
"leonela","1","0.00510477931797091"
"ley","3","0.0345206541864804"
"limpiar","7","0.0238758896601133"
"listo","11","5.28256188115896e-05"
"llamamiento","4","0.00171799650640685"
"llevan","13","0.00566525119934977"
"madre","7","0.0520011938809966"
"mal","3","0.0136362687816582"
"malas","7","0.0418699150340498"
"manifestaron","1","0.00293390446980904"
"marcha","7","0.0773831214932604"
"mario","1","0.00103112613463898"
"metidos","13","0.000600373457231068"
"militar","6","0.110832544964834"
"misión","5","0.0131396721599968"
"montoya","4","0.0102612464091736"
"muerte","4","0.0950355331297955"
"muertos","4","0.00210251459354155"
"noche","11","1.88137254788044e-07"
"nombres","7","0.0767143969631036"
"norte","3","0.053500098319867"
"número","4","0.10298091486136"
"observaciones","7","0.00725686627635024"
"oficiales","11","6.15531869807971e-07"
"omisión","1","0.00282566161680269"
"operaciones","4","0.0302055565476743"
"oportunidad","7","0.0767143969631036"
"paramilitares","7","0.00392619579362239"
"paula","4","0.0130187572662463"
"pedir","7","0.0767143969631037"
"pensaba","11","0.00037611771338616"
"perdonar","7","0.0101107737372819"
"pido","7","0.099717798394616"
"pie","5","0.108341545441887"
"posición","1","0.0167700951497108"
"positivos","12","0.128005955034769"
"pregunta","13","0.0346082024443527"
"presentes","5","0.149902248623526"
"presión","9","0.0274116829557039"
"radio","3","0.0041727457353005"
"reconociendo","13","0.000600373457231068"
"representación","5","0.0929609396565352"
"representantes","5","0.122101328652972"
"respetuoso","5","0.0929609396565353"
"resultados","4","0.0200536358923503"
"rodríguez","8","0.00856329720887324"
"roma","3","8.9916801826211e-05"
"sabía","11","0.00401035033400632"
"saludo","5","0.124497868013914"
"satisfacción","5","0.0929609396565352"
"seguir","7","0.0767143969631036"
"sentir","7","0.0767143969631035"
"siento","7","0.0169775621743037"
"situación","7","0.0767143969631035"
"subieron","11","3.80113142823976e-06"
"tardes","5","0.142338578725103"
"área","4","0.00188045523434553"
"época","4","0.010078243743301"
"forzadas","2","0.019050535742671"
"presentadas","3","0.00987584045407263"
"protegida","1","0.00690007763598227"
"persona","1","0.114181670224113"
"responsable","2","0.0590624846770353"
"máximo","5","0.0178600045013486"
"título","1","0.0303962247718527"
"néstor","8","7.18880867694781e-06"
"convocado","5","0.0241679550114606"
"participó","9","0.00895601636929674"
"santiago","8","7.06236612397309e-06"
"navarro","10","0.000171423802649797"
"urbano","2","9.77852168794606e-05"
"sandro","2","1.43162485837352e-05"
"bu","11","1.59624326499548e-06"
"muñoz","2","0.00100660251792214"
"rubén","8","8.94454238208334e-05"
"ilegales","3","0.000311848905549665"
"padres","9","0.0298197285676902"
"falsas","3","0.00270192305045631"
"martínez","10","1.17686466161253e-07"
"salazar","8","0.000810304441796657"
"peña","2","0.00102430608406383"
"reconocer","1","0.0315606154654739"
"nacional","4","0.0226171831019539"
"voluntariamente","1","0.0167700951497108"
"díaz","8","0.00864145649693624"
"estatuto","3","0.00103051936055609"
"hoyos","8","0.00104418885496915"
"retirado","8","0.00848929545251999"
"procede","1","0.000275115996268133"
"víctor","8","0.000803114521219016"
"patrón","9","0.0064008084978224"
"tamayo","8","9.95585985016987e-05"
"suárez","8","0.00112241120183449"
"civiles","12","0.0192524004530444"
"sistemático","1","0.0020907634452893"
"ilegítimamente","2","0.00236836851759507"
"javier","3","0.0133582007503165"
"manchamos","9","0.0179798325766782"
"naciones","5","0.0180233584061898"
"oficial","6","0.0383415525155582"
"queridos","2","0.0270728432340291"
"población","1","4.20950958065645e-05"
"imputó","1","0.00847117502042831"
"quintero","8","0.0089662370384576"
"santos","10","0.00133534667597356"
"perdonen","7","0.0238758896601133"
"sandra","6","0.000612505863579364"
"versiones","7","0.0780636071791263"
"muerto","3","0.002725475894433"
"vaina","11","0.0427640479177212"
"semana","11","4.97611750828841e-05"
"hermana","8","0.000796052155095049"
"colombiano","9","0.0179798325766782"
"hombres","9","0.0179798325766782"
"sucedido","9","0.0179798325766782"
"entero","5","0.00745767032633099"
"contraguerrillas","4","0.00971731882441007"
"subalternos","9","0.00257042877276616"
"principio","1","0.000248560140815242"
"marín","8","9.86358451410889e-05"
"guerrillero","13","0.0154340405964719"
"mataron","4","0.0184808427362541"
"tienda","4","0.0183211361666919"
"facto","4","0.00223538000118217"
"libreta","7","0.0190166264252246"
"plata","9","0.00189733218585072"
"sueños","9","0.0144339459698269"
"muchacho","13","0.0157054859323101"
"recuerdo","11","0.000535907046587788"
"presentaran","4","0.000174808885566818"
"vida","7","0.0426805933189521"
"zona","3","0.00125386828726817"
"supuestamente","13","0.0064583410994905"
"traer","8","1.65108643128927e-07"
"subc","4","0.0162467928713558"
"voz","5","0.0929609396565352"
"regaló","13","0.00144726984086752"
"soldado","11","0.000536030134623016"
"tomaron","11","0.0159553675447422"
"tardísimo","11","9.68894345712428e-07"
"alargar","11","1.59624326499576e-06"
"llevo","13","0.000173289210132395"
"reclutado","11","1.61015782432569e-06"
"soldados","11","6.62140326969676e-06"
"visto","7","0.00322662510296781"
"oiga","13","4.93843736831982e-05"
"numeral","3","0.000942104466588511"
"formaron","13","0.0155685801608155"
"diligencia","5","0.0241679550114606"
"querido","5","0.0241679550114606"
"teatro","5","0.0241679550114606"
"delitos","5","0.0178600045013486"
"presentarlos","2","0.00236836851759507"
"llegué","4","0.00694734000464829"
"regala","11","4.71370018120831e-06"
"condición","4","0.00830664603712921"
"jefe","4","0.00830664603712919"
"lucha","6","0.0233223511038791"
"mora","8","7.73314975461594e-05"
"trabajadora","9","0.0194200401321109"
"rivera","10","1.6109733404872e-06"
"gritar","11","8.28480965560863e-08"
"casos","3","0.014674070912847"
"rameli","3","0.014674070912847"
"subcase","3","0.014674070912847"
"territorios","3","0.0148019857706201"
"lugares","9","0.0198771647625289"
"produce","9","0.0179798325766782"
"vi","11","3.56254788006293e-05"
"programas","4","0.00971731882441007"
"falsa","3","0.00270192305045631"
"reportaron","3","0.00270192305045631"
"términos","3","0.00270192305045631"
"quedé","3","0.00139755873233511"
"dignidad","7","0.00725686627635025"
"resiliencia","7","0.00725686627635024"
"pongan","9","0.0128102557086493"
