"word","cluster","eigen"
"batallón","20","1"
"área","9","0.433984921253895"
"compañía","9","0.490160453349856"
"comandante","14","0.871115977238523"
"justicia","16","0.0154724974113523"
"información","21","0.745838866925565"
"inteligencia","14","0.652875400601571"
"brigada","14","0.585926149448303"
"combate","20","0.467360570539577"
"muertes","20","0.0994462303162734"
"diligencia","2","0.0517965570176049"
"municipio","20","0.0736603768039045"
"operaciones","14","0.783485314069406"
"derecho","16","0.00200903550807269"
"operación","9","0.596962766871136"
"pronto","9","0.619807212598667"
"resultados","20","0.54743543584534"
"pelotón","9","0.71456115866284"
"bienestar","14","0.00153175414138464"
"batallones","14","0.16174980229733"
"recuerda","9","0.514674330752688"
"días","9","0.488337046665949"
"misión","9","0.252943290523215"
"especial","16","0.284854572383066"
"bajas","20","0.251793606384192"
"acuerdo","9","0.541539629533797"
"capitán","9","0.288005146580824"
"decisiones","16","0.0554564147618164"
"cabo","9","0.23902099180474"
"control","14","0.20469166749384"
"hacía","9","0.452495304805336"
"humanos","16","0.00701989817527306"
"recuerdo","9","0.664560392202859"
"orden","9","0.611660585920617"
"grupos","21","0.108422860176394"
"proceso","16","0.251826047404211"
"miembros","15","0.0173936619792508"
"berlín","9","0.125833047322433"
"persona","9","0.580227218528897"
"preguntas","2","0.147810076343173"
"búsqueda","21","0.0177630031730001"
"dónde","9","0.367100030978426"
"oficial","9","0.39605356932478"
"conflicto","15","0.000564492432300016"
"jefe","9","0.242423690663183"
"columna","13","0.000116114360801902"
"grupo","9","0.349764098546301"
"soldado","9","0.453155171266091"
"día","9","0.517644353047772"
"contribuir","16","0.0111443578308796"
"cuarto","18","0.0101059667548614"
"integrantes","14","0.113825080810293"
"participación","4","0.0136207004143348"
"cónyuge","18","0.000113467750718594"
"aceptación","4","0.00230619706480522"
"civil","4","0.120758079232063"
"claro","9","0.454272416356724"
"compañero","4","0.0015564013659707"
"confesión","2","0.000758870510137484"
"defensor","21","0.00159048006020799"
"desarrollo","14","0.150400378247835"
"personas","9","0.601866184854532"
"puestos","18","0.000643773151198949"
"conocido","2","0.00627927023380417"
"contenido","2","0.00266276990376583"
"disposición","21","0.0184233025564327"
"informes","21","0.0571046573256627"
"presentación","2","0.0224140801449868"
"iba","9","0.485232943733348"
"reparación","16","0.00535595947589903"
"víctimas","2","0.206310258014103"
"cédula","16","0.0113740610230084"
"compareciente","2","0.0163492813726174"
"efectos","2","2.8381466359095e-06"
"establecido","15","0.000767517618333894"
"infantería","14","0.0420636578782278"
"militar","16","0.352460584972859"
"oficiales","14","0.12365918730476"
"cuál","9","0.326656979326075"
"completo","18","0.000486547439272188"
"coronel","9","0.518449372551148"
"detallado","18","3.11985835180043e-05"
"grado","4","0.0586453972675342"
"mencionado","20","0.019418870341623"
"caso","9","0.443972059721456"
"acuden","2","0.000333874470352231"
"libre","18","0.00179266553223695"
"división","14","0.108764045190596"
"infórmenos","2","0.00309932425570139"
"operacionales","20","0.145415738859376"
"compañías","14","0.133161888216421"
"ejército","14","0.346871976574386"
"sargento","9","0.455079913223865"
"renovamos","2","0.00237653015599083"
"unidad","9","0.547458417348351"
"digo","9","0.426185834282888"
"normatividad","2","0.00929659554439174"
"reconocimiento","18","0.0348489639144093"
"registro","2","0.0924745732362138"
"conocimiento","9","0.40132079617501"
"juez","16","0.00683138541863997"
"centro","16","0.0250207313863889"
"corrió","16","0.00323587402757046"
"público","2","0.0448066052722807"
"artículo","15","0.0206213377365556"
"audiencia","15","0.0362379928405109"
"conductas","15","0.000682993795254714"
"presión","20","0.0652995549553811"
"guías","21","0.0902575480578231"
"mando","14","0.274845168053009"
"conjunta","15","0.00148938483770734"
"consejo","16","0.000547070420478651"
"afinidad","18","1.56021782176174e-05"
"cualquiera","15","1.35442084447693e-05"
"moto","9","0.0984138570180701"
"pondrá","15","2.67792520503883e-07"
"profesionales","16","0.0643765925022832"
"soldados","9","0.547645407128104"
"aprobó","16","0.00521063690684448"
"agrupación","14","0.0016759368789981"
"anexo","9","0.0668270504829212"
"autoría","18","0.000280852724739166"
"escuela","16","0.0826039209188065"
"existieron","18","0.000704130609462035"
"informaciones","14","0.172936952723748"
"resultado","9","0.369342997121699"
"amnistia","15","1.17260766347798e-05"
"camilo","2","0.00840159624849381"
"escuchar","2","0.0351162120591352"
"general","9","0.361454503756353"
"investigación","16","0.12843479917731"
"adelantarse","15","0.000225686470316821"
"iban","9","0.261575896295775"
"sé","9","0.700447577588841"
"azteca","9","0.0516995031698523"
"permiso","9","0.274349751521417"
"anza","20","0.0213700541559203"
"c","15","0.0892514451361905"
"documento","9","0.23144908937808"
"huila","20","0.0357407255990226"
"integral","16","0.00836598831916533"
"fuerza","15","0.0867843082316407"
"requerimientos","2","0.00355683965710671"
"abrigada","14","0.117907432307299"
"bles","18","0.00759099263119581"
"continuamos","2","0.0145534917648564"
"armado","15","0.000604969514033321"
"guía","9","0.189303523856588"
"número","16","0.128462726644784"
"armas","12","0.133943998538487"
"exactamente","9","0.199230904665917"
"ley","21","0.014212758583029"
"ejecutivo","14","0.0978072101992318"
"estuve","9","0.267987055084983"
"presidir","2","0.00104344571211602"
"alguien","9","0.174867035819004"
"comandantes","14","0.253522240511988"
"consanguinidad","18","0.000173705495957869"
"propósito","2","0.0278690096911288"
"terminada","2","0.00014946479825397"
"arma","12","0.128867792537414"
"auxiliar","2","0.00106800231657432"
"catapulta","14","0.0700715756143583"
"magdalena","14","0.245202260585023"
"mañana","2","0.134255187296268"
"mí","9","0.402132153257638"
"b","14","0.129238754682527"
"marco","15","0.0169090632830387"
"pasó","9","0.264692385644255"
"pregunta","9","0.374204615366061"
"profesional","16","0.0294477893815545"
"allí","9","0.145887518361332"
"autoidentifica","14","0.0123148904705878"
"democrática","12","4.80488420590376e-05"
"instalar","2","0.00992348630767182"
"reguladas","21","0.000381682871938266"
"derechos","16","0.0256929603531633"
"misiones","14","0.0417572718295253"
"encuentran","15","0.000729020147362116"
"fabián","2","1.93496925904315e-05"
"marcos","8","0.000754723426235617"
"formación","16","0.0368998408874426"
"armados","21","0.0172166745087295"
"gente","9","0.204874987889296"
"informe","9","0.250149706345489"
"medidas","2","0.00354599188769559"
"permitan","16","0.00267307687886801"
"cti","21","0.032072240389003"
"operacional","14","0.214269156179807"
"común","21","0.0657163451201687"
"fuente","21","0.0128000225202782"
"repetición","16","0.00446644765717885"
"aporte","21","0.0128037959958526"
"comando","14","0.246001684841313"
"curso","16","0.115770464355881"
"determina","18","1.26113145835656e-05"
"esclarecimiento","16","0.0029387170579689"
"cargo","14","0.0775014640934439"
"daban","20","0.114549341810362"
"escuadra","9","0.0496801582421328"
"juzgado","16","0.00683138541863997"
"órdenes","14","0.170279631558346"
"asimismo","18","1.26196563994619e-05"
"circunstancias","15","0.0201415646352875"
"código","16","0.00439728276689301"
"disparó","9","0.0402860159939978"
"fuerzas","14","0.0351505975462136"
"indirecta","15","0.00258565229587598"
"pelotones","14","0.258688394187868"
"ah","9","0.254252101020094"
"cometidas","15","0.000357070991779191"
"detallada","15","0.000160582566315677"
"satisfacción","2","0.0035426584310801"
"advertirá","18","0.00186569622326078"
"arpón","15","0.00148938483770734"
"disponga","15","8.57520408472958e-07"
"elementos","15","5.40663981711977e-06"
"materialización","2","4.51531829075786e-05"
"movilidad","16","0.00269511781525038"
"órgano","16","0.00729605644071037"
"atribuir","15","7.83990617094755e-06"
"capturas","20","0.0753274911159919"
"comisión","15","6.13394404098003e-06"
"extracto","20","0.00140124981950745"
"funciones","2","0.112696054285031"
"integrante","18","0.0113255277957484"
"obligación","15","0.000206357471508014"
"responsabilidades","15","0.000115343656140363"
"sistema","15","0.000788702568454783"
"acto","15","0.000890723974831191"
"condicionada","9","0.00327219828117351"
"dolosa","15","1.98409148176136e-06"
"guerrero","2","0.000298705125719836"
"aceptar","15","0.00021987498400014"
"aportar","15","0.00111338293069019"
"condiciones","16","0.000666090081727811"
"deber","15","0.000246417610238167"
"departamento","20","0.0252813917646587"
"disciplinaria","16","0.0029866741405507"
"incumpla","21","0.0128114539010022"
"omega","15","0.00247010979545852"
"apellido","9","0.0999904593383541"
