"word","cluster","eigen"
"crímenes","11","0.310163432833789"
"asesinatos","11","0.229981096283616"
"combate","17","0.0894250042833652"
"miembros","13","0.155211566390888"
"bajas","13","0.0386253066360198"
"audiencia","11","0.267529242560159"
"desapariciones","11","0.101916492365643"
"homicidio","11","0.0195366196522461"
"pública","11","0.0866652298846007"
"guerra","11","0.107571798955551"
"batallón","13","0.070912162558183"
"justicia","11","0.265368144492006"
"conductas","11","0.0647718143976297"
"quiero","10","0.411449268130066"
"ustedes","10","0.851244821370457"
"asesinato","11","0.0360610120574979"
"auto","11","0.18061836758978"
"constituyen","11","0.0125874397911724"
"francisco","13","0.0238626291236461"
"fuerza","17","0.0527841744947567"
"gutiérrez","17","0.0702866202838639"
"imputado","8","0.0100978662789744"
"desaparición","11","0.0613145181565554"
"dios","3","0.132866390183485"
"luis","15","0.00235089058460767"
"macrocriminalidad","23","0.06161765715385"
"antonio","15","0.0230141452938946"
"coautor","11","0.0254267546803223"
"comparecer","2","0.00509098915407864"
"fajardo","15","0.00284429048983452"
"ocaña","13","0.171232455996156"
"amado","15","0.00374610570029847"
"chaparro","15","0.00240958636375186"
"escrito","11","0.0382754536347156"
"gabriel","15","0.00167637583018511"
"jesús","15","0.0200325298943991"
"perdón","10","0.175593705513516"
"sargento","8","0.0165385306316213"
"artículo","11","0.0284513026282687"
"corazón","10","0.176120451001007"
"pérez","15","0.00669542876666905"
"rafael","8","0.0043171314840799"
"seres","10","0.213696934370903"
"agentes","13","0.0115855492967141"
"ah","2","0.0106965884208266"
"carlos","15","0.0125940285938136"
"castro","15","0.00308088793623072"
"comandante","13","0.132086593962025"
"comillas","11","0.0143947242043384"
"contreras","17","0.00210792219109307"
"coronado","19","0.0375756915711365"
"grupos","23","0.0252568903673139"
"hijos","10","0.304965773755594"
"señores","10","0.342473739960404"
"acuerdo","1","0.111865415339737"
"coronel","15","0.039299622247561"
"daniel","15","0.000157751669818802"
"darío","15","0.00299451454437238"
"días","15","0.208636644701625"
"emilio","15","0.0116673790017103"
"forzada","11","0.0651202890178369"
"guillermo","15","0.0362477494895488"
"jaime","15","0.0087314083841401"
"libre","11","0.00513090910781723"
"operacionales","1","0.0211693790971313"
"responsabilidad","11","0.310878277952463"
"alexander","15","0.0222830746931103"
"alumbraron","21","0.00238279054157873"
"aportar","11","0.0298700275343656"
"arias","15","0.000239733189897949"
"brigada","13","0.143982686384284"
"caso","11","0.148410925178244"
"colombia","16","0.23215841017341"
"comparecientes","11","0.252184196745417"
"daladier","15","0.000764562192398739"
"diego","15","0.00288385395245267"
"dolor","10","0.279811993077565"
"efectos","11","0.00689144953819716"
"familia","10","0.171977124297881"
"familiares","10","0.252144817618082"
"gáz","19","0.00796712465752907"
"gómez","15","0.0166915670308859"
"hermanos","10","0.086383859472454"
"imposición","11","0.00187723534296943"
"mando","13","0.0354439218374756"
"mandos","17","0.0149483614927566"
"máximos","11","0.0488422476016146"
"noviembre","13","0.0237786146054938"
"país","11","0.297495252532174"
"reconocimiento","11","0.276000621660467"
"reconozca","11","0.0160082096327791"
"sé","15","0.14853535091503"
"unidad","13","0.121092253049158"
"álvaro","15","0.0590151365022557"
"abogado","8","0.00355256929168117"
"activar","9","0.00392401502551871"
"alberto","15","0.00309543246905878"
"armando","15","0.00315859467426621"
"asesinados","13","0.0298526032253656"
"ataque","19","0.00547682584447636"
"bautista","17","0.00199163737368996"
"campesinos","23","0.192190997999906"
"carmen","17","0.0733933038596584"
"casa","2","0.087535562288122"
"catatumbo","23","0.345965624813893"
"central","6","0.0601316484554446"
"civil","19","0.0393107585324028"
"compromiso","1","0.101918922565711"
"corte","1","0.00238433467223797"
"cortés","13","0.00924946727182177"
"crimen","11","0.01444303568316"
"criminal","13","0.0889879396335752"
"daño","10","0.267072967162566"
"derechos","1","0.0829092461719791"
"desaparecidas","16","0.0195306885000402"
"día","10","0.39334112836936"
"ejército","13","0.425905311718027"
"especial","11","0.165530319975451"
"ever","15","0.00167255911194434"
"general","13","0.18173124106589"
"generalizado","11","0.00675457895903579"
"gustavo","10","0.0132554110869234"
"hermano","17","0.176252718392609"
"hijo","10","0.259764379725039"
"humanos","10","0.0876133686807046"
"imputados","11","0.0482064293312201"
"joven","15","0.0450018158750518"
"juan","15","0.00101825662730493"
