"word","cluster","eigen"
"justicia","18","0.138775305698879"
"combate","21","0.517224161153436"
"muertes","21","0.369629294153755"
"diligencia","14","0.145675199970151"
"brigada","7","0.924234975672813"
"batallón","7","0.971017010826829"
"comandante","7","1"
"coronel","7","0.716547287210214"
"bajas","21","0.477607709093071"
"inteligencia","7","0.611600171539182"
"delta","7","0.220529464252625"
"casanare","12","0.294490848696797"
"derecho","16","0.0041159293850323"
"juez","18","0.0109293620262016"
"pronto","21","0.795384759365973"
"definición","16","3.23531809303486e-05"
"información","21","0.856015362181842"
"conflicto","15","0.0337786787982506"
"gustavo","11","0.0215308516540971"
"escalante","7","0.075990590670524"
"especial","16","0.552805859292374"
"armado","5","0.000151013864940905"
"público","14","0.0630756595740123"
"operaciones","7","0.795046456339438"
"conductas","16","0.00844917146537083"
"integral","16","0.000778773759363773"
"henry","7","0.088364522127891"
"pérez","7","0.124347402620993"
"determinación","16","0.0135493337106132"
"grupos","7","0.358631042344382"
"gaula","7","0.658956955983344"
"preguntas","14","0.257558700702232"
"capitán","21","0.424982719827872"
"municipio","12","0.0334897367593282"
"contribuir","16","0.02196575434431"
"juan","14","0.0251303113169014"
"miguel","1","0.011207666479009"
"oficiales","7","0.045638411476698"
"hacía","7","0.531006788129232"
"operación","21","0.66934281295758"
"claro","21","0.388962528939046"
"persona","21","0.755713432241492"
"suspende","14","0.00812681648860819"
"anticipada","19","0.00303448702606317"
"cabo","21","0.282132885456499"
"cumplimiento","16","0.0280576366695008"
"humanos","15","0.0353858152182235"
"acosta","7","0.0974215575335592"
"caso","21","0.751602318537001"
"criminal","19","0.0199858418218551"
"cualquiera","16","0.000101671017635796"
"beneficios","16","0.000959201496421026"
"condicionada","19","0.0019409715498801"
"delincuente","14","0.000559911626015802"
"soldado","21","0.579385751384293"
"combatiente","19","0.000339786776078469"
"división","7","0.160919311320692"
"iba","21","0.62358116191903"
"especiales","7","0.187069524438484"
"almario","13","0.0126138941079173"
"garcía","1","0.103941930642028"
"sargento","21","0.423368179875079"
"área","7","0.229938822241375"
"óscar","16","0.00448123123581614"
"búsqueda","16","0.0199974313617141"
"compareciente","14","0.0546224830741264"
"garantías","16","0.000767181119602263"
"marco","14","0.068500484903166"
"grupo","21","0.731679077797226"
"juzgado","18","0.0111272255578962"
"miembros","16","0.0539550780408386"
"participación","21","0.0816517794809448"
"conocimiento","21","0.683518613898255"
"cónyuge","16","5.18204838267933e-05"
"día","14","0.575575404957357"
"paz","16","0.087794120224947"
