"word","cluster","eigen"
"asesinatos","1","0.0213188480829976"
"batallón","2","0.174289835229086"
"crímenes","3","0.0233784247904864"
"asesinato","3","0.0532260232446777"
"combate","1","0.0807122598562738"
"gutiérrez","2","0.0412738130715088"
"desaparición","3","0.0190808987687536"
"efraín","4","0.00208903618617913"
"manuel","4","0.00193491419817058"
"crimen","3","0.000442954648665581"
"forzada","3","0.00371508457293111"
"grupo","2","0.0820185320561698"
"homicidio","3","0.00285623150312109"
"artillería","5","0.013801190564214"
"conclusiones","6","0.151041014281797"
"delitos","7","0.0031240509069491"
"días","8","0.230294158009969"
"integrantes","5","0.12437802754953"
"pública","5","0.0466739576806429"
"santa","9","0.00610966996111511"
"marta","9","0.00786675416284909"
"audiencia","6","0.407813842917399"
"cancamo","9","0.077422942629265"
"miembros","5","0.0632054790694263"
"albeiro","8","0.000306610193002774"
"carlos","10","0.0266367516247959"
"coautor","3","0.0194842152215005"
"código","3","0.000447413952921979"
"espitia","4","0.0019350886032007"
"guerra","3","0.0432757140414002"
"magistrados","11","0.294712730523801"
"arias","8","0.0483418423090058"
"justicia","12","0.217849358591088"
"leonardo","2","0.00050766608819593"
"paramilitares","5","0.117084404837885"
"caribe","5","0.0177163791739164"
"figueroa","2","0.000200880060582492"
"responsabilidad","6","0.286195790188093"
"andrés","2","0.0203874456831856"
"artículos","3","0.000554636508839344"
"comparecientes","11","0.429446475767424"
"cáceres","10","0.00179551140456511"
"jesús","8","0.00943310538004339"
"juan","2","0.00298009373068049"
"acusación","13","0.00720462970619193"
"alex","4","0.00802621690450171"
"colombiano","3","0.00160603536758949"
"comandante","2","0.0412832010073672"
"contemplados","3","0.00131635075844016"
"coronel","2","0.0431650159879934"
"desapariciones","1","0.0702476982591025"
"familiares","12","0.125303299217316"
"grupos","5","0.0768237579942593"
"gustavo","2","0.00209105558970592"
"luis","10","0.0031488453868448"
"número","6","0.0324912950853234"
"saludo","11","0.181948947138239"
"burgos","2","0.00259675202252493"
"quiero","12","0.280940712650121"
"reconozca","7","0.0276293641049092"
"adolfo","12","0.00304744058178486"
"agentes","1","0.00819739789026578"
"aporte","6","0.0193797409521248"
"bloque","5","0.068507523491995"
"comparecer","5","0.00314616528667752"
"constituyeron","3","0.000671362654175555"
"gómez","8","0.0157397323610107"
"hernán","2","0.0204297094256224"
"instancia","6","0.0291772038978312"
"mejía","2","0.0247097977428977"
"muertes","1","0.00341443515284194"
"país","12","0.0901999049367384"
"proceso","12","0.224697916147787"
"reconocimiento","6","0.432849343845186"
"ustedes","7","0.219038749517232"
"álvaro","14","0.00307330578581416"
"alberto","10","0.00232490423726073"
"auto","6","0.198569025692719"
"autoridades","9","0.127499461177807"
"compareciente","2","0.00479619283110346"
"comunidades","11","0.0874048404935238"
"corte","15","6.58220154463972e-05"
"derecho","15","0.010878142261344"
"día","7","0.212345371433728"
"ever","8","0.00108096312255961"
"guillermo","8","0.0010658155929257"
"laines","8","0.0112423140070293"
"mario","10","0.00410402036933824"
"modalidades","5","0.000639952621013653"
"observaciones","6","0.18050450692342"
"paz","12","0.276930298560045"
"penal","3","0.00451305304314592"
"pueblos","9","0.11365188035189"
"señores","11","0.154106829377341"
"sistema","12","0.0419086272536258"
"armados","5","0.0127022125754448"
"bajas","1","0.121609949687578"
"caso","6","0.184057281424285"
"colectivas","11","0.0680441860082867"
"constituyen","3","0.000671362654175553"
"criminal","5","0.11382311645353"
"daños","11","0.068025476769863"
"derechos","15","0.0886370056346495"
"edgar","8","0.0103141572385404"
"ejército","5","0.0774008081699626"
"encuentros","11","0.0674072961244151"
"especial","11","0.170530374837601"
"estatuto","15","0.000196967726817469"
"hermano","7","0.148084920042949"
"hernández","8","0.000662548795459329"
"hugo","3","0.0163589038253981"
"maecha","2","0.00019702599949762"
"marco","6","0.161841843857197"
"representación","6","0.108533198395751"
"representantes","9","0.14215833022677"
"víctimas","11","1"
"abogados","11","0.0972387780310796"
"agente","2","0.0118020319415192"
"armas","16","0.0799607943098417"
"cambia","7","0.0103690392330159"
"casos","13","0.0191205920897896"
"cecilia","2","9.34848677820051e-05"
"conductas","6","0.074935996027172"
"creativos","11","0.00196020131539724"
"césar","16","0.0120271692523428"
"david","10","0.0101506968342833"
"desaparecidas","1","0.0140424174195018"
"diligencia","1","0.111131872171439"
"efectivos","5","0.00522907681712539"
"encuentro","6","0.0965845000222463"
"indígenas","9","0.142560527405503"
"martínez","8","0.0186969367204359"
"modalidad","1","0.0756189558973403"
"nora","3","7.46699451653414e-05"
"personas","1","0.208321921021479"
"popa","5","0.0775743445853987"
"pueblo","9","0.201073828153957"
"acuerdo","2","0.117791185089368"
"apoderados","11","0.106743046568689"
"armado","1","0.079876652187808"
"asesinadas","1","0.116724258064193"
"asesinado","8","0.0573439957596543"
"asesinaron","5","0.00426051044431833"
"baja","1","0.00966254903716717"
"bustamante","10","4.86613656857475e-08"
"calificación","6","0.00505123287458157"
"cancam","9","0.023163462763719"
"ciudad","5","0.00525294485152228"
"conformó","5","0.00231735402830048"
"cordial","8","0.0134622477071764"
"cristian","10","7.21900572840787e-07"
"daer","8","1.99903223819239e-05"
"daño","7","0.116164318137541"
"determinación","6","0.0291772038978312"
"dios","12","0.063782058267392"
"dolor","7","0.037010287067263"
"equilibrio","16","0.00116911735154463"
"especiales","6","0.00186145952157451"
"falsos","1","0.0141065138008911"
"familia","7","0.0605300038473403"
"flores","8","0.0523783124861962"
"franklin","8","4.46606228524027e-05"
"frente","6","0.106536388262681"
"garantizar","11","0.0674072961244151"
"gente","7","0.0419098878296275"
"hijos","14","0.00633939437066763"
"imputado","2","2.18921426229613e-05"
"interior","5","0.0129015853337123"
"lectura","11","0.067407296124415"
"mañana","2","0.011802277836181"
"muertas","14","0.0160610926959209"
"nalina","2","9.34848677820057e-05"
"néstor","10","0.000976144149227235"
"ordinaria","12","0.0304114919422632"
"organización","5","0.0106026625829179"
"pelotón","2","0.037674889400325"
