"word","cluster","eigen"
"justicia","16","0.111563629915676"
"batallón","9","1"
"combate","10","0.595252908297161"
"diligencia","8","0.164222341891035"
"muertes","10","0.199342446138272"
"brigada","3","0.752422236084944"
"compañía","10","0.611429894332001"
"comandante","3","0.914566511067617"
"área","10","0.453249372235469"
"inteligencia","10","0.636431588245467"
"información","18","0.799480750141344"
"consejo","16","0.00450269158740431"
"definición","16","0.000188472959245062"
"derecho","16","0.00893980700401215"
"capitán","10","0.500122257994801"
"pronto","10","0.730699817770731"
"municipio","18","0.146880372952358"
"bajas","10","0.440152568856776"
"operaciones","10","0.773320113280008"
"especial","8","0.46132869444692"
"profesional","16","0.0356955247371932"
"recuerdo","18","0.718083596542304"
"operación","10","0.668218485168352"
"recuerda","10","0.548765961071612"
"grupos","10","0.243764049783718"
"ciudadanía","16","0.00154761751603869"
"pelotón","10","0.670286081768609"
"juez","16","0.00750985219833968"
"miembros","8","0.0410638563993692"
"preguntas","8","0.246094353366361"
"soldado","10","0.581380488740944"
"acuerdo","10","0.670083045664739"
"cédula","16","0.0232045886681432"
"días","8","0.558142998340332"
"público","8","0.0937364234335185"
"caso","8","0.608665166673368"
"día","8","0.639873661971118"
"batallones","10","0.197542679019008"
"cabo","10","0.306404289083023"
"humanos","16","0.0191847726512022"
"conflicto","16","0.0160226597171174"
"coronel","10","0.606583388481639"
"resultados","10","0.589826953758776"
"búsqueda","8","0.0154274294735525"
"oficiales","10","0.114302270352953"
"reparación","16","0.00761938323079572"
"misión","10","0.354495349192252"
"hacía","10","0.528988420656173"
"integral","16","0.00948146102386408"
"contribuir","16","0.0160122167841545"
"participación","18","0.0751792217027282"
"sargento","10","0.539980827576105"
"cónyuge","16","9.50701276507603e-05"
"persona","18","0.670599597934924"
"aceptación","18","0.00322308760525953"
"civil","18","0.177523403061901"
"grupo","10","0.534139971398829"
"cuarto","5","0.00868110588247627"
"iba","10","0.607991394997285"
"dónde","10","0.43500021076397"
"personas","18","0.738294314022419"
"compañero","16","0.000759839037261772"
"confesión","8","0.00141782311761751"
"número","16","0.249642746714958"
"disposición","8","0.0299035217243128"
"informes","8","0.0614562265812311"
"puestos","1","0.00113064905852456"
"contenido","1","0.000108992811446074"
"defensor","8","0.00783381801503734"
"conocido","1","0.00741203168259048"
"división","10","0.133209447843998"
"claro","10","0.547072061359696"
"digo","10","0.57084752204387"
"compareciente","8","0.081736372593586"
"oficial","10","0.369424185006814"
"víctimas","8","0.428432309801108"
"establecido","8","0.00721563403974517"
"grado","16","0.0928885836562501"
"proceso","16","0.318690294474458"
"completo","8","0.0141277110017661"
"control","10","0.204136861077712"
"detallado","8","3.31226182617244e-05"
"armado","14","0.0295273295153298"
"anticipada","5","0.000162691303526205"
"conocimiento","10","0.604556284918602"
"operacionales","10","0.226485788965115"
"condicionada","16","0.00309285850559351"
"sé","18","0.82568975452149"
"bienestar","3","0.000887406875397528"
"conductas","8","0.0091848433214812"
"orden","10","0.672791832563689"
"determinación","8","0.00703451802040507"
"militar","16","0.495781656586689"
"normatividad","8","0.00854850058648573"
"presentación","8","0.0776239701181235"
"soldados","10","0.673603827955556"
"afinidad","5","2.94367453833466e-05"
"cualquiera","16","3.92578740661642e-05"
"libre","8","0.00229345843112837"
"mí","10","0.57217427463385"
"decisiones","16","0.0350089783493976"
"reconocimiento","8","0.0885382981621439"
"autoría","5","0.0010428794194754"
"delta","3","0.0755953070901174"
"b","10","0.166938436170359"
"casanare","18","0.0637842837130242"
"requerimientos","16","0.00550579993965794"
"pregunta","10","0.50222604669632"
"iban","10","0.388644839663202"
"presentes","8","0.0457012028347222"
"audiencia","8","0.0544106762212488"
"artículo","8","0.028855659026707"
"integrantes","14","0.115154172522273"
"mando","10","0.39699378180882"
"presión","10","0.0693178897922055"
"berrío","9","0.000163487382129489"
"juzgado","16","0.00751107427211903"
"cuál","10","0.45163212484854"
"infórmenos","8","0.00529279479726741"
"marco","8","0.0527496230663655"
"efectos","8","0.00277700932754281"
"pondrá","13","0.0012827276795283"
"continuamos","8","0.0166832785921145"
"resultado","10","0.42752399688717"
"duradera","16","0.00112592974764217"
"general","10","0.488366355138683"
"jefe","10","0.246312514395991"
"adelantarse","13","0.000194036059320592"
"informaciones","18","0.202714605622803"
"profesionales","10","0.0508435515006123"
"representación","8","0.0355783712133331"
"beneficios","8","0.000773411049114635"
"existieron","8","0.00118728766895448"
"acuden","8","0.00111064318220724"
"consanguinidad","5","0.00011109833942204"
"amnistia","13","0.00784430224577103"
"baja","10","0.4092557772466"
"berlín","10","0.0737296434978004"
"investigación","16","0.150653354280749"
"desarrollo","16","0.123947699117617"
"representante","8","0.0336864492556325"
"corrió","8","0.0100493789594234"
"ejército","10","0.499286794320546"
"escuadra","10","0.0736815627449197"
"ley","8","0.0622249615546461"
"unidad","10","0.600115546197933"
"cumplimiento","8","0.0137774213410798"
"especiales","3","0.123298176035004"
"escuela","16","0.0839680900103338"
"garantías","8","0.00187591477278223"
"columna","13","8.83331435711364e-05"
"circunstancias","18","0.0248736844388812"
"cometidas","14","0.000388337724239538"
"arma","18","0.144974149124829"
"elementos","14","0.00547193751914966"
"instrucción","16","0.127984679109937"
"mencionado","8","0.0264320056844352"
"ustedes","10","0.515728961450139"
"detallada","14","0.000262142695501286"
"escuchar","8","0.0743272648285692"
"nación","8","0.000771792270873472"
"representantes","8","0.0358752092188851"
"disponga","8","4.18092826672798e-05"
