"word","cluster","eigen"
"batallón","14","0.0948134899665094"
"justicia","19","0.397685137395659"
"municipio","22","0.0972758649566739"
"asesinatos","2","0.135740014276677"
"antioquia","20","0.207243786277291"
"ustedes","19","0.821711412277395"
"desaparecidas","2","0.039925202027913"
"definición","19","0.00507305356098492"
"jorge","14","0.00892865771999157"
"combate","2","0.0895198168558124"
"colega","13","0.00164514896364488"
"búsqueda","2","0.020998504683687"
"eduardo","14","0.0113715186264985"
"hijos","1","0.143849953240401"
"quiero","19","0.343219277318514"
"representantes","19","0.0761114359747199"
"caso","2","0.392052198299468"
"querido","17","0.100071607348437"
"bajes","14","0.000759225815298742"
"cuarta","14","0.0269184350168342"
"días","19","0.339016502381422"
"extrajudiciales","2","0.0881648473849011"
"miembros","14","0.0656519263209996"
"país","19","0.294508118641094"
"comparecientes","19","0.30875986046957"
"jesús","3","0.0119429819411742"
"magistrados","19","0.192960569786816"
"catalina","13","0.0773216362711562"
"cañas","3","0.000217868475265094"
"compartir","17","0.0594879046021559"
"corporación","22","0.00046726327899626"
"departamento","19","0.0819869476575152"
"derecho","4","0.0779329984482447"
"desapariciones","2","0.092493973080324"
"díaz","13","0.0134032560797071"
"especial","19","0.254559862211047"
"nacional","14","0.151879472983351"
"personas","2","0.609388400063849"
"procurador","13","0.125394895628643"
"testimonio","17","0.173722196293699"
"agentes","2","0.011862382614419"
"audiencia","17","0.382283825940937"
"bajas","2","0.0831623314604915"
"brigada","14","0.136195597147011"
"completa","10","0.000525627763297077"
"crímenes","14","0.0759568756826114"
"dolor","21","0.2282278811022"
"energético","14","0.00813670087189248"
"familiares","19","0.236531607389242"
"familias","2","0.153010371127706"
"observaciones","8","0.0399493924599783"
"pública","17","0.140065129333775"
"saludo","19","0.196918028348748"
"ana","22","0.000594669826914229"
"artillería","14","0.0112970642274851"
"camino","19","0.025187165746057"
"colombia","19","0.123447115102639"
"criminal","2","0.00845688586056338"
"defensoras","4","1.78369554941635e-05"
"doña","17","0.178100306955012"
"garcía","3","0.00250616255311009"
"jep","19","0.257198204777636"
"marco","8","0.0161567367699132"
"muertes","2","0.00353646947710159"
"presentación","17","0.0875461729851616"
"presentes","19","0.106429680711572"
"señores","19","0.162011533220339"
"agrupación","15","1.99896747476945e-05"
"asesinado","22","0.0304989760807119"
"coronel","14","0.00858908682894685"
"derechos","4","0.0778759609909561"
"día","1","0.401704079514357"
"escuchar","17","0.193295008172837"
"gómez","3","0.0430552884718043"
"infantería","14","0.00697467333665693"
"manuel","1","0.000961521159054706"
"público","8","0.0671855653830804"
"responsabilidad","19","0.111000857575596"
"álvaro","3","0.00020830382433057"
"abogados","19","0.0633344406859192"
"acosta","13","0.0123464560227097"
"ambulante","17","0.0403893748839662"
"antioqueño","20","0.0877238402796614"
"berrío","14","0.000427692083878851"
"caballería","14","0.00739747607109658"
"comandante","14","0.0213632081852095"
"daño","14","0.0677708819037132"
"daños","19","0.115841743741843"
"don","17","0.0411916654649829"
