"word","cluster","eigen"
"muertes","3","0.0373446038405496"
"coronel","13","0.468581758464026"
"combate","3","0.122202228544056"
"diligencia","14","0.0135631024585644"
"justicia","16","0.00468781667463139"
"delta","4","0.436133633260567"
"batallón","4","0.82654235872424"
"brigada","4","1"
"información","6","0.518885003060541"
"comandante","13","0.959252243131819"
"conflicto","3","1.41461311243121e-05"
"área","4","0.131714326149262"
"derecho","16","0.00259838737190268"
"armado","6","0.00129387818732211"
"bajas","12","0.0356219482599568"
"inteligencia","4","0.229336184835019"
"operaciones","4","0.682773857180432"
"recuerdo","13","0.456870142230987"
"manuel","10","0.0167558914470391"
"causa","6","0.0162461403075198"
"indirecta","6","0.0162461403075198"
"directa","3","0.000175359922357497"
"día","14","0.0550854503102483"
"persona","6","0.261727994839868"
"iba","13","0.159483690649601"
"escuela","7","0.00845768837411401"
"cabo","13","0.0161777603882481"
"operación","13","0.561750890299404"
"resultados","4","0.298152814266573"
"especial","4","0.314792365384458"
"misión","13","0.320338621934251"
"beneficios","16","0.00222265616998076"
"caso","4","0.343373893056791"
"cualquiera","16","3.01162990361424e-05"
"garantías","9","0.000934552968495077"
"grupo","4","0.362210125127782"
"búsqueda","6","0.0413251378161401"
"casanare","4","0.0442691659942651"
"especiales","4","0.146404385891166"
"jairo","13","0.00612325939484367"
"militar","16","0.0547509530007753"
"rivera","10","0.0108467855567942"
"soldado","13","0.203130532459841"
"acuerdo","8","0.351811240662916"
"b","4","0.0182648359244045"
"batallones","4","0.0796421896420052"
"contribuir","5","0.000138860642744286"
"escalante","13","0.0533956978818066"
"oficiales","13","0.01716402061893"
"conocimiento","3","0.333995897745247"
"digo","6","0.140074056546918"
"rendir","14","0.00215212677080799"
"reunión","10","0.0274963964223876"
"capturas","3","0.00973245306038135"
"control","4","0.144509811999921"
"grupos","4","0.199275887759039"
"guillermo","13","0.0383476706507869"
"mando","4","0.183817503573458"
"orden","13","0.473018333521495"
"personas","6","0.14061100377487"
"preguntas","5","0.0162504578549683"
"terminada","14","8.71344759940118e-05"
"traslado","5","0.000108054591562464"
"aceptación","2","0.00017251551347395"
"audiencia","3","0.00215967969767492"
"autoría","11","0.000197580253013512"
"cumplimiento","4","0.0250707532618044"
"curso","7","0.0390212594722111"
"días","14","0.0851095107002682"
"escuchar","14","8.71344759940143e-05"
"espitia","4","0.0543776050161674"
"función","4","0.0543776050161674"
"gaula","4","0.193640563976281"
"grado","2","1.11542505962718e-06"
"plata","10","0.0108467855567942"
"puestos","11","1.27007515048392e-06"
"soldados","13","0.215514172778059"
"sé","6","0.345708521883657"
"afinidad","11","1.57357239800163e-05"
"civil","2","1.39166195596072e-05"
"claro","6","0.0413251378161401"
"compareciente","11","0.00246511335741335"
"confesión","11","0.0035098138105402"
"conocido","11","0.000197588360369694"
"contenido","11","1.58375212335934e-05"
"das","6","0.0413251378161401"
"hacía","4","0.312964117864349"
"ofrecer","5","0.000107364839416797"
"participación","2","0.00215221560570211"
"pronto","6","0.0897027120765141"
"satisfacer","5","0.000107364839416797"
"época","4","0.171071799818371"
"abogados","5","0.000107364839416798"
"acopio","5","1.10591656432534e-05"
"aducir","6","0.0181937297299853"
"alberto","13","0.00299112947122181"
"baja","6","0.0208445905996585"
"capitán","10","0.0872437346188174"
"carecen","3","1.13452108204755e-06"
"cometidos","3","1.11938679292862e-06"
"cuál","15","0.00638336729331183"
"darle","14","0.000171400088414325"
"decisiones","3","0.00215967969767491"
"declaración","11","3.60748238561156e-13"
"división","1","0.163465969319464"
"dónde","6","0.0275329836607155"
"ejército","1","0.0932524664228736"
"encuentran","5","6.89752145668393e-07"
"escorpión","4","0.0288472074756813"
"estuve","16","0.0662478453057798"
"funciones","4","0.0543776050161674"
"hijo","10","0.0166496108655933"
"jurídica","3","0.00217364574586692"
"mañana","4","0.00638336729331183"
"mí","6","0.107175173302721"
"negar","3","9.9096024105546e-08"
"nombres","13","0.0363861385093302"
"notificará","11","4.52962094145369e-12"
"oficial","13","0.229744154483735"
"oportunidad","11","5.65139209002809e-11"
"proceso","6","0.0433757745305738"
"proteger","16","2.99240556378856e-05"
"público","8","0.0281978732272658"
"reconocimiento","11","1.09744357604953e-07"
"rendirla","11","8.79643410067112e-09"
"requerimientos","16","3.01162990361402e-05"
"sargento","13","0.11474461971281"
"satisfacción","5","0.000107364839416797"
"soto","10","0.136193964600308"
"presentadas","3","0.012706659081556"
"voluntaria","14","0.00109407433906188"
"número","4","0.0946748507563474"
"humanitario","16","0.000206941259836462"
"ilegítimamente","12","0.00283700995873718"
"derechos","16","0.0277310071729776"
"teniente","13","0.481499451775011"
"torres","10","0.209055162099811"
"relación","6","0.202695243414518"
"ocasión","3","1.40551986072451e-05"
"unidad","4","0.291666345519446"
"rillas","4","0.0658276432806662"
"compañía","13","0.142224592342689"
"servicios","7","0.000673588821424167"
"pelotón","4","0.256601419514089"
"general","13","0.197610566271174"
"tarea","13","0.0763969490620232"
"unidades","4","0.239463748958939"
"ilegítimas","12","0.00283700995873717"
"contraguerrillas","4","0.142224592342689"
"paz","5","0.000384407150251202"
"jefe","4","0.0979070255664097"
"verificado","4","0.0273470487089426"
"sistema","16","0.000378145040606246"
"renuncias","9","0.0117343957103129"
"tratamientos","16","0.000177017204198577"
"durán","13","0.0375570973709671"
"tarde","14","0.00108019517813893"
"paguay","13","0.0768846188479745"
"víctimas","5","0.00134808999977784"
"repetición","16","0.000373347984607947"
"programa","4","0.0801505749905337"
"versión","14","0.0268510459352558"
"legítimamente","12","0.00283700995873718"
"situación","4","0.0796421896420052"
"programas","13","0.156039138704028"
"tenían","6","0.0111985682283909"
"normatividad","8","0.0280190175470651"
"particular","8","0.0280190175470651"
"plena","3","0.027117281774682"
"salí","7","0.0665012321020903"
"permito","14","0.00108019517813893"
"pariente","2","8.8834894128385e-08"
"propósito","11","0.0416046670732472"
"trasladado","4","0.0658276432806662"
"operacional","15","0.0801505749905337"
"órdenes","4","0.0796421896420052"
"crímenes","6","0.00129387818732211"
"ejecutivo","13","0.0763969490620232"
"libertad","14","0.00438712588012405"
"radial","4","0.0249251476260954"
"táctica","13","0.0920498208386316"
"responsabilidad","6","0.0257481207341422"
"quiénes","4","0.0796421896420051"
"contacto","2","1.10835005414085e-06"
"nivel","13","0.0763969490620232"
"practicará","11","0.000196327025500152"
"interno","3","1.12662885769915e-06"
"fuerzas","1","0.00742683061543521"
"versiones","5","8.66063764409632e-06"
"henry","13","0.00425255029677006"
"tuve","16","0.00527612345921713"
"sociedad","16","0.00037573120192191"
"reyes","10","0.00133447588424594"
"voluntariamente","11","7.05068166334098e-10"
"representación","8","0.00224574036706712"
