"word","cluster","eigen"
"batallón","5","1"
"combate","4","0.310635526348563"
"área","12","0.23271016638956"
"muertes","4","0.0920076125423975"
"justicia","9","0.016330281338686"
"municipio","7","0.00186741368417954"
"comandante","5","0.8984515205269"
"brigada","5","0.626434474601347"
"diligencia","15","0.0397471464270004"
"compañía","5","0.242781522418239"
"información","12","0.626217965548515"
"inteligencia","5","0.304152449647813"
"operaciones","5","0.761963764731742"
"derecho","9","0.00135734071129973"
"resultados","4","0.377208084090425"
"operación","12","0.561673698622858"
"bienestar","17","0.00142024936800425"
"pronto","12","0.511334215488353"
"miembros","14","9.82037490759307e-12"
"bajas","4","0.10092144508129"
"conflicto","19","1.64138613944155e-06"
"batallones","5","0.122263085664641"
"humanos","2","0.000655316380022415"
"coronel","12","0.318568596873848"
"control","12","0.0894568784379534"
"día","12","0.364816587710012"
"especial","5","0.222511091053328"
"persona","12","0.368319034111614"
"hacía","5","0.223052982828079"
"jefe","5","0.158718385838719"
"pelotón","12","0.646695789930437"
"armado","14","0.000348425517389465"
"acuerdo","12","0.38781489746281"
"recuerdo","12","0.590062502187859"
"militar","9","0.145110564458852"
"capitán","5","0.12239928519738"
"delta","5","0.0987886252079156"
"personas","12","0.496699107986299"
"días","4","0.304056178802795"
"recuerda","12","0.315935546638832"
"sé","12","0.556428732698053"
"misión","12","0.193773863105536"
"búsqueda","14","0.0279383892517435"
"desarrollo","9","0.0399275319957768"
"escuela","1","0.00321112121666977"
"contribuir","9","0.0108754973967252"
"digo","12","0.225129572285498"
"indirecta","14","0.00474119087421353"
"preguntas","15","0.0685661335066886"
"cuarto","17","0.0105111671127095"
"grupo","5","0.290789963984009"
"iba","12","0.338118692924426"
"cónyuge","17","1.96883145471536e-05"
"ejército","5","0.148534044811133"
"aceptación","20","0.00045519681149512"
"causa","14","0.00472616219808683"
"orden","12","0.517624747532941"
"civil","20","0.00907002214128325"
"compañero","20","7.31930609603056e-07"
"integral","9","0.000305873616298732"
"confesión","20","0.0012449731213853"
"conocido","14","0.00643483008894101"
"cualquiera","9","6.03329151799134e-05"
"cuál","5","0.209432664147689"
"defensor","6","0.0001891085933888"
"establecido","15","0.000231243601315015"
"participación","20","0.00148328163759003"
"puestos","14","0.000889308839986166"
"reparación","9","0.0070913879650007"
"cabo","12","0.0279357694356793"
"claro","5","0.222354797237852"
"informes","6","3.5446785132978e-07"
"proceso","14","0.07538278389837"
"registro","15","0.0215205388799075"
"compareciente","14","0.000335438548337203"
"contenido","14","0.000315912889200517"
"cédula","14","2.27117198500283e-06"
"directa","19","7.09300516178506e-08"
"funciones","5","0.0763614533646128"
"grado","20","0.000391948830515597"
"público","15","0.0127579352209127"
"víctimas","15","0.118469764894701"
"completo","14","5.26549555852517e-05"
"decisiones","9","0.00685243540577074"
"detallado","14","6.278255626615e-05"
"audiencia","4","0.0169597479552484"
"disposición","6","1.52893007832513e-08"
"presentación","15","0.00264266580245901"
"sargento","12","0.303617496334075"
"afinidad","17","2.02550998383137e-05"
"antioquia","7","0.0432136572400057"
"caso","14","0.326056640351802"
"conocimiento","12","0.293910065859072"
