"word","cluster","eigen"
"batallón","17","1"
"área","13","0.251434463362727"
"comandante","3","0.910770705186704"
"compañía","13","0.391174447214505"
"brigada","3","0.508445655038343"
"municipio","6","0.0126202504602728"
"muertes","1","0.0937250540123476"
"combate","1","0.355161323448207"
"justicia","4","0.00556278978314105"
"inteligencia","13","0.45178076481648"
"diligencia","9","0.0294179915050372"
"bienestar","17","0.00232871712408799"
"información","13","0.617720164135903"
"operaciones","3","0.771464839462878"
"resultados","1","0.449026012129626"
"pronto","13","0.555654309044403"
"operación","13","0.542981823179771"
"batallones","3","0.173415425378869"
"derecho","19","0.00103172667389039"
"control","3","0.164014550166303"
"jefe","3","0.13920701862402"
"pelotón","13","0.693297004893588"
"hacía","3","0.281368503675529"
"especial","14","0.186552552091367"
"días","1","0.336547573236859"
"centro","4","0.00232550893493438"
"capitán","13","0.213409964729731"
"miembros","18","1.22204801632652e-07"
"acuerdo","13","0.44732774176683"
"humanos","4","0.00206109168188269"
"recuerda","13","0.413952961348917"
"militar","15","0.156086774761111"
"día","9","0.335564969436268"
"persona","13","0.433961942387364"
"personas","13","0.405387112793996"
"desarrollo","21","0.127953389426888"
"sé","13","0.554040321508334"
"grupo","13","0.269263443591081"
"ejército","3","0.183360384589738"
"conflicto","9","4.82519778675774e-07"
"proceso","5","0.133442603489938"
"decisiones","15","0.0338274815748079"
"orden","13","0.494090270346314"
"recuerdo","13","0.54631494545933"
"bajas","1","0.183664960370912"
"cuarto","9","0.012436273218262"
"cuál","1","0.267826251617679"
"preguntas","4","0.053855818734401"
"arpón","9","0.000270699849819325"
"búsqueda","9","0.0200649131320989"
"claro","13","0.265354090879269"
"contribuir","4","0.0076804812027481"
"misión","3","0.156580683077754"
"cabo","13","0.115660470412047"
"cónyuge","9","0.000305607107031873"
"digo","13","0.222119125142334"
"aceptación","17","0.00144185802479837"
"civil","17","0.0440926571900877"
"profesional","19","0.0456622077156504"
"compañero","17","0.00150887944849269"
"compañías","3","0.109526784076388"
"confesión","9","0.0010632099614659"
"conocido","9","0.00589040323097744"
"daban","1","0.0329219102320496"
"establecido","4","0.000121307299794033"
"participación","9","0.00138093254130135"
"unidad","1","0.471643595891238"
"c","17","0.0661600855583805"
"defensor","12","0.00219181271265049"
"escuela","19","0.00375928247431757"
"mencionado","17","0.00398116969942764"
"permiso","1","0.252723815152671"
"puestos","9","0.000493582251584916"
"berlín","13","0.0230962954053362"
"cédula","9","2.43529376898691e-06"
"dónde","13","0.241082076554441"
"funciones","3","0.0950653377778973"
"guías","13","0.0622369582947085"
"informes","12","0.0245796109676319"
"víctimas","4","0.0742708014650103"
"azteca","13","0.0351183061243519"
"capera","11","0.0510288776637456"
"compareciente","9","0.00193641336227154"
"contenido","9","0.000475847669859092"
"estuve","3","0.201513173396755"
"gente","3","0.0464968058827938"
"iba","13","0.34981739145449"
"presentación","15","0.00661872713707888"
"reparación","4","0.00361082084812359"
"capturas","1","0.0342942132058052"
"caso","9","0.268712185929303"
"completo","9","7.68047531877774e-05"
"corrió","12","0.000780144608344541"
"detallado","5","5.24251852373863e-05"
"efectos","9","1.43649265457651e-05"
"grado","17","0.00140099748635555"
"oficial","3","0.30327331854313"
"registro","15","0.0595340404125047"
"resultado","1","0.282429663861005"
"anexo","13","0.0156664126470288"
"disposición","12","0.000780144608344547"
"formación","4","0.000391684266271508"
"general","21","0.234535042409707"
"mando","3","0.188532327956591"
"operacional","1","0.187294134533057"
"sargento","13","0.371520127237986"
"acuden","9","6.14752521590508e-05"
"afinidad","9","1.4479001335182e-05"
"armado","7","8.73484561383027e-05"
"artículo","12","0.0225211148982798"
"audiencia","5","0.0151667815232054"
"catapulta","13","0.0632643240374254"
"conocimiento","13","0.246693981220916"
"cualquiera","4","1.86183655747848e-05"
"infórmenos","9","0.00343734300980222"
"lópez","11","0.00529063687545924"
"pregunta","4","0.176701233922037"
"aprobó","10","0.000699155401287083"
"asesor","1","0.00593864598043263"
"comandantes","3","0.226321582684305"
"conductas","18","6.6374067614979e-05"
"desempeñó","17","0.0561688841702471"
"guía","13","0.158590583921943"
"integral","4","0.000117664642339205"
"libre","5","0.00161950699029891"
"normatividad","9","0.0141979741542693"
"órdenes","3","0.140740484964379"
"autoría","9","6.18580988789345e-05"
"cuerpo","5","0.00186798569044754"
"curso","19","0.0685370186133824"
"escuchar","21","0.0001586954871967"
"mañana","9","0.0881075055878823"
"reconocimiento","9","0.0150908422685671"
"reguladas","12","0.000426670220783268"
"terminada","21","0.000158695487196696"
"adelantarse","18","1.22395202429882e-07"
"armados","12","0.00216489748939442"
"coronel","13","0.35291664984984"
"encuentran","12","0.000899646293909505"
"existieron","5","0.00101635253238358"
"instalar","9","0.0113138931555475"
"ley","12","0.00218156673588424"
"operacionales","1","0.119790630119258"
"renovamos","9","0.00133521469549334"
"armas","13","0.0588926033918608"
"bles","5","0.00883735009115885"
