"word","cluster","eigen"
"justicia","8","0.061748272156206"
"combate","23","0.475469817491876"
"muertes","3","0.229011289016111"
"diligencia","7","0.0767722441202326"
"coronel","10","0.611669852899545"
"brigada","10","0.963592451556504"
"batallón","10","0.983420866974308"
"comandante","10","1"
"bajas","3","0.293380783828267"
"delta","10","0.231737828905641"
"inteligencia","10","0.501491726167778"
"derecho","8","0.00320278557361085"
"casanare","23","0.203542158373486"
"información","23","0.765383007213566"
"conflicto","17","0.00121304238017864"
"juez","8","0.0103911729814724"
"definición","1","2.41530352832989e-08"
"pronto","23","0.647688315808109"
"armado","13","0.000203728758676955"
"operaciones","10","0.754255646799634"
"especial","8","0.396795497075523"
"gustavo","20","0.00979752772497414"
"área","10","0.175820256272021"
"escalante","10","0.0614564635779518"
"humanos","17","0.0284787385223455"
"integral","8","0.00113366841753351"
"pérez","10","0.0856614636910299"
"público","7","0.0371007791992585"
"conductas","2","0.00743710613618959"
"municipio","18","0.00739764428500364"
"gaula","23","0.490093285439773"
"contribuir","8","0.0176878311042657"
"henry","10","0.0123316452529717"
"operación","23","0.704631483556164"
"determinación","1","0.0145813394604891"
"preguntas","7","0.187557633551119"
"grupos","10","0.253957704605469"
"capitán","23","0.305576168124911"
"oficiales","23","0.0286128583073752"
"miembros","2","5.79665321684613e-08"
"iba","23","0.58004678858868"
"cualquiera","5","0.000125500380840052"
"beneficios","8","0.000848394454891217"
"día","23","0.493476160925295"
"hacía","10","0.384297441696548"
"persona","23","0.627985887846885"
"cumplimiento","8","0.033861496503459"
"caso","23","0.628161380601325"
"indirecta","13","0.00622435389912492"
"especiales","10","0.157584270755943"
"causa","17","0.00621771326470794"
"claro","10","0.291699773287861"
"garantías","8","0.00132729950166318"
"recuerdo","23","0.430090906718109"
"búsqueda","3","0.026572322717131"
"grupo","23","0.614408656930369"
"suspende","7","0.00478773060687167"
"anticipada","13","3.54632697724167e-08"
"cabo","23","0.14762787297215"
"miguel","20","0.000489025676461758"
"soldado","23","0.459895071963697"
"condicionada","4","0.00139350382323338"
"división","10","0.144263491446057"
"directa","17","0.035802792745366"
"resultados","10","0.494419794933517"
"sargento","23","0.365910982395558"
"óscar","3","0.00178665687781471"
"acosta","10","0.104943706138724"
"compareciente","7","0.030823276634537"
"participación","7","0.0317195363455487"
"conocimiento","23","0.566159948559527"
"marco","3","0.0219207893425648"
"almario","23","0.0149807532692885"
"cónyuge","1","7.65792115496317e-05"
"requerimientos","8","0.00859248682335401"
"aceptación","19","0.00136120434865727"
"compañero","19","6.27624509620077e-05"
"cuarto","1","2.19749723160293e-05"
"autoría","1","0.0010051146104117"
"civil","19","0.0100681602161726"
"confesión","7","0.00181965011053833"
"grado","19","0.020274250684104"
"afinidad","1","3.27990098499213e-05"
"proceso","8","0.153772820356329"
"acuerdo","23","0.561794080089368"
"audiencia","8","0.0157214279438663"
"batallones","10","0.0867008615551524"
"cédula","7","0.00668334913430344"
"defensor","3","2.18531978773225e-06"
"informes","3","0.000978519220946937"
"paz","8","0.0218558650003867"
"b","10","0.135179081915918"
"completo","7","0.00127816148216502"
"conocido","3","0.00986084972523581"
"establecido","8","0.000367258961276096"
"garcía","21","0.0394922716998687"
"puestos","3","0.00165273517931509"
"contenido","3","0.000375046799183115"
"das","23","0.20727850041833"
"detallado","3","0.000166270794195079"
"juzgado","8","0.0104022106013404"
"personas","23","0.642471172355142"
"sé","23","0.744243897393834"
"adelantarse","2","6.64283340044946e-08"
"cuál","23","0.255731320164418"
"disposición","19","3.325135907778e-05"
"duradera","8","0.000733130099652937"
"contribución","5","9.2808021581276e-05"
"pregunta","7","0.25611137590109"
"víctimas","7","0.259260018616271"
"abogado","7","0.0102351408566639"
"compañía","21","0.140791299228032"
"integrantes","2","7.95780521332592e-06"
"representación","7","0.0158296667572449"
"soldados","23","0.586820106728873"
"normatividad","5","0.018319577717931"
"pondrá","2","7.90824789850714e-06"
"agentes","1","2.12245567047995e-06"
"autodefensas","23","0.00663024033171706"
"reparación","8","0.0121947939287424"
"bracamonte","20","0.000319487186785105"
"compromisos","8","0.000785210113935387"
"ejército","10","0.271520512695"
"orden","23","0.653692516436746"
"satisfacer","8","0.00915714898739251"
"existieron","3","4.14852158978502e-05"
"instrucción","10","0.0730961724635854"
"mí","23","0.455955944131078"
"presentación","16","0.00281602696028938"
"reconocimiento","3","0.0503623727794619"
"rendir","7","0.00575565849540581"
"asimismo","3","0.000670823010608327"
"decisiones","8","0.000650541311627546"
"encuentran","3","0.00177254137143619"
"estable","13","0.00027568226807493"
"hernán","10","0.00169432315796499"
"jurídica","17","0.00179291050703847"
"ofrecer","8","0.00847907890118363"
"otorguen","13","5.18857988082345e-07"
"proteger","7","0.00851977010564567"
"terminada","7","0.000633285266613159"
"adoptar","13","8.99705427278622e-06"
"colombiana","8","0.00103974944945813"
"escuela","17","0.00272087587457031"
"gonzález","23","0.0149807532692885"
"libre","3","0.00443353439300611"
"reguladas","3","0.00172942839718362"
"repetición","8","0.0110628630921502"
"argos","23","0.0200139228643775"
"artículo","3","0.0313031229128678"
"logro","13","0.00845418995885035"
"consanguinidad","1","1.78422332052832e-06"
"departamento","13","2.25785375600682e-07"
"dispuesto","7","0.000337930756796566"
"escuchar","7","0.00144888917104325"
