"word","cluster","eigen"
"batallón","15","0.27307023229408"
"combate","15","0.194854555321825"
"asesinatos","15","0.0279329418901707"
"maestre","2","0.0166516936613852"
"crímenes","10","0.0214846265260519"
"artillería","15","0.0177620711167908"
"asesinato","15","0.0608117500385066"
"comparecientes","5","0.470989638379233"
"audiencia","5","0.385711772484136"
"santa","18","0.0047027706296334"
"cancamo","18","0.159942244931633"
"días","12","0.272490754514492"
"marta","18","0.00551909988184555"
"muertes","15","0.00342776455380794"
"desaparición","10","0.0294576765391045"
"efraín","24","0.00156317406525412"
"gutiérrez","15","0.0362858543091126"
"caribe","20","0.0263713081333123"
"crimen","10","0.00293127297059225"
"manuel","24","0.00151353150943281"
"integrantes","15","0.108204156982308"
"forzada","10","0.00785105384240471"
"magistrados","5","0.247228118496051"
"saludo","5","0.1497595890565"
"definición","5","0.00271507799181194"
"grupo","15","0.069240652251322"
"grupos","15","0.0935316382213345"
"homicidio","10","0.00219582942516845"
"justicia","5","0.247889696680895"
"miembros","15","0.0695013791183558"
"pública","15","0.0411104053793157"
"conclusiones","5","0.112775734708738"
"delitos","10","0.00643942346973688"
"albeiro","12","0.000239802706215252"
"desaparecidas","23","0.0242307346758178"
"paramilitares","15","0.104475941732086"
"arias","12","0.0571126209476847"
"bajas","15","0.118937769282603"
"desapariciones","23","0.0555689496084108"
"observaciones","5","0.171392531884307"
"ustedes","2","0.401973188835951"
"búsqueda","23","0.0488476128020062"
"carlos","12","0.0385628682659765"
"coautor","10","0.0112108930669832"
"cáceres","12","0.00183084925082224"
"código","10","0.000496709807917551"
"espitia","24","0.000895188566730207"
"familiares","8","0.158490947817459"
"guerra","10","0.0793961847506516"
"personas","15","0.461520255481932"
"quiero","2","0.403650587015309"
"reconocimiento","5","0.394219498349929"
"jesús","12","0.0299330511616293"
"leonardo","3","0.000263274182168896"
"país","5","0.100142785096325"
"políticos","21","0.00226428463790509"
"representantes","5","0.105219245573289"
"acusación","15","0.00449502443026634"
"agentes","15","0.00564680833084311"
"comité","12","0.000615599587705381"
"día","2","0.450355069327859"
"figueroa","15","0.00128195129601166"
"juan","15","0.0270015234347087"
"responsabilidad","5","0.233937316049186"
"andrés","3","0.0169463471043249"
"artículos","10","0.000505906087800305"
"autoridades","18","0.143491643643901"
"daños","7","0.0500662837274716"
"gustavo","3","0.00157343208099565"
"humanos","7","0.0838507273225694"
"número","15","0.0979291157322592"
"proceso","5","0.20489818267157"
"alex","24","0.0055937517882546"
"caballería","15","0.0115337572559859"
"colombiano","10","0.00118891650824451"
"comandante","15","0.0465690197160329"
"contemplados","10","0.00142214436498935"
"coronel","15","0.0527623142307119"
"corte","14","0.00456858146018638"
"derechos","14","0.09058271205558"
"ejército","15","0.262958045937936"
"luis","12","0.00341605079387262"
"nación","5","0.00281768501426309"
"señores","5","0.18941911000888"
"abogados","16","0.070474307485914"
"alvear","10","0.000145308629246913"
"armas","15","0.0664926483723204"
"burgos","3","0.00205834131690505"
"caso","5","0.310707407237099"
"comunidades","18","0.089885556680752"
"conductas","5","0.0647397166086483"
"corazón","2","0.166619904827731"
"césar","7","0.0293812882905637"
"diligencia","21","0.142715358991888"
"especial","5","0.233530418228146"
"hermano","2","0.34994123618963"
"hugo","19","0.0234812014330911"
"paz","5","0.301924622666912"
"pueblos","18","0.10719929333886"
"reconozca","10","0.0183683557208396"
"adolfo","12","0.00568227035286668"
"alberto","12","0.0078922640343148"
"aporte","5","0.0111317333310978"
"bloque","15","0.0658848782288023"
"comparecer","15","0.00195179866732387"
"constituyeron","10","0.000504852709595293"
"daño","18","0.116717085448061"
"determinación","5","0.029803682043141"
"encuentros","5","0.050615066669258"
"gómez","12","0.0348454245126191"
"hernán","15","0.0195819921499803"
"hijo","2","0.141540540637455"
"indígenas","18","0.139404019812527"
"instancia","5","0.018716358654532"
"marco","5","0.262050883154116"
