"word","cluster","eigen"
"batallón","14","1"
"justicia","13","0.0682305228214438"
"combate","3","0.587048144327815"
"muertes","10","0.152119745435842"
"diligencia","10","0.106766404700109"
"brigada","1","0.734511357594792"
"compañía","3","0.552545256617773"
"área","1","0.381721467590514"
"comandante","5","0.922473496904531"
"inteligencia","1","0.582182703914788"
"información","1","0.767997161963771"
"municipio","14","0.048138446585951"
"derecho","13","0.0027162752745682"
"pronto","3","0.714263751674234"
"definición","14","0.000371244166056786"
"capitán","3","0.404250642111929"
"operaciones","1","0.779900419350202"
"consejo","10","0.000690416667604143"
"bajas","10","0.394207624508724"
"especial","17","0.435221995008455"
"operación","3","0.634639153423423"
"recuerdo","3","0.680422874278496"
"miembros","17","0.000884122207974463"
"recuerda","3","0.491231402549115"
"profesional","10","0.0336109004696602"
"resultados","1","0.570882415268125"
"batallones","1","0.138646522302008"
"acuerdo","3","0.65902843870933"
"día","10","0.571144953478299"
"grupos","1","0.192632352077285"
"conflicto","13","0.013593106675773"
"humanos","13","0.0163220189864615"
"pelotón","3","0.677019766568608"
"preguntas","10","0.15843351667851"
"coronel","3","0.577907608735818"
"días","10","0.494841818968169"
"público","10","0.0678627970454314"
"soldado","3","0.504883007244884"
"juez","13","0.00755988376388845"
"ciudadanía","10","0.000747673955829523"
"caso","10","0.561775884251282"
"hacía","1","0.488032518242138"
"búsqueda","2","0.0201981198206853"
"cabo","3","0.250885637140424"
"cédula","10","0.013393200727978"
"persona","3","0.673278367615067"
"misión","1","0.278383913848979"
"reparación","13","0.00806095257186806"
"contribuir","13","0.014107661770206"
"oficiales","1","0.0777369766975539"
"bienestar","1","0.00130687115961282"
"integral","13","0.00247612395381144"
"control","1","0.183898967307245"
"personas","3","0.705024194335967"
"participación","10","0.0203542316607685"
"cónyuge","2","0.000167675564481529"
"grupo","3","0.492621018955821"
"cuarto","17","0.010172981534716"
"iba","3","0.589112339933081"
"civil","9","0.120902573192429"
"sargento","3","0.470137593759702"
"aceptación","9","0.0025948801832387"
"compañero","2","0.000463050064627819"
"confesión","10","0.00143117709478294"
"armado","9","0.00699276699115303"
"digo","3","0.489931846879997"
"dónde","3","0.41570252654976"
"puestos","10","0.00100369472201613"
"defensor","2","0.000968063738024339"
"conocido","10","0.00879442753153429"
"informes","2","0.0368650162674396"
"contenido","10","0.000179990997921215"
"disposición","2","0.000685866015385166"
"claro","3","0.505289418040821"
"establecido","17","0.000754567583889365"
"compareciente","10","0.0440248176903075"
"víctimas","10","0.334006925173076"
"grado","2","0.0689872960114403"
"completo","10","0.00107388592710218"
"oficial","3","0.355640645260941"
"sé","3","0.784218513058249"
"delta","1","0.0859834344011696"
"división","1","0.114067841296903"
"proceso","13","0.274340523598859"
"detallado","9","3.44877797675971e-05"
"orden","3","0.693100579129668"
"jefe","1","0.187794840223892"
"cualquiera","17","3.66991053753116e-05"
"operacionales","1","0.132044613067813"
"presentación","10","0.0273412285983827"
"decisiones","13","0.0289545582612481"
"afinidad","17","2.17442546613754e-05"
"número","10","0.168121477695901"
