"word","cluster","eigen"
"batallón","20","1"
"área","9","0.433984921253895"
"compañía","9","0.490160453349856"
"comandante","14","0.871115977238523"
"justicia","16","0.0154724974113524"
"información","21","0.745838866925565"
"inteligencia","14","0.65287540060157"
"brigada","14","0.585926149448303"
"combate","20","0.467360570539577"
"muertes","20","0.0994462303162735"
"diligencia","2","0.051796557017605"
"municipio","20","0.0736603768039045"
"operaciones","14","0.783485314069406"
"derecho","16","0.00200903550807271"
"operación","9","0.596962766871136"
"pronto","9","0.619807212598667"
"resultados","20","0.54743543584534"
"pelotón","9","0.714561158662839"
"bienestar","14","0.00153175414138465"
"batallones","14","0.16174980229733"
"recuerda","9","0.514674330752688"
"días","9","0.488337046665949"
"misión","9","0.252943290523215"
"especial","16","0.284854572383066"
"bajas","20","0.251793606384192"
"acuerdo","9","0.541539629533796"
"capitán","9","0.288005146580824"
"decisiones","16","0.0554564147618164"
"cabo","9","0.23902099180474"
"control","14","0.20469166749384"
"hacía","9","0.452495304805336"
"humanos","16","0.00701989817527312"
"recuerdo","9","0.664560392202859"
"orden","9","0.611660585920616"
"grupos","21","0.108422860176394"
"proceso","16","0.251826047404211"
"miembros","15","0.0173936619792508"
"berlín","9","0.125833047322433"
"persona","9","0.580227218528897"
"preguntas","2","0.147810076343173"
"búsqueda","21","0.017763003173"
"dónde","9","0.367100030978426"
"oficial","9","0.39605356932478"
"conflicto","15","0.000564492432300046"
"jefe","9","0.242423690663183"
"columna","13","0.000116114360801906"
"grupo","9","0.349764098546301"
"soldado","9","0.453155171266091"
"día","9","0.517644353047773"
"contribuir","16","0.0111443578308796"
"cuarto","18","0.0101059667548614"
"integrantes","14","0.113825080810293"
"participación","4","0.0136207004143348"
"cónyuge","18","0.000113467750718598"
"aceptación","4","0.00230619706480523"
"civil","4","0.120758079232063"
"claro","9","0.454272416356724"
"compañero","4","0.00155640136597071"
"confesión","2","0.00075887051013749"
"defensor","21","0.001590480060208"
"desarrollo","14","0.150400378247835"
"personas","9","0.60186618485453"
"puestos","18","0.000643773151198952"
"conocido","2","0.00627927023380417"
"contenido","2","0.00266276990376585"
"disposición","21","0.0184233025564327"
"informes","21","0.0571046573256627"
"presentación","2","0.0224140801449868"
"iba","9","0.485232943733348"
"reparación","16","0.00535595947589907"
"víctimas","2","0.206310258014103"
"cédula","16","0.0113740610230084"
"compareciente","2","0.0163492813726174"
"efectos","2","2.83814663591323e-06"
"establecido","15","0.000767517618333913"
"infantería","14","0.0420636578782278"
"militar","16","0.352460584972859"
"oficiales","14","0.12365918730476"
"cuál","9","0.326656979326075"
"completo","18","0.000486547439272195"
"coronel","9","0.518449372551147"
"detallado","18","3.11985835180136e-05"
"grado","4","0.0586453972675342"
"mencionado","20","0.019418870341623"
"caso","9","0.443972059721456"
"acuden","2","0.000333874470352234"
"libre","18","0.00179266553223696"
"división","14","0.108764045190596"
"infórmenos","2","0.00309932425570139"
"operacionales","20","0.145415738859377"
"compañías","14","0.133161888216421"
"ejército","14","0.346871976574386"
"sargento","9","0.455079913223865"
"renovamos","2","0.00237653015599083"
"unidad","9","0.547458417348351"
"digo","9","0.426185834282887"
"normatividad","2","0.00929659554439174"
"reconocimiento","18","0.0348489639144094"
"registro","2","0.0924745732362138"
"conocimiento","9","0.40132079617501"
"juez","16","0.00683138541863997"
"centro","16","0.025020731386389"
"corrió","16","0.00323587402757047"
"público","2","0.0448066052722807"
"artículo","15","0.0206213377365557"
"audiencia","15","0.0362379928405109"
"conductas","15","0.000682993795254758"
"presión","20","0.0652995549553812"
"guías","21","0.090257548057823"
"mando","14","0.274845168053009"
"conjunta","15","0.00148938483770735"
"consejo","16","0.000547070420478656"
"afinidad","18","1.56021782176361e-05"
"cualquiera","15","1.35442084447768e-05"
"moto","9","0.0984138570180701"
"pondrá","15","2.67792520503883e-07"
"profesionales","16","0.0643765925022832"
"soldados","9","0.547645407128103"
"aprobó","16","0.0052106369068445"
"agrupación","14","0.00167593687899811"
"anexo","9","0.0668270504829212"
"autoría","18","0.000280852724739177"
"escuela","16","0.0826039209188066"
"existieron","18","0.000704130609462044"
"informaciones","14","0.172936952723748"
"resultado","9","0.369342997121699"
"amnistia","15","1.17260766347817e-05"
"camilo","2","0.00840159624849383"
"escuchar","2","0.0351162120591352"
"general","9","0.361454503756353"
"investigación","16","0.12843479917731"
"adelantarse","15","0.000225686470316821"
"iban","9","0.261575896295775"
"sé","9","0.700447577588841"
"azteca","9","0.0516995031698523"
"permiso","9","0.274349751521417"
"anza","20","0.0213700541559203"
"c","15","0.0892514451361905"
"documento","9","0.23144908937808"
"huila","20","0.0357407255990227"
"integral","16","0.00836598831916537"
"fuerza","15","0.0867843082316407"
"requerimientos","2","0.00355683965710672"
"abrigada","14","0.117907432307299"
"bles","18","0.00759099263119582"
"continuamos","2","0.0145534917648565"
"armado","15","0.000604969514033336"
"guía","9","0.189303523856588"
"número","16","0.128462726644784"
"armas","12","0.133943998538487"
"exactamente","9","0.199230904665917"
"ley","21","0.0142127585830291"
"ejecutivo","14","0.0978072101992318"
"estuve","9","0.267987055084983"
"presidir","2","0.00104344571211602"
"alguien","9","0.174867035819004"
"comandantes","14","0.253522240511988"
"consanguinidad","18","0.000173705495957876"
"propósito","2","0.0278690096911287"
"terminada","2","0.000149464798253974"
"arma","12","0.128867792537414"
"auxiliar","2","0.00106800231657433"
"catapulta","14","0.0700715756143584"
"magdalena","14","0.245202260585023"
"mañana","2","0.134255187296268"
"mí","9","0.402132153257637"
"b","14","0.129238754682527"
"marco","15","0.0169090632830387"
"pasó","9","0.264692385644255"
"pregunta","9","0.374204615366061"
"profesional","16","0.0294477893815545"
"allí","9","0.145887518361332"
"autoidentifica","14","0.0123148904705878"
"democrática","12","4.80488420590404e-05"
"instalar","2","0.00992348630767183"
"reguladas","21","0.000381682871938271"
"derechos","16","0.0256929603531634"
"misiones","14","0.0417572718295253"
"encuentran","15","0.000729020147362121"
"fabián","2","1.93496925904408e-05"
"marcos","8","0.000754723426235618"
"formación","16","0.0368998408874427"
"armados","21","0.0172166745087295"
"gente","9","0.204874987889296"
"informe","9","0.250149706345489"
"medidas","2","0.0035459918876956"
"permitan","16","0.00267307687886802"
"cti","21","0.032072240389003"
"operacional","14","0.214269156179807"
"común","21","0.0657163451201687"
"fuente","21","0.0128000225202781"
"repetición","16","0.00446644765717889"
"aporte","21","0.0128037959958526"
"comando","14","0.246001684841312"
"curso","16","0.115770464355881"
"determina","18","1.26113145835712e-05"
"esclarecimiento","16","0.00293871705796891"
"cargo","14","0.0775014640934439"
"daban","20","0.114549341810362"
"escuadra","9","0.0496801582421327"
"juzgado","16","0.00683138541863997"
"órdenes","14","0.170279631558346"
"asimismo","18","1.26196563994657e-05"
"circunstancias","15","0.0201415646352875"
"código","16","0.00439728276689302"
"disparó","9","0.0402860159939978"
"fuerzas","14","0.0351505975462136"
"indirecta","15","0.00258565229587598"
"pelotones","14","0.258688394187868"
"ah","9","0.254252101020094"
"cometidas","15","0.000357070991779209"
"detallada","15","0.000160582566315688"
"satisfacción","2","0.00354265843108011"
"advertirá","18","0.00186569622326079"
"arpón","15","0.00148938483770735"
"disponga","15","8.57520408476686e-07"
"elementos","15","5.40663981712909e-06"
"materialización","2","4.51531829075804e-05"
"movilidad","16","0.00269511781525039"
"órgano","16","0.00729605644071038"
"atribuir","15","7.83990617095127e-06"
"capturas","20","0.075327491115992"
"comisión","15","6.13394404098749e-06"
"extracto","20","0.00140124981950745"
"funciones","2","0.112696054285031"
"integrante","18","0.0113255277957484"
"obligación","15","0.000206357471508025"
"responsabilidades","15","0.000115343656140378"
"sistema","15","0.000788702568454828"
"acto","15","0.000890723974831205"
"condicionada","9","0.00327219828117351"
"dolosa","15","1.98409148176695e-06"
"guerrero","2","0.00029870512571984"
"aceptar","15","0.00021987498400014"
"aportar","15","0.00111338293069021"
"condiciones","16","0.000666090081727829"
"deber","15","0.000246417610238176"
"departamento","20","0.0252813917646587"
"disciplinaria","16","0.00298667414055071"
"incumpla","21","0.0128114539010022"
"omega","15","0.00247010979545852"
"apellido","9","0.0999904593383541"
