"word","cluster","eigen"
"crímenes","18","0.310163432833789"
"asesinatos","18","0.229981096283615"
"combate","15","0.0894250042833653"
"miembros","2","0.155211566390888"
"bajas","15","0.0386253066360199"
"audiencia","11","0.267529242560158"
"desapariciones","18","0.101916492365643"
"homicidio","18","0.0195366196522461"
"pública","11","0.0866652298846008"
"guerra","18","0.107571798955551"
"batallón","2","0.0709121625581832"
"justicia","18","0.265368144492006"
"conductas","18","0.0647718143976296"
"quiero","5","0.411449268130066"
"ustedes","5","0.851244821370458"
"asesinato","18","0.036061012057498"
"auto","18","0.18061836758978"
"constituyen","18","0.0125874397911724"
"francisco","2","0.0238626291236461"
"fuerza","18","0.0527841744947568"
"gutiérrez","18","0.0702866202838639"
"imputado","18","0.0100978662789744"
"desaparición","18","0.0613145181565554"
"dios","19","0.132866390183485"
"luis","6","0.00235089058460773"
"macrocriminalidad","11","0.06161765715385"
"antonio","6","0.0230141452938947"
"coautor","18","0.0254267546803223"
"comparecer","8","0.00509098915407866"
"fajardo","6","0.00284429048983456"
"ocaña","11","0.171232455996156"
"amado","6","0.0037461057002985"
"chaparro","6","0.00240958636375189"
"escrito","18","0.0382754536347156"
"gabriel","6","0.00167637583018513"
"jesús","6","0.0200325298943992"
"perdón","5","0.175593705513516"
"sargento","6","0.0165385306316213"
"artículo","18","0.0284513026282687"
"corazón","5","0.176120451001007"
"pérez","6","0.00669542876666908"
"rafael","24","0.00431713148407992"
"seres","5","0.213696934370903"
"agentes","15","0.0115855492967141"
"ah","4","0.0106965884208267"
"carlos","6","0.0125940285938136"
"castro","6","0.00308088793623075"
"comandante","2","0.132086593962025"
"comillas","18","0.0143947242043384"
"contreras","6","0.00210792219109309"
"coronado","2","0.0375756915711364"
"grupos","15","0.025256890367314"
"hijos","5","0.304965773755594"
"señores","5","0.342473739960404"
"acuerdo","3","0.111865415339737"
"coronel","6","0.0392996222475611"
"daniel","6","0.00015775166981881"
"darío","6","0.0029945145443724"
"días","6","0.208636644701625"
"emilio","6","0.0116673790017104"
"forzada","18","0.0651202890178369"
"guillermo","6","0.0362477494895488"
"jaime","6","0.00873140838414014"
"libre","18","0.00513090910781724"
"operacionales","15","0.0211693790971313"
"responsabilidad","18","0.310878277952462"
"alexander","6","0.0222830746931104"
"alumbraron","13","0.00238279054157874"
"aportar","18","0.0298700275343656"
"arias","6","0.000239733189897965"
"brigada","2","0.143982686384284"
"caso","6","0.148410925178244"
"colombia","5","0.23215841017341"
"comparecientes","11","0.252184196745417"
"daladier","24","0.000764562192398745"
"diego","6","0.00288385395245271"
"dolor","5","0.279811993077565"
"efectos","18","0.00689144953819717"
"familia","5","0.171977124297881"
"familiares","5","0.252144817618082"
"gáz","4","0.00796712465752909"
"gómez","6","0.016691567030886"
"hermanos","5","0.0863838594724539"
"imposición","18","0.00187723534296944"
"mando","2","0.0354439218374756"
"mandos","15","0.0149483614927566"
"máximos","18","0.0488422476016146"
"noviembre","2","0.0237786146054938"
"país","18","0.297495252532174"
"reconocimiento","18","0.276000621660466"
"reconozca","18","0.0160082096327791"
"sé","5","0.14853535091503"
"unidad","2","0.121092253049158"
"álvaro","6","0.0590151365022558"
"abogado","6","0.00355256929168117"
"activar","18","0.00392401502551871"
"alberto","6","0.0030954324690588"
"armando","6","0.00315859467426622"
"asesinados","15","0.0298526032253656"
"ataque","18","0.00547682584447637"
"bautista","7","0.00199163737368997"
"campesinos","15","0.192190997999906"
"carmen","7","0.0733933038596584"
"casa","4","0.087535562288122"
"catatumbo","15","0.345965624813893"
"central","11","0.0601316484554446"
"civil","18","0.0393107585324028"
"compromiso","11","0.101918922565711"
"corte","11","0.00238433467223798"
"cortés","2","0.00924946727182177"
"crimen","18","0.01444303568316"
"criminal","15","0.0889879396335752"
"daño","5","0.267072967162566"
"derechos","11","0.0829092461719793"
"desaparecidas","5","0.0195306885000402"
"día","5","0.393341128369359"
"ejército","2","0.425905311718027"
"especial","18","0.165530319975451"
"ever","6","0.00167255911194438"
"general","2","0.18173124106589"
"generalizado","18","0.0067545789590358"
"gustavo","5","0.0132554110869234"
"hermano","7","0.176252718392609"
"hijo","5","0.259764379725039"
"humanos","11","0.0876133686807046"
"imputados","18","0.0482064293312201"
"joven","6","0.0450018158750519"
"juan","6","0.00101825662730497"
"magistrados","11","0.206388723831815"
"militares","5","0.213825663127907"
"mis","5","0.286636952073657"
"muertes","18","0.0324225176211184"
"mí","14","0.168567940347788"
"paz","18","0.209113546795037"
